ordinance_no,adoption_date,land_use_type,code_titles,code_title_names,motion_id,match_confidence,source_url,notes
45-01,,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
65-03,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
69-01,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
69-02,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
70-06,,non_land_use,9,"Public Peace, Morals and Welfare",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
71-04,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
73-03,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
73-03A,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
73-03B,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
73-12,,non_land_use,9,"Public Peace, Morals and Welfare",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
74-07,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
75-04,,non_land_use,5,Business Licenses and Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
77-18,,non_land_use,1,General Provisions,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
77-19,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
78-7,,non_land_use,9,"Public Peace, Morals and Welfare",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
78-14,,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
78-15,,non_land_use,9,"Public Peace, Morals and Welfare",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
87-02,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
87-05,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
87-06,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
88-04,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
88-06,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
88-10,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
89-01,,non_land_use,5,Business Licenses and Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
89-02,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
89-03,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
89-04,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
89-07,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
90-04,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
90-06,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
90-07,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
90-16,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
91-02,,non_land_use,1,General Provisions,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
91-06,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
91-08,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
92-04,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
93-01,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
93-06,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
94-03,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
94-04,,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
94-06,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
94-10,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
94-14,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
96-01,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
96-02,1996-04-23,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
97-04,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
97-05,,non_land_use,9,"Public Peace, Morals and Welfare",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
99-02,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2000-02,,non_land_use,1,General Provisions,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2000-03,,non_land_use,1,General Provisions,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2000-04,,non_land_use,1,General Provisions,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2000-05,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2000-06,,non_land_use,1,General Provisions,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2000-07,,non_land_use,5,Business Licenses and Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2000-08,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2000-10,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2000-14,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2001-01,,non_land_use,1,General Provisions,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2002-20,,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2004-05,2004-07-27,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2004-10,2004-08-10,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2005-04,2005-03-08,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2005-06,2005-04-12,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2005-07,2005-04-26,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
