date,title,audio_filename,audio_url,ext,source_page_year
2025-07-10,2025-07-10 White City Council Meeting,240701_0031.MP3,https://whitecity.utah.gov/files/73219dc91/240701_0031.MP3,mp3,2025
2025-08-07,2025-08-07 White City Council Meeting,audio1221403686.m4a,https://whitecity.utah.gov/files/cbb3fdf7a/audio1221403686.m4a,m4a,2025
2025-09-04,2025-09-04 White City Council Meeting,WC+9-4-2025+Audio.mp3,https://whitecity.utah.gov/files/6d1a546e2/WC+9-4-2025+Audio.mp3,mp3,2025
2025-10-02,2025-10-02 White City Council Meeting,DS260022.MP3,https://whitecity.utah.gov/files/72291a10b/DS260022.MP3,mp3,2025
2025-11-13,2025-11-13 White City Council Meeting,DS260023.MP3,https://whitecity.utah.gov/files/e88149bb4/DS260023.MP3,mp3,2025
2025-11-18,2025-11-18 White City Council Meeting,DS260024.MP3,https://whitecity.utah.gov/files/a8d61796e/DS260024.MP3,mp3,2025
2025-12-04,2025-12-04 White City Council Meeting,DS260025.MP3,https://whitecity.utah.gov/files/7e96dbb2a/DS260025.MP3,mp3,2025
2026-01-08,2026-01-08 White City Council Meeting,DS260026.MP3,https://whitecity.utah.gov/files/dffef8ec2/DS260026.MP3,mp3,2026
2026-02-05,2026-02-05 White City Council Meeting,DS260028.MP3,https://whitecity.utah.gov/files/2587efc68/DS260028.MP3,mp3,2026
2026-03-05,2026-03-05 White City Council Meeting,DS260031.MP3,https://whitecity.utah.gov/files/6ee8ba79c/DS260031.MP3,mp3,2026
2026-04-02,2026-04-02 White City Council Meeting,DS260032.MP3,https://whitecity.utah.gov/files/8fd2a9998/DS260032.MP3,mp3,2026
2026-05-07,2026-05-07 White City Council Meeting,DS260034.MP3,https://whitecity.utah.gov/files/244e01118/DS260034.MP3,mp3,2026
2026-06-04,2026-06-04 White City Council Meeting,DS260035.MP3,https://whitecity.utah.gov/files/5884f5575/DS260035.MP3,mp3,2026
