=== stream council (year=all) ===
  [council] 2020-01-08 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-01-08 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-01-22 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-01-22 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-01-29 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-02-12 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-02-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-02-26 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-02-26 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-03-11 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-03-11 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-03-23 SM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-04-08 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-04-08 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-04-22 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-04-22 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-05-13 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-05-13 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-05-27 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-05-27 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-06-03 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-06-03 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-06-17 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-06-17 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-07-08 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-07-22 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-08-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-08-26 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-09-30 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-10-14 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-10-28 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-11-04 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-11-18 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-12-02 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2020-12-09 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-01-13 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-01-27 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-02-10 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-03-10 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-03-10 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-03-24 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-03-24 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-04-14 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-04-14 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-04-28 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2021-04-28 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-05-12 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-05-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-05-26 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-06-09 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-06-09 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-06-23 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-06-23 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-07-14 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-07-14 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-07-28 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2021-07-28 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-08-02 SM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-08-11 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2021-08-25 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-09-15 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2021-09-15 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-10-13 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-10-27 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-11-03 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-11-03 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-11-16 BoC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-11-17 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2021-12-01 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-12-01 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2021-12-08 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2022-01-12 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-01-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-01-26 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-01-26 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-02-09 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-02-09 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-02-23 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-02-23 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-03-09 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-03-09 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-03-23 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2022-04-13 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2022-04-27 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-05-11 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-05-11 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-05-25 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-05-25 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-06-08 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-06-08 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-06-15 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-07-13 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-07-13 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-07-27 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-07-27 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-08-09 TT: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-08-10 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-08-10 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-08-24 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-08-24 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-09-14 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-09-14 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-09-28 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-09-28 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-10-12 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-10-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-10-26 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-10-26 WM: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2022-11-09 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-11-09 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-11-16 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-11-16 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-12-14 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2022-12-14 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-01-11 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-01-11 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-01-25 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-01-25 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-02-08 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-02-08 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-02-22 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-02-22 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-03-22 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-03-22 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-04-12 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-04-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-04-26 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-04-26 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-05-10 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-05-10 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-05-24 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-05-24 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-06-07 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-06-07 WM: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2023-06-14 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-06-14 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-07-12 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-07-26 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-07-26 WM: UNRECOVERED (agenda-only/minutes-not-posted)
