member,first_seen,last_seen,n_votes
Dannielle Larkin,2020-01-06,2026-06-04,1682
Jimmie Hughes,2020-01-06,2025-12-18,1552
Natalie Larsen,2022-01-06,2026-06-04,1095
Gregg McArthur,2020-01-06,2023-12-14,1082
Michelle Tanner,2022-01-06,2026-06-04,1061
Steve Kemp,2024-01-02,2026-06-04,574
Bryan Smethurst,2020-01-06,2021-12-16,562
Vardell Curtis,2021-02-11,2021-12-16,325
Michele Randall,2020-01-06,2025-02-20,248
Austin Anderson,2026-01-22,2026-06-04,90
Griffith,2023-12-07,2023-12-07,4
Kessler,2023-12-07,2023-12-07,4
Mast,2023-12-07,2023-12-07,4
Nelson,2023-12-07,2023-12-07,4
Scharf,2023-12-07,2023-12-07,4
Schmidt,2023-12-07,2023-12-07,4
Webb,2023-12-07,2023-12-07,4
Wilson,2023-12-07,2023-12-07,4
Wilson-Spooner,2023-12-07,2023-12-07,4
Edwards,2023-12-07,2023-12-07,3
Davis,2023-12-07,2023-12-07,1
Jon Pike,2020-04-16,2020-04-16,1
