date,body,md_path,provenance,kind,source_url
2023-12-20,Housing Authority of Utah County,agencies/housing_authority/minutes/2023/2023-12-20_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-12202023.pdf
2024-01-17,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-01-17_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-01172024.pdf
2024-02-21,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-02-21_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-02212024.pdf
2024-04-17,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-04-17_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-04172024.pdf
2024-05-15,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-05-15_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-05152024.pdf
2024-07-17,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-07-17_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-07172024.pdf
2024-08-21,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-08-21_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-08212024.pdf
2024-09-18,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-09-18_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-09182024.pdf
2024-10-09,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-10-09_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-10092024.pdf
2024-11-13,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-11-13_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-11132024.pdf
2024-12-11,Housing Authority of Utah County,agencies/housing_authority/minutes/2024/2024-12-11_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-12112024.pdf
2025-01-15,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-01-15_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-01152025.pdf
2025-02-27,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-02-27_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-02272025.pdf
2025-03-19,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-03-19_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-03192025.pdf
2025-04-23,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-04-23_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-04232025.pdf
2025-05-21,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-05-21_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-05212025.pdf
2025-06-18,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-06-18_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-06182025.pdf
2025-07-16,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-07-16_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-07162025.pdf
2025-08-20,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-08-20_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-08202025.pdf
2025-09-17,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-09-17_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-09172025.pdf
2025-10-22,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-10-22_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-10222025.pdf
2025-11-19,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-11-19_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-11-19-2025.pdf
2025-12-17,Housing Authority of Utah County,agencies/housing_authority/minutes/2025/2025-12-17_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Minutes-12-17-2025.pdf
2026-01-21,Housing Authority of Utah County,agencies/housing_authority/minutes/2026/2026-01-21_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Meeting-Minutes-1-21-26.pdf
2026-02-19,Housing Authority of Utah County,agencies/housing_authority/minutes/2026/2026-02-19_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-Meeting-Minutes-02-19-2026.pdf
2026-03-26,Housing Authority of Utah County,agencies/housing_authority/minutes/2026/2026-03-26_housing_authority.md,minutes,,https://housinguc.org/pdf/HAUC-March-26-2026-Minutes.pdf
