county,in_wfrc_region,year,population,households,jobs
BEAVER,no,2019,7030,2283,4216
BEAVER,no,2023,7316,2373,4239
BEAVER,no,2028,7801,2615,4326
BEAVER,no,2030,7978,2681,4389
BEAVER,no,2040,8739,3092,4677
BEAVER,no,2050,9358,3669,5068
BOX ELDER,yes,2019,56543,18371,30479
BOX ELDER,yes,2023,60802,20066,33462
BOX ELDER,yes,2028,65560,22302,34969
BOX ELDER,yes,2030,67139,23171,35751
BOX ELDER,yes,2040,74844,27787,38514
BOX ELDER,yes,2050,82263,32685,41234
CACHE,no,2019,127297,40879,81106
CACHE,no,2023,139209,45772,89361
CACHE,no,2028,153900,52403,95181
CACHE,no,2030,158600,54659,97815
CACHE,no,2040,181146,65177,109683
CACHE,no,2050,201572,73811,120529
CARBON,no,2019,19872,7894,11438
CARBON,no,2023,20176,8103,12026
CARBON,no,2028,20574,8424,11245
CARBON,no,2030,20536,8509,10947
CARBON,no,2040,20131,8754,10938
CARBON,no,2050,20884,9369,11729
DAGGETT,no,2019,866,380,610
DAGGETT,no,2023,892,393,587
DAGGETT,no,2028,854,392,635
DAGGETT,no,2030,855,394,646
DAGGETT,no,2040,859,329,679
DAGGETT,no,2050,891,388,704
DAVIS,yes,2019,356443,110496,197878
DAVIS,yes,2023,372453,118387,216289
DAVIS,yes,2028,395866,131102,231013
DAVIS,yes,2030,407250,136990,236184
DAVIS,yes,2040,467542,168210,260034
DAVIS,yes,2050,523779,197333,288358
DUCHESNE,no,2019,19343,6509,11835
DUCHESNE,no,2023,19100,6532,11900
DUCHESNE,no,2028,18468,6468,12125
DUCHESNE,no,2030,18456,6518,12180
DUCHESNE,no,2040,18965,6817,12325
DUCHESNE,no,2050,20363,7527,12705
EMERY,no,2019,9843,3542,5017
EMERY,no,2023,9819,3636,5254
EMERY,no,2028,9834,3800,5125
EMERY,no,2030,9801,3846,5038
EMERY,no,2040,9582,3991,4658
EMERY,no,2050,9954,4302,4476
GARFIELD,no,2019,4914,1885,3681
GARFIELD,no,2023,4870,1891,3613
GARFIELD,no,2028,4853,1919,3832
GARFIELD,no,2030,4890,1926,3865
GARFIELD,no,2040,5099,2013,3849
GARFIELD,no,2050,5299,2219,3909
GRAND,no,2019,9575,4034,8512
GRAND,no,2023,9474,4075,8479
GRAND,no,2028,9525,4234,9174
GRAND,no,2030,9775,4392,9349
GRAND,no,2040,11215,5152,9657
GRAND,no,2050,12304,5951,10177
IRON,no,2019,54922,18234,29112
IRON,no,2023,64280,21747,32582
IRON,no,2028,73584,25768,35280
IRON,no,2030,75735,26881,36444
IRON,no,2040,83506,31354,41287
IRON,no,2050,89167,35322,45726
JUAB,no,2019,11570,3497,5679
JUAB,no,2023,12355,3773,6111
JUAB,no,2028,13675,4315,6553
JUAB,no,2030,14270,4567,6743
JUAB,no,2040,17377,5943,7564
JUAB,no,2050,20365,7605,8333
KANE,no,2019,7481,3048,5421
KANE,no,2023,7988,3310,5699
KANE,no,2028,8477,3642,5990
KANE,no,2030,8683,3761,6078
KANE,no,2040,9593,4203,6385
KANE,no,2050,10307,4709,6934
MILLARD,no,2019,12803,4279,7247
MILLARD,no,2023,13301,4491,8643
MILLARD,no,2028,13348,4704,7814
MILLARD,no,2030,13233,4740,7852
MILLARD,no,2040,12595,4849,8080
MILLARD,no,2050,12108,5023,8291
MORGAN,yes,2019,12125,3517,5380
MORGAN,yes,2023,13183,3917,5840
MORGAN,yes,2028,14508,4547,6197
MORGAN,yes,2030,15080,4832,6314
MORGAN,yes,2040,18184,6310,6975
MORGAN,yes,2050,21301,7899,7618
PIUTE,no,2019,1413,539,643
PIUTE,no,2023,1479,569,630
PIUTE,no,2028,1535,588,619
PIUTE,no,2030,1544,593,614
PIUTE,no,2040,1586,595,589
PIUTE,no,2050,1625,699,576
RICH,no,2019,2482,875,1667
RICH,no,2023,2609,941,1721
RICH,no,2028,2742,1017,1806
RICH,no,2030,2794,1041,1833
RICH,no,2040,3058,1149,1898
RICH,no,2050,3310,1338,2018
SALT LAKE,yes,2019,1158986,399636,950865
SALT LAKE,yes,2023,1207381,424915,1040372
SALT LAKE,yes,2028,1272018,459288,1114282
SALT LAKE,yes,2030,1299021,474073,1140375
SALT LAKE,yes,2040,1431776,553024,1264859
SALT LAKE,yes,2050,1549038,629565,1398927
SAN JUAN,no,2019,14315,4654,6736
SAN JUAN,no,2023,14175,4806,6839
SAN JUAN,no,2028,14144,5081,7104
SAN JUAN,no,2030,14385,5266,7225
SAN JUAN,no,2040,15814,6138,7645
SAN JUAN,no,2050,16864,6979,8026
SANPETE,no,2019,25787,8289,13225
SANPETE,no,2023,27160,8898,14255
SANPETE,no,2028,28653,9644,14975
SANPETE,no,2030,29127,9877,15259
SANPETE,no,2040,31865,10676,16395
SANPETE,no,2050,34089,11414,17020
SEVIER,no,2019,21119,7406,12741
SEVIER,no,2023,21894,7857,13537
SEVIER,no,2028,22348,8391,13129
SEVIER,no,2030,22368,8565,12957
SEVIER,no,2040,22593,9202,13390
SEVIER,no,2050,22768,9844,14477
SUMMIT,no,2019,42091,15571,44098
SUMMIT,no,2023,43585,16777,45928
SUMMIT,no,2028,45863,18629,50737
SUMMIT,no,2030,46948,19363,52423
SUMMIT,no,2040,52170,22638,56783
SUMMIT,no,2050,56358,25379,59582
TOOELE,yes,2019,70910,21578,24059
TOOELE,yes,2023,80535,25148,27001
TOOELE,yes,2028,92192,30391,29293
TOOELE,yes,2030,96028,32316,30286
TOOELE,yes,2040,114383,41787,34572
TOOELE,yes,2050,131605,52934,38716
UINTAH,no,2019,35349,11910,18430
UINTAH,no,2023,36128,12371,19112
UINTAH,no,2028,36790,13085,19837
UINTAH,no,2030,37024,13358,19679
UINTAH,no,2040,38800,14843,20882
UINTAH,no,2050,42545,16689,22689
UTAH,no,2019,628952,178905,376888
UTAH,no,2023,705231,205786,426841
UTAH,no,2028,800713,243346,464591
UTAH,no,2030,833963,257472,478985
UTAH,no,2040,1000274,327093,549434
UTAH,no,2050,1160584,396855,640998
WASATCH,no,2019,33911,10801,18536
WASATCH,no,2023,37368,12333,20042
WASATCH,no,2028,42243,14672,22407
WASATCH,no,2030,44461,15675,23184
WASATCH,no,2040,56558,20786,26224
WASATCH,no,2050,68786,26856,28752
WASHINGTON,no,2019,172726,59930,104158
WASHINGTON,no,2023,203697,72618,118805
WASHINGTON,no,2028,247164,91503,136654
WASHINGTON,no,2030,262229,98497,143155
WASHINGTON,no,2040,332728,131765,172489
WASHINGTON,no,2050,395780,165946,196376
WAYNE,no,2019,2486,1056,1954
WAYNE,no,2023,2505,1089,2082
WAYNE,no,2028,2527,1120,2207
WAYNE,no,2030,2547,1121,2241
WAYNE,no,2040,2703,1149,2350
WAYNE,no,2050,2840,1223,2524
WEBER,yes,2019,257276,88705,145242
WEBER,yes,2023,268909,94074,155157
WEBER,yes,2028,285225,102446,163326
WEBER,yes,2030,292190,106137,166110
WEBER,yes,2040,327782,125475,178641
WEBER,yes,2050,361089,145710,193750
