ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,motion_type,doc_type
2023-001,2023-07-20,2023-07-20,"approve Ordinance No. 2023-001 amending an approved PD-C (Planned Development Commercial) on approximately 0.27 acres, located at 184 North 200 West Street for the purpose of adding a 12-room boutique hotel for a project to be known as STG Inn, with conditions from the Planning Commission.",meeting_minutes/minutes/2023/2023-07-17/2023-07-20_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-07-20,8,within_source,Land-Use/Zoning,ordinance
2023-002,2023-07-20,2023-07-20,"approve Ordinance No. 2023-002 annexing property into the City of St. George, and adjusting the corporate boundary lines, to include 163.1055 acres with the condition that a 90’ right of way that is included in the road master plan be granted within a year. [Recording 1]",meeting_minutes/minutes/2023/2023-07-17/2023-07-20_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-07-20,1,within_source,Land-Use/Zoning,ordinance
2023-003,2023-07-20,2023-07-20,"approve Ordinance No. 2023-003 amending Title 10-8D-1 of the St. George City Code to add Food Truck Park as a permitted with standards use, to amend Title 10-17A to add Food Truck Park along with its specific standards, and to amend Title 10-19-5 to add off-street parking requirements for Food Truck Parks for a project to be called Food Truck Park with the following changes: 1) requirements to move the truck from 12:00 am – 6:00 am, shall not be required, instead they be required to be road ready and well maintained; 2) a condition that if there is a commissary kitchen, a grease interceptor will be required; and 3) parking lot must be paved per City standards. St. George City Council Regular Meeting Minutes Director Cameron Cutler, and Mayor Randall: 01:36:00 [Recording 1]",meeting_minutes/minutes/2023/2023-07-17/2023-07-20_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-07-20,7,within_source,Ordinance,ordinance
2023-004,2023-07-20,2023-07-20,"approve Ordinance No. 2023-004 amending the city zoning map by amending the zone from C-2 (Highway Commercial) and OS (Open Space) to PD-R (Planned Development Residential) and adopting a development agreement on approximately 19.72 acres, located west of the 900 South and 250 West intersection for the purpose of allowing a 224-unit multi-family development to be known as Soleil Ridge Apartments, with conditions from Planning Commission and that the fence match what is behind it. [Recording 2]",meeting_minutes/minutes/2023/2023-07-17/2023-07-20_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-07-20,9,within_source,Land-Use/Zoning,ordinance
2023-005,2023-08-03,2023-08-03,"approve Ordinance No. 2023-005 vacating a portion of a municipal utility easement located between Lots 30 & 31, Bloomington Country Club No. 11 Subdivision.",meeting_minutes/minutes/2023/2023-07-31/2023-08-03_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-03,3,within_source,Land-Use/Zoning,ordinance
2023-006,2023-08-03,2023-08-03,approve Ordinance No. 2023-006 to vacate a portion of River Road (a deceleration lane) in the River Crossing development.,meeting_minutes/minutes/2023/2023-07-31/2023-08-03_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-03,4,within_source,Land-Use/Zoning,ordinance
2023-007,2023-08-03,2023-08-03,approve Ordinance No. 2023-007 vacating a portion of a municipal utility easement located in the Crimson Estates subdivision.,meeting_minutes/minutes/2023/2023-07-31/2023-08-03_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-03,5,within_source,Land-Use/Zoning,ordinance
2023-009,2023-08-03,2023-08-03,approve Ordinance No. 2023-009 amending the City General Plan future land-use map from MDR (Medium Density Residential) to COM (Commercial) on 14.5 acres located on the southeast corner of Mall Drive (Merrill Road) and 3000 East Street for a project to be known as Regional Retail Expansion.,meeting_minutes/minutes/2023/2023-07-31/2023-08-03_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-03,8,within_source,Land-Use/Zoning,ordinance
2023-010,2023-08-03,2023-08-03,"approve Ordinance No. 2023-010 amending an approved PD-C (Planned Development Commercial) on approximately 1.08 acres, located on the southeast corner of Desert Color Parkway and Black Mountain Drive for the purpose of adding a 4,727 square foot financial institution for a project to be known as Mountain America Credit Union with conditions from the Planning Commission.",meeting_minutes/minutes/2023/2023-07-31/2023-08-03_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-03,9,within_source,Land-Use/Zoning,ordinance
2023-011,2023-08-24,2023-08-24,approve Ordinance No. 2023-011 approving a development agreement on approximately 1.0 acres located at 3681 South Mulberry Drive for the purpose of allowing the applicant to build a garage in Open Space zone in exchange for a sewer easement and drainage easement. St. George City Council Regular Meeting Minutes,meeting_minutes/minutes/2023/2023-08-21/2023-08-24_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-24,2,within_source,Land-Use/Zoning,ordinance
