role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,2,2025-01-16,2026-03-19,48
2,2,1,2024-01-02,2026-06-16,260
3,3,1,2020-01-07,2021-12-07,190
4,4,1,2026-01-06,2026-06-16,56
5,5,1,2020-01-07,2021-12-07,195
6,6,1,2023-08-22,2023-12-06,32
7,7,1,2020-01-07,2026-06-16,658
8,8,1,2022-02-01,2023-12-06,207
9,9,2,2021-01-21,2026-05-07,289
10,10,2,2021-01-21,2023-12-07,126
11,11,1,2020-01-07,2022-11-01,303
12,12,2,2025-01-16,2026-04-02,50
13,13,2,2020-01-02,2025-01-02,324
14,14,2,2020-01-16,2025-01-02,295
15,15,2,2023-10-19,2025-01-02,65
16,16,2,2022-02-17,2026-05-07,195
17,17,2,2020-01-02,2026-05-07,351
18,18,1,2022-01-04,2026-06-16,480
19,19,1,2024-01-02,2026-06-16,221
20,20,2,2024-03-07,2026-05-07,119
21,21,2,2025-02-20,2026-04-02,39
22,22,2,2020-01-02,2021-01-07,83
23,23,1,2023-01-10,2023-06-27,64
24,24,1,2020-01-07,2024-12-03,488
25,25,2,2020-02-06,2021-01-07,70
26,26,1,2025-01-21,2025-11-25,89
27,27,2,2020-01-02,2021-12-16,148
28,28,2,2020-01-16,2024-01-04,235
