year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2016,municipal general,Council,1,Millcreek City Council District 1,MILLCREEK CITY COUNCIL DIST #1,1,2,plurality,3455,,SILVIA CATTEN,1924,55.69,DIANE ANGUS,1531,393,11.37,5934,,,False,False,,2016-11-08-general-election-statement-of-votes-cast.zip
2016,municipal general,Council,2,Millcreek City Council District 2,MILLCREEK CITY COUNCIL DIST #2,1,2,plurality,4720,,DWIGHT MARCHANT,2561,54.26,DWAYNE A VANCE,2159,402,8.52,7515,,,False,False,,2016-11-08-general-election-statement-of-votes-cast.zip
2016,municipal general,Council,3,Millcreek City Council District 3,MILLCREEK CITY COUNCIL DIST #3,1,2,plurality,6954,,CHERI M. JACKSON,4033,58.0,JEM KELLER,2921,1112,15.99,9282,,,False,False,,2016-11-08-general-election-statement-of-votes-cast.zip
2016,municipal general,Council,4,Millcreek City Council District 4,MILLCREEK CITY COUNCIL DIST #4,1,2,plurality,7864,,BEV UIPI,4744,60.33,SERAYA AMIRTHALINGAM,3120,1624,20.65,10221,,,False,False,,2016-11-08-general-election-statement-of-votes-cast.zip
2016,municipal general,Mayor,,Millcreek City Mayor,MILLCREEK CITY MAYOR,1,1,plurality,21288,,JEFF SILVESTRINI,21288,100.0,,0,21288,100.0,32952,,,True,False,,2016-11-08-general-election-statement-of-votes-cast.zip
2016,municipal primary,Council,1,Millcreek City Council District 1,MILLCREEK CITY COUNCIL DIST 1,1,5,plurality,1426,,SILVIA CATTEN,525,36.82,DIANE ANGUS,417,108,7.57,5100,,,False,False,,2016-06-28-primary-sovc.xlsx
2016,municipal primary,Council,2,Millcreek City Council District 2,MILLCREEK CITY COUNCIL DIST 2,1,4,plurality,1890,,DWIGHT MARCHANT,748,39.58,DWAYNE A VANCE,570,178,9.42,6662,,,False,False,,2016-06-28-primary-sovc.xlsx
2016,municipal primary,Council,3,Millcreek City Council District 3,MILLCREEK CITY COUNCIL DIST 3,1,7,plurality,3537,,CHERI M. JACKSON,1349,38.14,JEM KELLER,879,470,13.29,8612,,,False,False,,2016-06-28-primary-sovc.xlsx
2016,municipal primary,Council,4,Millcreek City Council District 4,MILLCREEK CITY COUNCIL DIST 4,1,8,plurality,4577,,BEV UIPI,1077,23.53,SERAYA AMIRTHALINGAM,955,122,2.67,9555,,,False,False,,2016-06-28-primary-sovc.xlsx
2016,municipal primary,Mayor,,Millcreek City Mayor,MILLCREEK CITY MAYOR,1,9,plurality,12121,,JEFF SILVESTRINI,4011,33.09,FRED HEALEY,3101,910,7.51,29929,,,False,False,,2016-06-28-primary-sovc.xlsx
2017,municipal general,Council,2,Millcreek City Council District 2,MILLCREEK CITY CNCL DIST 2,1,2,plurality,2607,,DWIGHT MARCHANT,1734,66.51,DWAYNE A VANCE,873,861,33.03,7082,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,4,Millcreek City Council District 4,MILLCREEK CITY CNCL DIST 4,1,1,plurality,3930,,BEV UIPI,3930,100.0,,0,3930,100.0,9855,,,True,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2019,municipal general,Council,1,Millcreek City Council District 1,MILLCREEK COUNCIL DISTRICT 1,1,1,plurality,1564,,SILVIA CATTEN,1564,100.0,,0,1564,100.0,6273,,,True,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,3,Millcreek City Council District 3,MILLCREEK COUNCIL DISTRICT 3,1,2,plurality,4522,,CHERI JACKSON,3567,78.88,JEMINA A. KELLER,955,2612,57.76,9335,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Mayor,,Millcreek City Mayor,MILLCREEK MAYOR,1,2,plurality,14480,,JEFF SILVESTRINI,10855,74.97,ANGEL VICE,3625,7230,49.93,33636,,,False,False,,2019-11-05-general-election-sovc.xlsx
2021,municipal general,Council,2,Millcreek City Council District 2,MILLCREEK COUNCIL DISTRICT 2,1,4,ranked choice (RCV),2919,,THOM DESIRANT,988,33.85,JEREMIAH CLARK,1014,-26,-0.89,8250,2932,35.54,False,False,,2021-11-02-general-election-sovc.xlsx
2021,municipal general,Council,4,Millcreek City Council District 4,MILLCREEK COUNCIL DISTRICT 4,1,4,ranked choice (RCV),4151,,BEV UIPI,1809,43.58,BRUCE PARKER,1407,402,9.68,10729,4171,38.88,False,False,,2021-11-02-general-election-sovc.xlsx
2023,municipal general,Council,1,Millcreek City Council District 1,MILLCREEK CITY COUNCIL DISTRICT 1,1,1,uncontested (election cancelled),,,SILVIA CATTEN,,,,,,,,,,True,False,,CANCELLED-UNCONTESTED (Millcreek City / UCA 20A-1-206); not in county SOVC
2023,municipal general,Council,3,Millcreek City Council District 3,MILLCREEK COUNCIL DISTRICT 3,1,3,ranked choice (RCV),3783,,CHERI JACKSON,2884,76.24,SCOTT SPRINGER,521,2363,62.46,9702,3819,39.36,False,False,,statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
