year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2016,municipal general,Council,1,Millcreek City Council District 1,SILVIA CATTEN,1924,55.69,1,True
2016,municipal general,Council,1,Millcreek City Council District 1,DIANE ANGUS,1531,44.31,2,False
2016,municipal general,Council,2,Millcreek City Council District 2,DWIGHT MARCHANT,2561,54.26,1,True
2016,municipal general,Council,2,Millcreek City Council District 2,DWAYNE A VANCE,2159,45.74,2,False
2016,municipal general,Council,3,Millcreek City Council District 3,CHERI M. JACKSON,4033,58.0,1,True
2016,municipal general,Council,3,Millcreek City Council District 3,JEM KELLER,2921,42.0,2,False
2016,municipal general,Council,4,Millcreek City Council District 4,BEV UIPI,4744,60.33,1,True
2016,municipal general,Council,4,Millcreek City Council District 4,SERAYA AMIRTHALINGAM,3120,39.67,2,False
2016,municipal general,Mayor,,Millcreek City Mayor,JEFF SILVESTRINI,21288,100.0,1,True
2016,municipal primary,Council,1,Millcreek City Council District 1,SILVIA CATTEN,525,36.82,1,True
2016,municipal primary,Council,1,Millcreek City Council District 1,DIANE ANGUS,417,29.24,2,False
2016,municipal primary,Council,1,Millcreek City Council District 1,GARLYN (GAR) HENDRY,206,14.45,3,False
2016,municipal primary,Council,1,Millcreek City Council District 1,THOMAS RICHARDS,196,13.74,4,False
2016,municipal primary,Council,1,Millcreek City Council District 1,LORRIN P. COLBY JR,82,5.75,5,False
2016,municipal primary,Council,2,Millcreek City Council District 2,DWIGHT MARCHANT,748,39.58,1,True
2016,municipal primary,Council,2,Millcreek City Council District 2,DWAYNE A VANCE,570,30.16,2,False
2016,municipal primary,Council,2,Millcreek City Council District 2,RIVKA RICHMAN,401,21.22,3,False
2016,municipal primary,Council,2,Millcreek City Council District 2,JOHN DOUGLAS,171,9.05,4,False
2016,municipal primary,Council,3,Millcreek City Council District 3,CHERI M. JACKSON,1349,38.14,1,True
2016,municipal primary,Council,3,Millcreek City Council District 3,JEM KELLER,879,24.85,2,False
2016,municipal primary,Council,3,Millcreek City Council District 3,DON WILLIE,520,14.7,3,False
2016,municipal primary,Council,3,Millcreek City Council District 3,ADAM ZIMMERMAN,276,7.8,4,False
2016,municipal primary,Council,3,Millcreek City Council District 3,JEFFREY M. WATERS,244,6.9,5,False
2016,municipal primary,Council,3,Millcreek City Council District 3,BOB SHUPE,146,4.13,6,False
2016,municipal primary,Council,3,Millcreek City Council District 3,JOHN W LISH,123,3.48,7,False
2016,municipal primary,Council,4,Millcreek City Council District 4,BEV UIPI,1077,23.53,1,True
2016,municipal primary,Council,4,Millcreek City Council District 4,SERAYA AMIRTHALINGAM,955,20.87,2,False
2016,municipal primary,Council,4,Millcreek City Council District 4,LISA H. BAGLEY,818,17.87,3,False
2016,municipal primary,Council,4,Millcreek City Council District 4,LAMONT TYLER,787,17.19,4,False
2016,municipal primary,Council,4,Millcreek City Council District 4,BARRY B BOWEN,448,9.79,5,False
2016,municipal primary,Council,4,Millcreek City Council District 4,ROBERT S. BEARDSHALL,196,4.28,6,False
2016,municipal primary,Council,4,Millcreek City Council District 4,KURT ZIMMERMAN,183,4.0,7,False
2016,municipal primary,Council,4,Millcreek City Council District 4,VAUGHN HOWARD,113,2.47,8,False
2016,municipal primary,Mayor,,Millcreek City Mayor,JEFF SILVESTRINI,4011,33.09,1,True
2016,municipal primary,Mayor,,Millcreek City Mayor,FRED HEALEY,3101,25.58,2,False
2016,municipal primary,Mayor,,Millcreek City Mayor,SCOTT HOWELL,2061,17.0,3,False
2016,municipal primary,Mayor,,Millcreek City Mayor,JO-ANN WONG,836,6.9,4,False
2016,municipal primary,Mayor,,Millcreek City Mayor,CRAIG S. COOK,731,6.03,5,False
2016,municipal primary,Mayor,,Millcreek City Mayor,VERDI WHITE,710,5.86,6,False
2016,municipal primary,Mayor,,Millcreek City Mayor,BECKY MOSS,376,3.1,7,False
2016,municipal primary,Mayor,,Millcreek City Mayor,PHILLIP ARCHER,228,1.88,8,False
2016,municipal primary,Mayor,,Millcreek City Mayor,EDWARD B. FRANK,67,0.55,9,False
2017,municipal general,Council,2,Millcreek City Council District 2,DWIGHT MARCHANT,1734,66.51,1,True
2017,municipal general,Council,2,Millcreek City Council District 2,DWAYNE A VANCE,873,33.49,2,False
2017,municipal general,Council,4,Millcreek City Council District 4,BEV UIPI,3930,100.0,1,True
2019,municipal general,Council,1,Millcreek City Council District 1,SILVIA CATTEN,1564,100.0,1,True
2019,municipal general,Council,3,Millcreek City Council District 3,CHERI JACKSON,3567,78.88,1,True
2019,municipal general,Council,3,Millcreek City Council District 3,JEMINA A. KELLER,955,21.12,2,False
2019,municipal general,Mayor,,Millcreek City Mayor,JEFF SILVESTRINI,10855,74.97,1,True
2019,municipal general,Mayor,,Millcreek City Mayor,ANGEL VICE,3625,25.03,2,False
2021,municipal general,Council,2,Millcreek City Council District 2,JEREMIAH CLARK,1014,34.74,1,False
2021,municipal general,Council,2,Millcreek City Council District 2,THOM DESIRANT,988,33.85,2,True
2021,municipal general,Council,2,Millcreek City Council District 2,ANGEL VICE,701,24.02,3,False
2021,municipal general,Council,2,Millcreek City Council District 2,LYNDA BAGLEY-GIBSON,216,7.4,4,False
2021,municipal general,Council,4,Millcreek City Council District 4,BEV UIPI,1809,43.58,1,True
2021,municipal general,Council,4,Millcreek City Council District 4,BRUCE PARKER,1407,33.9,2,False
2021,municipal general,Council,4,Millcreek City Council District 4,BEVERLY BOYCE,541,13.03,3,False
2021,municipal general,Council,4,Millcreek City Council District 4,REX WILLIAMS,394,9.49,4,False
2023,municipal general,Council,1,Millcreek City Council District 1,SILVIA CATTEN,,,1,True
2023,municipal general,Council,3,Millcreek City Council District 3,CHERI JACKSON,2884,76.24,1,True
2023,municipal general,Council,3,Millcreek City Council District 3,SCOTT SPRINGER,521,13.77,2,False
2023,municipal general,Council,3,Millcreek City Council District 3,DAVID F. HOLZ,378,9.99,3,False
2023,municipal general,Mayor,,Millcreek City Mayor,JEFF SILVESTRINI,,,1,True
2025,municipal general,Council,2,Millcreek City Council District 2,THOM DESIRANT,1681,59.25,1,True
2025,municipal general,Council,2,Millcreek City Council District 2,ANGIE GRAY,1156,40.75,2,False
2025,municipal general,Council,2,Millcreek City Council District 2,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,4,Millcreek City Council District 4,BEV UIPI,3288,81.97,1,True
2025,municipal general,Council,4,Millcreek City Council District 4,CONNOR JETT GALE,723,18.03,2,False
2025,municipal general,Council,4,Millcreek City Council District 4,Write-in (unresolved),0,0.0,3,False
