path_raw,text,pages,chars,format,extraction_method
raw/2019_9949_Donald-Christensen-Finance-Statement-Final.pdf,text/2019_9949_Donald-Christensen-Finance-Statement-Final.txt,4,1667,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3495_Arnold-Jones-Final-Campaign-Financial-Disclosure.pdf,text/2021_3495_Arnold-Jones-Final-Campaign-Financial-Disclosure.txt,3,8490,text,pdftotext -layout
raw/2021_3496_Arnold-Jones-Primary-Financial-Disclosure.pdf,text/2021_3496_Arnold-Jones-Primary-Financial-Disclosure.txt,3,9228,text,pdftotext -layout
raw/2021_3497_Chris-Bell-Final-Campaign-Financial-Disclosure.pdf,text/2021_3497_Chris-Bell-Final-Campaign-Financial-Disclosure.txt,3,1394,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3498_Chris-Bell-General-Financial-Disclosure.pdf,text/2021_3498_Chris-Bell-General-Financial-Disclosure.txt,3,2788,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3499_Chris-Bell-Primary-Financial-Disclosure.pdf,text/2021_3499_Chris-Bell-Primary-Financial-Disclosure.txt,4,4128,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3500_Darrell-Curtis-Final-Campaign-Financial-Disclosure.pdf,text/2021_3500_Darrell-Curtis-Final-Campaign-Financial-Disclosure.txt,1,979,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3501_Darrell-Curtis-General-Financial-Disclosure.pdf,text/2021_3501_Darrell-Curtis-General-Financial-Disclosure.txt,3,2134,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3502_Jake-Fitisemanu-Final-Campaign-Financial-Disclosure.pdf,text/2021_3502_Jake-Fitisemanu-Final-Campaign-Financial-Disclosure.txt,3,10455,text,pdftotext -layout
raw/2021_3503_Jake-Fitisemanu-General-Financial-Disclosure.pdf,text/2021_3503_Jake-Fitisemanu-General-Financial-Disclosure.txt,4,24156,text,pdftotext -layout
raw/2021_3504_Jim-Vesock-Final-Campaign-Financial-Disclosure.pdf,text/2021_3504_Jim-Vesock-Final-Campaign-Financial-Disclosure.txt,1,918,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3505_Jim-Vesock-General-Financial-Disclosure.pdf,text/2021_3505_Jim-Vesock-General-Financial-Disclosure.txt,5,4189,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3506_Karen-Lang-Final-Campaign-Financial-Disclosure.pdf,text/2021_3506_Karen-Lang-Final-Campaign-Financial-Disclosure.txt,2,1436,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3507_Karen-Lang-General-Financial-Disclosure.pdf,text/2021_3507_Karen-Lang-General-Financial-Disclosure.txt,2,2134,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3508_Karen-Lang-Primary-Financial-Disclosure.pdf,text/2021_3508_Karen-Lang-Primary-Financial-Disclosure.txt,3,3463,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3509_Lars-Nordfelt-Final-Campaign-Financial-Disclosure.pdf,text/2021_3509_Lars-Nordfelt-Final-Campaign-Financial-Disclosure.txt,2,1454,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3510_Lars-Nordfelt-General-Financial-Disclosure.pdf,text/2021_3510_Lars-Nordfelt-General-Financial-Disclosure.txt,3,5350,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3511_Lindie-Sue-Beaudoin-Final-Campaign-Financial-Disclosure.pdf,text/2021_3511_Lindie-Sue-Beaudoin-Final-Campaign-Financial-Disclosure.txt,3,1547,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3512_Lindie-Sue-Beaudoin-General-Financial-Disclosure.pdf,text/2021_3512_Lindie-Sue-Beaudoin-General-Financial-Disclosure.txt,3,2288,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3513_Philip-Wayman-Final-Campaign-Financial-Disclosure.pdf,text/2021_3513_Philip-Wayman-Final-Campaign-Financial-Disclosure.txt,1,380,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3514_Philip-Wayman-Primary-Financial-Disclosure.pdf,text/2021_3514_Philip-Wayman-Primary-Financial-Disclosure.txt,3,1524,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3515_Scott-Harmon-Final-Campaign-Financial-Disclosure.pdf,text/2021_3515_Scott-Harmon-Final-Campaign-Financial-Disclosure.txt,3,1674,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3516_Scott-Harmon-General-Financial-Disclosure.pdf,text/2021_3516_Scott-Harmon-General-Financial-Disclosure.txt,3,2293,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm)
raw/2021_3517_Scott-Harmon-Primary-Financial-Disclosure.pdf,text/2021_3517_Scott-Harmon-Primary-Financial-Disclosure.txt,3,2764,text,pdftotext -layout
