date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,filing_phase,source,source_id,in_election_results,election_winner,date_precision,pages,text_chars
2019-11-30,Donald Christensen,Council,2019,summary,,Donald Christensen Finance Statement Final,https://www.wvc-ut.gov/DocumentCenter/View/9949/Donald-Christensen,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2019_9949_Donald-Christensen-Finance-Statement-Final.pdf,At-Large,final,wayback:https://web.archive.org/web/2020id_/https://www.wvc-ut.gov/DocumentCenter/View/9949,DocumentCenter9949,yes,True,inferred,4,1667
2021-08-05,Arnold Jones,Council,2021,interim,,Arnold Jones - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3496,2026-07-06,text,pdftotext -layout,raw/2021_3496_Arnold-Jones-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3496,no,,inferred,3,9228
2021-11-30,Arnold Jones,Council,2021,summary,,Arnold Jones - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3495,2026-07-06,text,pdftotext -layout,raw/2021_3495_Arnold-Jones-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3495,no,,inferred,3,8490
2021-08-05,Chris Bell,Council,2021,interim,,Chris Bell - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3499,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3499_Chris-Bell-Primary-Financial-Disclosure.pdf,2,primary,city_archive_center,ADID3499,yes,False,inferred,4,4128
2021-10-27,Chris Bell,Council,2021,interim,,Chris Bell - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3498,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3498_Chris-Bell-General-Financial-Disclosure.pdf,2,general,city_archive_center,ADID3498,yes,False,inferred,3,2788
2021-11-30,Chris Bell,Council,2021,summary,,Chris Bell - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3497,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3497_Chris-Bell-Final-Campaign-Financial-Disclosure.pdf,2,final,city_archive_center,ADID3497,yes,False,inferred,3,1394
2021-10-27,Darrell Curtis,Council,2021,interim,,Darrell Curtis - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3501,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3501_Darrell-Curtis-General-Financial-Disclosure.pdf,4,general,city_archive_center,ADID3501,yes,False,inferred,3,2134
2021-11-30,Darrell Curtis,Council,2021,summary,,Darrell Curtis - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3500,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3500_Darrell-Curtis-Final-Campaign-Financial-Disclosure.pdf,4,final,city_archive_center,ADID3500,yes,False,inferred,1,979
2021-10-27,Jake Fitisemanu,Council,2021,interim,,Jake Fitisemanu - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3503,2026-07-06,text,pdftotext -layout,raw/2021_3503_Jake-Fitisemanu-General-Financial-Disclosure.pdf,4,general,city_archive_center,ADID3503,yes,True,inferred,4,24156
2021-11-30,Jake Fitisemanu,Council,2021,summary,,Jake Fitisemanu - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3502,2026-07-06,text,pdftotext -layout,raw/2021_3502_Jake-Fitisemanu-Final-Campaign-Financial-Disclosure.pdf,4,final,city_archive_center,ADID3502,yes,True,inferred,3,10455
2021-10-27,Jim Vesock,Council,2021,interim,,Jim Vesock - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3505,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3505_Jim-Vesock-General-Financial-Disclosure.pdf,At-Large,general,city_archive_center,ADID3505,yes,False,inferred,5,4189
2021-11-30,Jim Vesock,Council,2021,summary,,Jim Vesock - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3504,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3504_Jim-Vesock-Final-Campaign-Financial-Disclosure.pdf,At-Large,final,city_archive_center,ADID3504,yes,False,inferred,1,918
2021-08-05,Karen Lang,Mayor,2021,interim,,Karen Lang - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3508,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3508_Karen-Lang-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3508,yes,True,inferred,3,3463
2021-10-27,Karen Lang,Mayor,2021,interim,,Karen Lang - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3507,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3507_Karen-Lang-General-Financial-Disclosure.pdf,,general,city_archive_center,ADID3507,yes,True,inferred,2,2134
2021-11-30,Karen Lang,Mayor,2021,summary,,Karen Lang - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3506,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3506_Karen-Lang-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3506,yes,True,inferred,2,1436
