motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,2,1,MOTION: Council Member Bracken moved to close the Work Session and open the Closed Session for the purpose of discussing pending litigation. The motion was seconded by Council Member Petersen,Procedural/Administrative,Passed (unanimous consent),Pass,council_vote,,procedural,keyword,high,,,,23,7,0,minutes/2020/2020-01-06/2020-01-07_work-session-and-business-meeting.md,minutes
2,1,2,2,"MOTION: Council Member Bracken moved to approve Proclamation 2020-01 designating January 2020 National Board of Education month. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Bracken-Aye, Council Member Bruce-Aye, Council Member Mikell-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Ceremonial,Passed unanimously,Pass,council_vote,,procedural,keyword,high,,,,23,28,1,minutes/2020/2020-01-06/2020-01-07_work-session-and-business-meeting.md,minutes
3,1,2,3,"MOTION: Council Member Bracken moved to approve Ordinance 336-A. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Bracken-Aye, Council Member Bruce-Aye, Council Member Mikell-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Ordinance,Passed unanimously,Pass,council_vote,,approve,keyword,high,,,,23,3,1,minutes/2020/2020-01-06/2020-01-07_work-session-and-business-meeting.md,minutes
4,1,2,4,"MOTION: Council Member Mikell moved to approve Resolution 2020-01. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Bracken-Aye, Council Member Bruce-Aye, Council Member Mikell-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Pass,council_vote,,approve,keyword,high,,,,3,7,1,minutes/2020/2020-01-06/2020-01-07_work-session-and-business-meeting.md,minutes
5,1,2,5,"MOTION: Council Member Bruce moved to approve the Minutes of November 19, 2019. The motion was seconded by Council Member Mikell",Procedural/Administrative,Passed (unanimous consent),Pass,council_vote,,procedural,keyword,high,,,,28,3,0,minutes/2020/2020-01-06/2020-01-07_work-session-and-business-meeting.md,minutes
6,1,2,6,MOTION: Council Member Bruce moved to adjourn the Business Meeting. The motion was seconded by Council Member Mikell,Procedural/Administrative,Passed (unanimous consent),Pass,council_vote,,procedural,keyword,high,,,,28,3,0,minutes/2020/2020-01-06/2020-01-07_work-session-and-business-meeting.md,minutes
7,2,2,1,MOTION: Council Member Bracken moved to close the Open Session and open the Closed Meeting to discuss pending litigation. Council Member Mikell seconded the motion,Procedural/Administrative,Passed (unanimous consent),Pass,council_vote,,procedural,keyword,high,,,,23,3,0,minutes/2020/2020-01-20/2020-01-21_work-session-and-business-meeting.md,minutes
8,2,2,2,"MOTION: Council Member Bruce moved to adopt Ordinance 337. Council Member Bracken seconded the motion. Vote on motion: Council Member Petersen-Aye, Council Member Bracken- Aye, Council Member Bruce-Aye, Council Member Mikell-Aye, Mayor Mike Peterson-Aye",Ordinance,Passed unanimously,Pass,council_vote,,approve,keyword,high,,,,28,23,1,minutes/2020/2020-01-20/2020-01-21_work-session-and-business-meeting.md,minutes
9,2,2,3,"MOTION: Council Member Bracken moved to adopt Ordinance 338. Council Member Bruce seconded the motion. Vote on motion: Council Member Petersen-Aye, Council Member Bracken- Aye, Council Member Bruce-Aye, Council Member Mikell-Aye, Mayor Mike Peterson-Aye",Ordinance,Passed unanimously,Pass,council_vote,,approve,keyword,high,,,,23,28,1,minutes/2020/2020-01-20/2020-01-21_work-session-and-business-meeting.md,minutes
10,2,2,4,"MOTION: Council Member Mikell moved to adopt Resolution 2020-02. Council Member Bruce seconded the motion. Vote on motion: Council Member Petersen-Aye, Council Member Bracken- Aye, Council Member Bruce-Aye, Council Member Mikell-Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Pass,council_vote,,approve,keyword,high,,,,3,28,1,minutes/2020/2020-01-20/2020-01-21_work-session-and-business-meeting.md,minutes
