role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2020-04-15,2022-06-01,47
2,2,3,2020-01-08,2022-06-01,50
3,3,1,2020-10-20,2020-10-20,1
4,3,2,2020-01-07,2021-12-14,154
5,4,3,2020-01-08,2022-06-01,42
6,5,3,2020-01-08,2026-01-21,94
7,6,3,2023-09-06,2025-07-16,19
8,7,1,2020-10-20,2023-01-17,5
9,7,2,2020-01-07,2023-04-04,284
10,8,3,2020-01-08,2021-05-05,29
11,9,1,2022-06-21,2025-11-18,11
12,9,2,2022-01-04,2026-06-16,353
13,10,3,2025-03-05,2026-01-21,6
14,11,2,2026-01-06,2026-06-16,55
15,12,3,2020-03-04,2020-05-06,6
16,13,3,2020-01-08,2023-06-07,55
17,14,3,2020-12-02,2024-04-03,49
18,15,3,2021-07-21,2024-04-03,43
19,16,3,2021-03-03,2026-01-21,69
20,17,1,2023-07-11,2025-11-18,10
21,17,2,2023-05-16,2026-06-16,246
22,18,1,2020-10-20,2020-10-20,1
23,18,2,2020-01-07,2021-12-14,170
24,19,3,2022-08-03,2026-01-21,42
25,20,3,2023-01-18,2026-01-21,36
26,21,1,2022-03-01,2025-10-21,14
27,21,2,2022-01-04,2025-11-18,302
28,22,3,2026-01-21,2026-01-21,1
29,23,1,2020-10-20,2023-10-03,9
30,23,2,2020-01-07,2023-12-05,349
31,24,3,2022-08-03,2026-01-21,39
32,25,1,2022-03-01,2025-11-18,14
33,25,2,2022-01-04,2026-06-16,362
34,26,3,2020-01-08,2020-10-07,19
35,27,1,2024-09-17,2025-11-18,7
36,27,2,2024-01-02,2026-06-16,217
37,28,1,2020-10-20,2020-10-20,1
38,28,2,2020-01-07,2021-10-19,140
