year,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,rank_in_contest,n_precincts,suppressed,source_file
2006,general,COUNTY ASSESSOR,summit_county,County Assessor,,,BARBARA J. KRESSER (DEM),DEM,9337,1,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY ASSESSOR,summit_county,County Assessor,,,Write-In Votes,,55,2,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY ATTORNEY,summit_county,County Attorney,,,DAVID R. BRICKEY (REP),REP,7491,1,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY ATTORNEY,summit_county,County Attorney,,,Write-In Votes,,185,2,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY AUDITOR,summit_county,County Auditor,,,BLAKE L. FRAZIER (DEM),DEM,9041,1,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY AUDITOR,summit_county,County Auditor,,,Write-In Votes,,49,2,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY CLERK,summit_county,County Clerk,,,KENT H. JONES (DEM),DEM,7447,1,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY CLERK,summit_county,County Clerk,,,KATHY DOPP (DES),DES,2256,2,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY CLERK,summit_county,County Clerk,,,Write-In Votes,,53,3,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY COMM A,summit_county,County Commission,Seat A,,"ROBERT ""BOB"" RICHER (DEM)",DEM,6404,1,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY COMM A,summit_county,County Commission,Seat A,,WILLIAM G. MILES (REP),REP,4536,2,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY COMM A,summit_county,County Commission,Seat A,,Write-In Votes,,10,3,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY COMM B,summit_county,County Commission,Seat B,,K. WOOLSTENHULME (DEM),DEM,8620,1,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY COMM B,summit_county,County Commission,Seat B,,Write-In Votes,,170,2,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY RECORDER,summit_county,County Recorder,,,ALAN SPRIGGS (DEM),DEM,8997,1,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY RECORDER,summit_county,County Recorder,,,Write-In Votes,,21,2,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY SHERIFF,summit_county,County Sheriff,,,DAVID A. EDMUNDS (REP),REP,7028,1,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY SHERIFF,summit_county,County Sheriff,,,Write-In Votes,,2401,2,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY SHERIFF,summit_county,County Sheriff,,,Brody Taylor,,0,3,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY TREASURER,summit_county,County Treasurer,,,GLEN G. THOMPSON (REP),REP,8169,1,41,false,raw/2006_general_precinct.pdf
2006,general,COUNTY TREASURER,summit_county,County Treasurer,,,Write-In Votes,,55,2,41,false,raw/2006_general_precinct.pdf
2008,general,SEAT A,summit_county,County Council,Seat A,,"ELLIOTT, SALLY (DEM)",DEM,9366,1,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT A,summit_county,County Council,Seat A,,"MILES, WILLIAM ""BILL (REP)",REP,6792,2,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT A,summit_county,County Council,Seat A,,Write-In Votes,,10,3,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT B,summit_county,County Council,Seat B,,"McMULLIN, CLAUDIA (DEM)",DEM,8806,1,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT B,summit_county,County Council,Seat B,,"RICHINS, GRANT (REP)",REP,7109,2,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT B,summit_county,County Council,Seat B,,Write-In Votes,,12,3,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT C,summit_county,County Council,Seat C,,"HANRAHAN, JOHN (DEM)",DEM,9724,1,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT C,summit_county,County Council,Seat C,,"HURD, THOMAS L. (REP)",REP,6032,2,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT C,summit_county,County Council,Seat C,,Write-In Votes,,7,3,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT D,summit_county,County Council,Seat D,,"ROBINSON, CHRISTOPHE (DEM)",DEM,8039,1,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT D,summit_county,County Council,Seat D,,"PITT, ALISON (REP)",REP,6093,2,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT D,summit_county,County Council,Seat D,,"SHUMWAY, GARY (CON)",CON,1553,3,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT D,summit_county,County Council,Seat D,,Write-In Votes,,8,4,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT E,summit_county,County Council,Seat E,,"URE, DAVID (REP)",REP,8259,1,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT E,summit_county,County Council,Seat E,,"WEINSTEIN, STEVE (DEM)",DEM,7586,2,48,false,raw/2008_general_precinct.pdf
2008,general,SEAT E,summit_county,County Council,Seat E,,Write-In Votes,,9,3,48,false,raw/2008_general_precinct.pdf
2010,general,ASSESSOR,summit_county,County Assessor,,,"MARTIN, STEVE (DEM)",DEM,5969,1,49,false,raw/2010_general_precinct.pdf
2010,general,ASSESSOR,summit_county,County Assessor,,,"HUNT, ROBERT D. (REP)",REP,5074,2,49,false,raw/2010_general_precinct.pdf
2010,general,ASSESSOR,summit_county,County Assessor,,,Write-In Votes,,2,3,49,false,raw/2010_general_precinct.pdf
2010,general,ATTORNEY,summit_county,County Attorney,,,"BRICKEY, DAVID (REP)",REP,8270,1,49,false,raw/2010_general_precinct.pdf
2010,general,ATTORNEY,summit_county,County Attorney,,,Write-In Votes,,105,2,49,false,raw/2010_general_precinct.pdf
2010,general,AUDITOR,summit_county,County Auditor,,,"FRAZIER, BLAKE (DEM)",DEM,8626,1,49,false,raw/2010_general_precinct.pdf
2010,general,AUDITOR,summit_county,County Auditor,,,Write-In Votes,,73,2,49,false,raw/2010_general_precinct.pdf
2010,general,CLERK,summit_county,County Clerk,,,"JONES, KENT H. (DEM)",DEM,6672,1,49,false,raw/2010_general_precinct.pdf
2010,general,CLERK,summit_county,County Clerk,,,"MOTTO, RICHARD (REP)",REP,4158,2,49,false,raw/2010_general_precinct.pdf
2010,general,CLERK,summit_county,County Clerk,,,Write-In Votes,,3,3,49,false,raw/2010_general_precinct.pdf
