date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,source,date_precision,is_incremental,matched_election_candidate,join_confidence,sha256,notes
2025-10-07,Allan Perry,Mayor,2025,interim,Report Prior to General Election (Oct 7),2025 Allan Perry (Mayor) - campaign finance report (Report Prior to General Election (Oct 7)),https://whitecity.utah.gov/files/155e47ca3/AllanPerry_WC_FinancialDisclosure_October7.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_perry_cf_10-07.pdf,city_website,report_type_box,no,ALLAN PERRY,high,2445a19dd847aad8ef9d9e5c78dae86e4d7921e3a6df06a9347d6eaeee6053fe,
2025-10-28,Allan Perry,Mayor,2025,interim,Report Prior to General Election (Oct 28),2025 Allan Perry (Mayor) - campaign finance report (Report Prior to General Election (Oct 28)),https://whitecity.utah.gov/files/e61af8130/AllanPerry_WC_FinancialDisclosure_October28.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2025_perry_cf_10-28.pdf,city_website,report_type_box,no,ALLAN PERRY,high,874208c8fa478c5eec6d72a4d5de308d601fa5c3084b70d33e7550b6afd582c9,
2025-12-04,Allan Perry,Mayor,2025,summary,Final Report (Dec 4),2025 Allan Perry (Mayor) - campaign finance report (Final Report (Dec 4)),https://whitecity.utah.gov/files/b1de31d5b/AllanPerry_WC_FinancialDisclosure_December4.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_perry_cf_12-04_final.pdf,city_website,report_type_box,no,ALLAN PERRY,high,31b04358e2a624b5d594287d6feab437f11aa07d83ac9d8198e57c41fb9098e0,Won mayor 61.9%.
2025-10-07,Paulina Flint,Mayor,2025,interim,Report Prior to General Election (Oct 7),2025 Paulina Flint (Mayor) - campaign finance report (Report Prior to General Election (Oct 7)),https://whitecity.utah.gov/files/9bc82467c/10-07-2025+Paulina+Flint+Signed+Campaign+Disclosure.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2025_flint_cf_10-07.pdf,city_website,report_type_box,no,PAULINA FLINT,high,1277f65dfad7784a78b26878544bee5536afa0b8168a4d5b835608c9a2e10924,"Contributions incl. $820 self-loan, $500 Yianni Ioannou, $80 Lina Barkey."
2025-10-28,Paulina Flint,Mayor,2025,interim,Report Prior to General Election (Oct 28),2025 Paulina Flint (Mayor) - campaign finance report (Report Prior to General Election (Oct 28)),https://whitecity.utah.gov/files/7bcf89e18/10-28-2025+Paulina+Flint+Signed+Campaign+Disclosure.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2025_flint_cf_10-28.pdf,city_website,report_type_box,no,PAULINA FLINT,high,71a28adf5f65a3386050baccf6ca4009e2211d6fa51166e3d6c6ee84973b2a48,
2025-12-04,Paulina Flint,Mayor,2025,summary,Final Report (Dec 4),2025 Paulina Flint (Mayor) - campaign finance report (Final Report (Dec 4)),https://whitecity.utah.gov/files/24515f623/12-04-2025+Paulina+Flint+Signed+Final+Campaign+Disclosure.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2025_flint_cf_12-04_final.pdf,city_website,report_type_box,no,PAULINA FLINT,high,14a8b19dc9b34ddcd28fa82695d4afbe12fc5eb50710a6c74d4bef26718a7622,Restates same entries as Oct 7 (cumulative filer). Lost mayor race.
2025-10-07,Linda Price,Council At-Large B,2025,interim,Report Prior to General Election (Oct 7),2025 Linda Price (Council At-Large B) - campaign finance report (Report Prior to General Election (Oct 7)),https://whitecity.utah.gov/files/c1ee93e31/Linda+Price+Oct+7+Financial+Disclosure.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_price_cf_10-07.pdf,city_website,report_type_box,no,LINDA PRICE,high,3bb47f136221b84453c3bf0442452b7c099f1608cd49dbb4e801ab0dd1668c75,
2025-10-28,Linda Price,Council At-Large B,2025,interim,Report Prior to General Election (Oct 28),2025 Linda Price (Council At-Large B) - campaign finance report (Report Prior to General Election (Oct 28)),https://whitecity.utah.gov/files/ef3fa56a8/Linda+Price+October+28th+Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_price_cf_10-28.pdf,city_website,report_type_box,no,LINDA PRICE,high,144839d3bd268ed2591bea3f5e8e79edf8b697db2d3474fc1624d4a59ec7250a,
2025-12-04,Linda Price,Council At-Large B,2025,summary,Final Report (Dec 4),2025 Linda Price (Council At-Large B) - campaign finance report (Final Report (Dec 4)),https://whitecity.utah.gov/files/d949aa9fa/Linda+Price+Dec+4+Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_price_cf_12-04_final.pdf,city_website,report_type_box,no,LINDA PRICE,high,d576b305e9bd70735b26bb9ddc3ffd41af9748addb2b18015a3939f59fd3c667,Won Seat B 70.4%.
2025-10-07,Douglas Denning,Council At-Large B,2025,interim,Report Prior to General Election (Oct 7),2025 Douglas Denning (Council At-Large B) - campaign finance report (Report Prior to General Election (Oct 7)),https://whitecity.utah.gov/files/2207ea15b/Doug+Denning+WC+Campaign+Financial+Disc+10-7-2025.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_denning_cf_10-07.pdf,city_website,report_type_box,no,DOUGLAS DENNING,high,7986ce4cd6444fd8704d3e43800b67ae5d0030e3cdd27dda726ee9e6ff7b03bd,
2025-10-28,Douglas Denning,Council At-Large B,2025,interim,Report Prior to General Election (Oct 28),2025 Douglas Denning (Council At-Large B) - campaign finance report (Report Prior to General Election (Oct 28)),https://whitecity.utah.gov/files/0fd4f97b8/Doug+Denning+Oct+28th+Report.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2025_denning_cf_10-28.pdf,city_website,report_type_box,no,DOUGLAS DENNING,high,5febafa2ff4310518fbb4a6ec5a06f69947a1e547795e12ad78976e306ddad3c,
2025-12-04,Douglas Denning,Council At-Large B,2025,summary,Final Report (Dec 4),2025 Douglas Denning (Council At-Large B) - campaign finance report (Final Report (Dec 4)),https://whitecity.utah.gov/files/50c15823b/Doug+Denning+Dec+4th+Report.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2025_denning_cf_12-04_final.pdf,city_website,report_type_box,no,DOUGLAS DENNING,high,542966ddf7ac6b029c0c45bff20fc2638c5916931bd210646cf1920ae7eb4188,Write-in candidate; ~$978 self-funded printing/flyer expenditures. Lost.
2025-10-07,Neil Mahoney,Council At-Large C,2025,interim,Report Prior to General Election (Oct 7),2025 Neil Mahoney (Council At-Large C) - campaign finance report (Report Prior to General Election (Oct 7)),https://whitecity.utah.gov/files/67f5d3b0f/White+city+disclosure+10-07-2025+Neil+Mahoney+.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_mahoney_cf_10-07.pdf,city_website,report_type_box,no,NEIL MAHONEY,high,f5eb678e1eff395821b688782284b0f965b4698dfa4dc3bfc802a09a106351aa,
2025-10-28,Neil Mahoney,Council At-Large C,2025,interim,Report Prior to General Election (Oct 28),2025 Neil Mahoney (Council At-Large C) - campaign finance report (Report Prior to General Election (Oct 28)),https://whitecity.utah.gov/files/42f1768d6/Neil+Mahoney+Oct+28th+Report.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_mahoney_cf_10-28.pdf,city_website,report_type_box,no,NEIL MAHONEY,high,4e38ba5f09dd5d8f490bce213d3173437b89ac7613563f8bd8321c6b3df603f5,
2025-12-04,Neil Mahoney,Council At-Large C,2025,summary,Final Report (Dec 4),2025 Neil Mahoney (Council At-Large C) - campaign finance report (Final Report (Dec 4)),https://whitecity.utah.gov/files/96da033b4/White+City+Disclosure+12-4-2025+Neil+Mahoney.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_mahoney_cf_12-04_final.pdf,city_website,report_type_box,no,NEIL MAHONEY,high,1adc5d1dcd2b5f96a14d2a861b5b7474e587fa4afe6ec4c1f47085a78cb5b957,"Won Seat C, unseated incumbent Cardenaz."
