candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-05-30,Carousel Hat Clothing LLC,Carousel Hat Clothing Llc,"signs, shirts, hats",2264.31,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v1,medium,vision_cache/vision,0
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-07-28,Wix.com,Wix.com,website,336.53,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v2,medium,vision_cache/vision,0
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-07-28,Wix.com,Wix.com,website,242.28,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v3,medium,vision_cache/vision,0
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-07-28,WCCC/Last Blast of Summer,WCCC/Last Blast of Summer,booth rental,95.00,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v4,medium,vision_cache/vision,0
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-08-01,Carousel Hat Clothing LLC,Carousel Hat Clothing Llc,signs,886.46,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v5,medium,vision_cache/vision,0
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-08-14,Amazon.com,Amazon.com,balloons,205.50,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v6,medium,vision_cache/vision,0
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-08-18,Amazon.com,Amazon.com,"LBOS handouts, supplies",115.50,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v7,medium,vision_cache/vision,0
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-08-21,FedEx,FedEx,LBOS printed materials,258.56,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v8,medium,vision_cache/vision,0
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-08-22,Carousel Hat Clothing LLC,Carousel Hat Clothing Llc,"shirts, stickers, banner",1198.07,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v9,medium,vision_cache/vision,0
Allan Perry,Mayor,,2025,2025-10-07,Report Prior to General Election (Oct 7),2025-08-26,Kimmy's Cookies,Kimmy's Cookies,LBOS cookies,200.00,False,True,raw/2025_perry_cf_10-07.pdf,8ac27d07,v10,medium,vision_cache/vision,0
