legistar_matter_id,matter_file,name,title,matter_type,status,intro_body,intro_date,agenda_date,passed_date,enactment_number,application_id
3642,19-370,,Vote for Chair and Vice Chair,Informational Report,Agenda Ready,Planning Commission,2019-10-09,2020-01-16,,,
3676,19-404,,City Council Office recommending the City Council adopt the 2020 annual meeting schedule.,Resolution,Agenda Ready,City Council,2019-11-01,2020-01-07,,,
3757,19-486,,Appointment to Architectural Design Review Committee,Informational Report,Agenda Ready,Planning Commission,2019-12-20,2020-01-16,,,
3760,20-002,,City Council Office recommending the Council elect a Chair and Vice Chair.,Resolution,Agenda Ready,City Council,2019-12-31,2020-01-07,,,
3761,20-003,,City Council Office recommending annually required Open and Public Meeting Act training.,Resolution,Agenda Ready,City Council,2019-12-31,2020-01-07,,,
3762,20-004,,City Council Office recommending the Council appoint Council Members to serve as liaisons to various external organizations and special committees.,Resolution,Passed,City Council,2019-12-31,2020-01-07,2020-01-07,,
3763,20-005,,Council Member Robinson recommending the Council adopt revisions to the policy on the Election of Council Officers.,Resolution,Passed,City Council,2019-12-31,2020-01-07,2020-01-07,,
3764,20-006,,Council Member Zoltanski proposing an amendment to the Council Rules of Procedure establishing Citizen Comments as timed certain for 7:00 PM.,Resolution,Passed,City Council,2019-12-31,2020-01-07,2020-01-07,,
3765,20-007,,Resolution for School Board Recognition Month.,Special Recognition,Agenda Ready,City Council,2019-12-31,2020-01-07,,,
3767,20-009,,"Approval of the December 17, 2019 Minutes.",Minutes,Consent Agenda,City Council,2020-01-02,2020-01-07,,,
3768,BOA-08-19-5696_2nd,,Firefly Forest Subdivision - Final Review - Alleged Error Review 3392 E. Deer Hollow Circle [Community #29 - The Dell],Planning Item,Agenda Ready,Board of Adjustment,2020-01-03,2020-01-09,,,
3770,20-012,,Planning Commission meeting minutes for 12.19.2019,Minutes,Passed,Planning Commission,2020-01-07,2020-01-16,2020-01-16,,
3771,SPR-10-19-5747,,Waterford School West Parking Lot (Preliminary Site Plan Review) 9461 S. 1400 E. [Community #17 - Willow Canyon],Planning Item,Passed,Planning Commission,2020-01-08,2020-01-16,2020-01-16,,3771
3772,20-014,,Council Member Zoltanski recommending the Council adopt amendments to the Council Rules of Procedure establishing Citizen Comments no earlier than 6:00 PM.,Resolution,Passed,City Council,2020-01-08,2020-01-21,2020-01-21,,
3776,CUP-12-19-5780,,Exercise Coach (CUP for Recreation Center) 9730 S. 700 E. Suite #110 [Community #5],Planning Item,Passed,Planning Commission,2020-01-08,2020-01-16,2020-01-16,,3776
3777,20-020,,Human Resources Department recommending that the City Council receive a presentation and update on the 2019 employee survey,Informational Report,Agenda Ready,City Council,2020-01-09,2020-01-21,,,
3778,20-021,,"Field trip map for January 16, 2020",Informational Report,Agenda Ready,Planning Commission,2020-01-09,2020-01-16,,,
3779,20-022,,Council office recommending that the Council receive a presentaion about the Sister City Program,Informational Report,Agenda Ready,City Council,2020-01-09,2020-01-21,,,
3780,20-023,,Council Member Christensen recommending the City Council appoint Rian Weaver as a regular member of the Historic Committee,Resolution,Agenda Ready,City Council,2020-01-09,2020-01-21,,,
3781,20-024,,Council Member Robinson recommending the Council adopt revisions to the policy on the Election of Council Officers.,Resolution,Consent Agenda,City Council,2020-01-09,2020-01-21,,,
3782,20-025,,"Council Office presenting the City Council Policy Manual, recommending amendments, and seeking Council direction for additional changes.",Resolution,Passed,City Council,2020-01-10,2020-01-21,2020-01-21,,
3783,20-026,,"City Council Office recommending adoption of the amended ""Exhibit A"" attached to Resolution 20-01C, 2020 Proposed Annual Meeting Schedule.",Resolution,Consent Agenda,City Council,2020-01-10,2020-01-21,,,
