legistar_vote_pk,legistar_vote_id,legistar_event_item_id,legistar_person_id,person_name,value_raw,value_norm
1,14513,25827,334,Brooke Christensen,Yes,Aye
2,14514,25827,253,Kris Nicholl,Yes,Aye
3,14515,25827,335,Zach Robinson,Yes,Aye
4,14516,25827,368,Marci Houseman,Yes,Aye
5,14517,25827,369,Alison Stroud,Yes,Aye
6,14518,25827,331,Cyndi Sharkey,Yes,Aye
7,14519,25827,370,Monica Zoltanski,Yes,Aye
8,14473,25830,334,Brooke Christensen,Yes,Aye
9,14474,25830,253,Kris Nicholl,Yes,Aye
10,14475,25830,335,Zach Robinson,Yes,Aye
11,14476,25830,368,Marci Houseman,Yes,Aye
12,14477,25830,369,Alison Stroud,Yes,Aye
13,14478,25830,331,Cyndi Sharkey,Yes,Aye
14,14479,25830,370,Monica Zoltanski,Yes,Aye
15,14520,25831,334,Brooke Christensen,Yes,Aye
16,14521,25831,253,Kris Nicholl,Yes,Aye
17,14522,25831,335,Zach Robinson,Yes,Aye
18,14523,25831,368,Marci Houseman,Yes,Aye
19,14524,25831,369,Alison Stroud,Yes,Aye
20,14525,25831,331,Cyndi Sharkey,Yes,Aye
21,14526,25831,370,Monica Zoltanski,Yes,Aye
22,14492,25832,369,Alison Stroud,Yes,Aye
23,14493,25832,253,Kris Nicholl,Yes,Aye
24,14494,25832,335,Zach Robinson,Yes,Aye
25,14495,25832,370,Monica Zoltanski,Yes,Aye
26,14496,25832,368,Marci Houseman,Yes,Aye
27,14497,25832,331,Cyndi Sharkey,Yes,Aye
28,14498,25832,334,Brooke Christensen,Yes,Aye
29,14645,26083,369,Alison Stroud,Yes,Aye
30,14646,26083,253,Kris Nicholl,Yes,Aye
31,14647,26083,335,Zach Robinson,Yes,Aye
32,14648,26083,370,Monica Zoltanski,Yes,Aye
33,14649,26083,368,Marci Houseman,Yes,Aye
34,14650,26083,331,Cyndi Sharkey,Yes,Aye
35,14651,26083,334,Brooke Christensen,Yes,Aye
36,14645,26084,369,Alison Stroud,Yes,Aye
37,14646,26084,253,Kris Nicholl,Yes,Aye
38,14647,26084,335,Zach Robinson,Yes,Aye
39,14648,26084,370,Monica Zoltanski,Yes,Aye
40,14649,26084,368,Marci Houseman,Yes,Aye
41,14650,26084,331,Cyndi Sharkey,Yes,Aye
42,14651,26084,334,Brooke Christensen,Yes,Aye
43,14645,26085,369,Alison Stroud,Yes,Aye
44,14646,26085,253,Kris Nicholl,Yes,Aye
45,14647,26085,335,Zach Robinson,Yes,Aye
46,14648,26085,370,Monica Zoltanski,Yes,Aye
47,14649,26085,368,Marci Houseman,Yes,Aye
48,14650,26085,331,Cyndi Sharkey,Yes,Aye
49,14651,26085,334,Brooke Christensen,Yes,Aye
50,14645,26086,369,Alison Stroud,Yes,Aye
51,14646,26086,253,Kris Nicholl,Yes,Aye
52,14647,26086,335,Zach Robinson,Yes,Aye
53,14648,26086,370,Monica Zoltanski,Yes,Aye
54,14649,26086,368,Marci Houseman,Yes,Aye
55,14650,26086,331,Cyndi Sharkey,Yes,Aye
56,14651,26086,334,Brooke Christensen,Yes,Aye
57,14652,26088,369,Alison Stroud,Yes,Aye
58,14653,26088,253,Kris Nicholl,Yes,Aye
59,14654,26088,335,Zach Robinson,Yes,Aye
60,14655,26088,370,Monica Zoltanski,Yes,Aye
61,14656,26088,368,Marci Houseman,Yes,Aye
62,14657,26088,331,Cyndi Sharkey,No,Nay
63,14658,26088,334,Brooke Christensen,Yes,Aye
64,14610,26089,369,Alison Stroud,Yes,Aye
