legistar_event_id,legistar_body_id,event_date,event_time,location,agenda_status,minutes_status,meeting_id
1386,140,2020-01-02,6:15 PM,Council Chambers,Final,Draft,
1393,140,2020-01-16,6:15 PM,Council Chambers,Final,Final,2
1395,138,2020-01-07,5:15 PM,Council Chambers,Final,Final,1
1396,138,2020-01-14,5:15 PM,Council Chambers,Final-revised,Final,
1398,139,2020-01-09,6:30 PM,Council Chambers,Final,Final,
1401,138,2020-01-21,5:15 PM,Council Chambers,Final,Final-revised,3
1402,138,2020-01-28,5:15 PM,Council Chambers,Final,Final,
1403,138,2020-02-04,5:15 PM,Council Chambers,Final-revised,Final,4
1404,138,2020-02-11,5:15 PM,Council Chambers,Final,Final,
1405,138,2020-02-18,5:15 PM,Council Chambers,Final,Final,6
1406,138,2020-02-25,5:15 PM,Council Chambers,Final,Final,9
1407,138,2020-03-03,5:15 PM,Council Chambers,Final-revised,Final,10
1408,138,2020-03-10,5:15 PM,Council Chambers,Final,Final,
1409,138,2020-03-17,5:15 PM,Council Chambers,Final,Draft,
1411,138,2020-03-31,5:15 PM,Council Chambers,Final,Draft,
1412,138,2020-04-07,5:30 PM,Online Meeting,Final,Final,12
1413,138,2020-04-14,5:15 PM,Online Meeting,Final,Final,
1414,138,2020-04-21,5:15 PM,Online Meeting,Final,Final,13
1415,138,2020-04-28,5:15 PM,Online Meeting,Final,Final,14
1416,138,2020-05-05,5:15 PM,Online Meeting,Final,Final,15
1417,138,2020-05-12,5:15 PM,Online Meeting,Final,Final,17
1418,138,2020-05-19,5:15 PM,Online Meeting,Final,Final,18
1419,138,2020-05-26,5:15 PM,Online Meeting,Final,Final,20
1420,138,2020-06-02,5:15 PM,Online Meeting,Final,Final,21
1421,138,2020-06-09,5:15 PM,Online Meeting,Final,Final,23
1422,138,2020-06-16,5:15 PM,Online Meeting,Final,Final,24
1423,138,2020-06-23,5:15 PM,Online Meeting,Final,Final,26
1424,138,2020-06-30,5:15 PM,Online Meeting,Final,Final,29
1425,138,2020-07-07,5:15 PM,Online Meeting,Final,Final,30
1426,138,2020-07-14,5:15 PM,Online Meeting,Final,Final,31
