motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
1,1,1,1,A motion was made by Zach Robinson seconded by Brooke Christensen to approve the Consent Calendar,Procedural/Administrative,Unanimous (voice),Pass,council_vote,,procedural,keyword,high,,,,25,3,0,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md
2,1,1,2,A motion was made by Brooke Christensen seconded by Cyndi Sharkey to approve Resolution #20-01C adopting the 2020 Annual Meeting Schedule,Resolution,7-0 Pass,Pass,council_vote,,approve,keyword,high,,,,3,7,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md
3,1,1,3,"Marci Houseman made a motion seconded by Zach Robinson to adopt Resolution 20-02, Sandy City Council Committee Liaison Assignments",Appointment,7-0 Pass,Pass,council_vote,,approve,keyword,high,,,,16,25,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md
4,1,1,4,Zach Robinson made a motion seconded by Kris Coleman Nicholl to accept the Council Policy to adopt revisions to the Election of Council Officers as is; and to include this item on the next Consent calendar for adoption,Other,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,25,14,1,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md
5,2,2,1,Exercise Coach (CUP for Recreation Center) 9730 S. 700 E. Suite #110 [Community #5],Planning Item,7:0 Pass,Pass,pc_final_action,,,unclassified,low,3776,matter_id,high,18,9,1,"db/staging (Legistar EventItemVote, body 140)"
6,2,2,2,Waterford School West Parking Lot (Preliminary Site Plan Review) 9461 S. 1400 E. [Community #17 - Willow Canyon],Planning Item,7:0 Pass,Pass,pc_final_action,,,unclassified,low,3771,matter_id,high,21,18,1,"db/staging (Legistar EventItemVote, body 140)"
7,2,2,3,Planning Commission meeting minutes for 12.19.2019,Minutes,7:0 Pass,Pass,pc_final_action,,procedural,keyword,high,,,,18,5,1,"db/staging (Legistar EventItemVote, body 140)"
8,3,1,1,"A motion was made by Brooke Christensen, seconded by Zach Robinson, to approve the Consent Calendar with the following changes to the 2020 Annual Meeting schedule: to cancel March 24th for Caucus Night, change March 31st as a meeting day, add September 1st to the calendar, and cancel September 29th as a fifth Tuesday",Procedural/Administrative,Unanimous (voice),Pass,council_vote,,procedural,keyword,high,,,,3,25,0,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md
9,3,1,2,"A motion was made by Brooke Christensen, seconded by Cyndi Sharkey, to adopt resolution 20-03C appointing Rian Weaver as a regular member of the Historic Committee",Appointment,Unanimous (voice),Pass,council_vote,,approve,keyword,high,,,,3,7,0,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md
10,3,1,3,"A motion was made by Kristin Coleman-Nicholl, seconded by Brooke Christensen, to delete the old attendance policy and delete the 1987 committee policy",Other,Voice,Pass,council_vote,,,unclassified,low,,,,14,,0,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md
11,3,1,4,"A motion was made by Brooke Christensen, seconded by Zach Robinson, to have Staff move forward with the amendments to the minutes policy, council compensation, concept approval guide, legal services, and public hearings, to have Staff make the adjustments then bring back to the Council",Public Hearing Action,Voice,Pass,council_vote,,procedural,keyword,high,,,,3,25,0,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md
