role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,2,2022-02-03,2026-02-05,173
2,2,2,2022-01-20,2026-05-07,118
3,4,1,2022-09-14,2026-07-08,477
4,4,3,2023-01-11,2026-06-17,94
5,5,1,2020-07-08,2026-07-08,554
6,5,3,2020-05-27,2026-06-17,124
7,6,2,2022-01-20,2026-05-07,206
8,7,1,2026-03-11,2026-07-08,69
9,7,3,2026-05-27,2026-06-17,7
10,8,2,2022-01-20,2026-06-18,276
11,9,1,2026-03-11,2026-07-08,69
12,9,3,2026-05-27,2026-06-17,7
13,10,2,2025-07-10,2026-06-18,49
14,11,2,2022-01-20,2022-11-17,24
15,12,1,2020-07-08,2026-01-28,478
16,12,3,2020-05-27,2026-01-14,116
17,13,2,2022-01-20,2022-04-07,10
18,14,2,2022-01-20,2026-06-04,266
19,15,1,2020-07-08,2024-12-11,314
20,15,3,2020-05-27,2024-12-11,89
21,16,1,2024-01-10,2026-07-08,364
22,16,3,2024-01-10,2026-06-17,70
23,17,2,2023-02-16,2023-03-16,8
24,18,2,2022-05-19,2026-06-18,171
25,19,1,2023-11-15,2026-01-14,247
26,19,3,2023-12-13,2026-01-14,54
27,20,1,2020-07-08,2023-12-13,186
28,20,3,2020-05-27,2023-12-13,50
29,21,1,2020-07-08,2026-07-08,310
30,21,3,2020-05-27,2026-06-17,62
31,22,1,2020-07-08,2023-09-13,164
32,22,3,2020-05-27,2023-06-14,42
33,24,1,2020-07-08,2026-07-08,554
34,24,3,2020-05-27,2026-06-17,124
35,25,2,2023-03-16,2024-07-11,71
36,26,2,2022-01-20,2025-06-19,108
37,27,2,2023-03-16,2026-06-18,171
