application_id,app_key,body_id,name,rep_title
1,RDA|s|minutes/2020/2020-05-25/2020-05-27_rda_RC.md|1,3,,Presentation of 2020/2021 RDA Tentative Budget
2,RDA|s|minutes/2020/2020-05-25/2020-05-27_rda_RC.md|2,3,,Presentation of 2020/2021 RDA Tentative Budget. Mayor Wood advised that the RDA
3,RDA|s|minutes/2020/2020-05-25/2020-05-27_rda_RC.md|3,3,,motion to adjourn
4,RDA|s|minutes/2020/2020-06-01/2020-06-03_rda_RC.md|1,3,,Report of the Executive Director
5,RDA|s|minutes/2020/2020-06-01/2020-06-03_rda_RC.md|2,3,,motion to carry the budget over to the next RDA meeting on June 17
6,RDA|s|minutes/2020/2020-06-01/2020-06-03_rda_RC.md|3,3,,(motion — description not captured)
7,RDA|s|minutes/2020/2020-06-15/2020-06-17_rda_RC.md|1,3,,A Resolution of the Redevelopment Agency of the City
8,RDA|s|minutes/2020/2020-06-15/2020-06-17_rda_RC.md|2,3,,(motion — description not captured)
9,RDA|s|minutes/2020/2020-07-06/2020-07-08_rda_RC.md|1,3,,motion to instruct staff to enter into dialogue with the other taxing entities to facilitate the tax increment agreement
10,RDA|s|minutes/2020/2020-07-06/2020-07-08_rda_RC.md|2,3,,motion to adjourn
11,Council|s|minutes/2020/2020-07-20/2020-07-22_council_RC.md|4,1,,An Ordinance of the City of South Salt Lake City Council amending Chapter — motion to add this Ordinance to Unfinished Business on August 12 Regular Meeting
12,Council|s|minutes/2020/2020-08-10/2020-08-12_council_RC.md|3,1,,An Ordinance of the City of South Salt Lake City Council amending Chapter — motion to approve this Ordinance
13,RDA|s|minutes/2020/2020-08-10/2020-08-12_rda_RC.md|1,3,,RDA Training
14,RDA|s|minutes/2020/2020-08-10/2020-08-12_rda_RC.md|2,3,,motion to adjourn
15,RDA|s|minutes/2020/2020-09-07/2020-09-09_rda_RC.md|1,3,,Discussion Regarding the Refinancing of the Series 2010 Qualified Redevelopment
16,RDA|s|minutes/2020/2020-09-07/2020-09-09_rda_RC.md|2,3,,motion to adjourn
17,RDA|s|minutes/2020/2020-09-21/2020-09-23_rda_RC.md|1,3,,motion to approve this resolution
18,RDA|s|minutes/2020/2020-09-21/2020-09-23_rda_RC.md|2,3,,motion to adjourn
19,RDA|s|minutes/2020/2020-10-12/2020-10-14_rda_RC.md|1,3,,Consideration of a Resolution of the Governing Board of the City of South Salt Lake
20,RDA|s|minutes/2020/2020-10-12/2020-10-14_rda_RC.md|2,3,,motion to approve this resolution
21,RDA|s|minutes/2020/2020-10-12/2020-10-14_rda_RC.md|3,3,,motion to adjourn
22,RDA|s|minutes/2020/2020-10-26/2020-10-28_rda_RC.md|1,3,,CONSIDERATION OF A RESOLUTION OF THE GOVERNING BOARD (THE “BOARD”)
23,RDA|s|minutes/2020/2020-10-26/2020-10-28_rda_RC.md|2,3,,motion to approve this resolution
24,RDA|s|minutes/2020/2020-10-26/2020-10-28_rda_RC.md|3,3,,motion to adjourn
25,RDA|s|minutes/2020/2020-11-02/2020-11-04_rda_RC.md|1,3,,Presentation of Economic Benefit and costs associated with the tax increment
26,RDA|s|minutes/2020/2020-11-02/2020-11-04_rda_RC.md|2,3,,Presentation of Economic Benefit and costs associated with the tax increment — motion to adjourn
27,RDA|s|minutes/2020/2020-12-07/2020-12-09_rda_RC.md|2,3,,motion to approve the Annual 2021 RDA Meeting Schedule
28,RDA|s|minutes/2020/2020-12-07/2020-12-09_rda_RC.md|3,3,,motion to adjourn
29,RDA|s|minutes/2021/2021-01-11/2021-01-13_rda_RC.md|1,3,,Elect RDA Chair and Vice-Chair
30,RDA|s|minutes/2021/2021-01-11/2021-01-13_rda_RC.md|2,3,,motion to adjourn
31,RDA|s|minutes/2021/2021-01-25/2021-01-27_rda_RC.md|1,3,,Review and discussion regarding a policy for incentives for redevelopment
32,RDA|s|minutes/2021/2021-01-25/2021-01-27_rda_RC.md|2,3,,motion to adjourn
33,Council|s|minutes/2021/2021-02-22/2021-02-24_council_RC.md|3,1,,"An Ordinance of the city of South Salt Lake City Council Amending Chapter — motion to move this item to the Consent Agenda for the March 10, 2021 Regular Meeting"
34,Council|s|minutes/2022/2022-10-24/2022-10-26_council_RC.md|6,1,,An Ordinance of the South Salt Lake City Council Amending Section 5.04.180 of the
35,RDA|s|minutes/2023/2023-01-09/2023-01-11_rda_RC.md|2,3,,motion to adjourn
36,Council|s|minutes/2023/2023-04-10/2023-04-12_council_RC.md|3,1,,An Ordinance of the South Salt Lake City Council Amending Section 3.11.030 of the — motion to move this Ordinance as Unfinished Business to a future meeting
37,Council|s|minutes/2023/2023-04-10/2023-04-12_council_RC.md|4,1,,An Ordinance of the South Salt Lake City Council Amending Section 3.11.040 of the — motion to approve this Ordinance
38,Council|s|minutes/2023/2023-04-10/2023-04-12_council_RC.md|5,1,,An Ordinance of the South Salt Lake City Council Amending Section 3.11.010 of the — motion to approve this Ordinance
39,Council|s|minutes/2023/2023-04-10/2023-04-12_council_RC.md|6,1,,An Ordinance of the South Salt Lake City Council Amending Section 3.11.050 of the — motion to approve this Ordinance
40,Council|s|minutes/2023/2023-04-10/2023-04-12_council_RC.md|7,1,,An Ordinance of the South Salt Lake City Council Amending Section 3.11.070 of the — motion to approve this Ordinance
