dataset,source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence,motion_id
meeting_minutes,minutes/2020/2020-05-25/2020-05-27_rda_RC.md,1,2020-05-27,RDA,Budget Amendment,Budget,,final-action,pass,7,0,,roll-call,7-0 Pass,crosswalk,high,1
meeting_minutes,minutes/2020/2020-05-25/2020-05-27_rda_RC.md,2,2020-05-27,RDA,Budget Amendment,Budget,,final-action,pass,7,0,,roll-call,7-0 Pass,crosswalk,high,2
meeting_minutes,minutes/2020/2020-05-25/2020-05-27_rda_RC.md,3,2020-05-27,RDA,Procedural/Administrative,Procedural-Administrative,,procedural,pass,7,0,,roll-call,7-0 Pass,crosswalk,high,3
meeting_minutes,minutes/2020/2020-06-01/2020-06-03_rda_RC.md,1,2020-06-03,RDA,Other,Other,,final-action,pass,7,0,,roll-call,7-0 Pass,rule:no-signal,low,4
meeting_minutes,minutes/2020/2020-06-01/2020-06-03_rda_RC.md,2,2020-06-03,RDA,Other,Budget,,final-action,pass,7,0,,roll-call,7-0 Pass,rule:budget,high,5
meeting_minutes,minutes/2020/2020-06-01/2020-06-03_rda_RC.md,3,2020-06-03,RDA,Other,Other,,final-action,pass,7,0,,roll-call,7-0 Pass,rule:no-signal,low,6
meeting_minutes,minutes/2020/2020-06-15/2020-06-17_rda_RC.md,1,2020-06-17,RDA,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,7,0,,roll-call,7-0 Pass,crosswalk,medium,7
meeting_minutes,minutes/2020/2020-06-15/2020-06-17_rda_RC.md,2,2020-06-17,RDA,Other,Other,,final-action,pass,7,0,,roll-call,7-0 Pass,rule:no-signal,low,8
meeting_minutes,minutes/2020/2020-07-06/2020-07-08_council_RC.md,1,2020-07-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,7,0,,roll-call,7-0 Pass,crosswalk,high,9
meeting_minutes,minutes/2020/2020-07-06/2020-07-08_council_RC.md,2,2020-07-08,Council,Resolution,Resolution,,final-action,pass,7,0,,roll-call,7-0 Pass,crosswalk,high,10
