layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
Snyderville Basin Zoning,"Zoning districts for the Snyderville Basin Planning District (the western unincorporated Basin regulated by Title 10). The operational zoning layer behind the county Interactive Zoning Map.",Summit County GIS (ArcGIS Online org gyfpgFh2Wj2gglYD),https://summitcounty.maps.arcgis.com/apps/webappviewer/index.html?id=8fa54cade4d64da8b8a6869ba9b38f82,https://services2.arcgis.com/gyfpgFh2Wj2gglYD/arcgis/rest/services/Zoning_Service/FeatureServer/2,ArcGIS FeatureServer (query -> geojson/json),Live service (verified 2026-07-20),Summit County GIS (no explicit license; public),high,"34 zone polygons. THE Basin land-use/zoning layer - pair with plans/ (Basin GP) + ordinances/ (Title 10). Query narrowly; do not bulk-fetch."
Eastern Summit County Zoning,"Zoning districts for the Eastern Summit County Planning District (the eastern unincorporated area regulated by Title 11).",Summit County GIS (ArcGIS Online org gyfpgFh2Wj2gglYD),https://summitcounty.maps.arcgis.com/apps/webappviewer/index.html?id=8fa54cade4d64da8b8a6869ba9b38f82,https://services2.arcgis.com/gyfpgFh2Wj2gglYD/arcgis/rest/services/Zoning_Service/FeatureServer/3,ArcGIS FeatureServer,Live service (verified 2026-07-20),Summit County GIS (public),high,"44 zone polygons. THE East Side zoning layer - pair with the Eastern GP + Title 11."
Agricultural Protection Parcels,"Parcels enrolled in agricultural protection (ag-preservation overlay) in unincorporated Summit County.",Summit County GIS (org gyfpgFh2Wj2gglYD),https://summitcounty.maps.arcgis.com/apps/webappviewer/index.html?id=8fa54cade4d64da8b8a6869ba9b38f82,https://services2.arcgis.com/gyfpgFh2Wj2gglYD/arcgis/rest/services/Zoning_Service/FeatureServer/1,ArcGIS FeatureServer,Live service (verified 2026-07-20),Summit County GIS (public),medium,"62 features. Ag-preservation constraint on development."
Ridgelines Overlay,"Ridgeline protection lines constraining hillside/skyline development in the Basin.",Summit County GIS (org gyfpgFh2Wj2gglYD),https://summitcounty.maps.arcgis.com/apps/webappviewer/index.html?id=8fa54cade4d64da8b8a6869ba9b38f82,https://services2.arcgis.com/gyfpgFh2Wj2gglYD/arcgis/rest/services/Zoning_Service/FeatureServer/0,ArcGIS FeatureServer,Live service (verified 2026-07-20),Summit County GIS (public),medium,"73 features. Sensitive-lands development constraint."
Lower Silver Creek Soils Overlay Zone,"Soils/contamination overlay zone near Lower Silver Creek constraining development.",Summit County GIS (org gyfpgFh2Wj2gglYD),https://summitcounty.maps.arcgis.com/apps/webappviewer/index.html?id=8fa54cade4d64da8b8a6869ba9b38f82,https://services2.arcgis.com/gyfpgFh2Wj2gglYD/arcgis/rest/services/LowerSilverCreekOverlayZone/FeatureServer/0,ArcGIS FeatureServer,Live service (verified 2026-07-20),Summit County GIS (public),medium,"1 polygon (the overlay boundary)."
Summit County Parcels (county),"Parcel boundaries with the county's own parcel attributes (the Parcel Information layer behind the county parcel/zoning web maps).",Summit County GIS (ArcGIS Server maps.summitcounty.org),https://maps.summitcounty.org/,https://maps.summitcounty.org/arcgis/rest/services/Maps/ParcelQuery/MapServer/0,ArcGIS MapServer (query),Live service (verified 2026-07-20),Summit County GIS (public; disclaimer - verify accuracy),high,"43,966 parcels from the COUNTY's authoritative server. For assessor value/built-year/units use the UGRC Parcels_Summit_LIR row instead. Do NOT bulk-download."
Summit County Base Map (OnlineMap),"Scale-dependent cartographic base: parcels, roads, cities, subdivisions, community areas, county boundary, PLSS sections. Reference layer for the county web maps.",Summit County GIS (ArcGIS Server maps.summitcounty.org),https://maps.summitcounty.org/,https://maps.summitcounty.org/arcgis/rest/services/Maps/OnlineMap/MapServer,ArcGIS MapServer,Live service (verified 2026-07-20),Summit County GIS (public),medium,"Multi-layer cartographic service (subdivisions + community areas useful for growth context)."
Summit County Address Points (county),"County-maintained address points.",Summit County GIS (org gyfpgFh2Wj2gglYD),https://summitcounty.maps.arcgis.com/apps/webappviewer/index.html?id=85c6c55514ae4d4f9218202e364fec73,https://services2.arcgis.com/gyfpgFh2Wj2gglYD/arcgis/rest/services/AddressPoints_24_12/FeatureServer/0,ArcGIS FeatureServer,Live service (verified 2026-07-20; 2024-12 vintage),Summit County GIS (public),medium,"33,253 points. County addressing base; backs address->parcel lookups."
Summit County Parcels (LIR),"Parcel boundaries joined to county assessor/tax-roll attributes (owner, acreage, market value, year built, building sqft, primary-residence flag, property class) via the statewide Land Information Records schema. The authoritative growth/housing base layer.",UGRC / Utah SGID (in coordination with the Summit County Assessor),https://opendata.gis.utah.gov/datasets/utah-summit-county-parcels/about,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_Summit_LIR/FeatureServer/0,ArcGIS FeatureServer (query -> geojson/csv/shp/gpkg),Updated periodically (verified 2026-07-20),CC BY 4.0 (UGRC/SGID),high,"37,294 parcels. The housing/growth base: land value, built year, unit counts per parcel. Query by bbox/where; do NOT bulk-download."
Summit County Parcels (geometry),"Parcel boundary polygons only (no tax-roll attributes).",UGRC / Utah SGID,https://opendata.gis.utah.gov/datasets/utah-summit-county-parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_Summit/FeatureServer/0,ArcGIS FeatureServer,Verified 2026-07-20,CC BY 4.0 (UGRC/SGID),medium,"Geometry-only; use the LIR variant unless you only need boundaries."
