commissioner,first_seen,last_seen,meetings_present,vote_rows
Nathan Gedge,2020-01-14,2026-05-26,121,35
Michele Hollist,2020-01-14,2026-05-26,117,55
Steven Catmull,2020-01-14,2026-05-26,117,44
Trevor Darby,2020-01-14,2023-10-24,72,18
Laurel Bevans,2022-01-25,2025-06-24,63,37
Sam Bishop,2024-02-13,2026-01-13,32,30
Sean Morrissey,2020-01-14,2021-12-14,32,39
Lori Harding,2025-03-11,2026-05-26,20,11
Brad Sanderson,2020-01-14,2021-02-09,14,0
Bryan Farnsworth,2025-08-26,2026-05-26,13,6
Ray Wimmer,2024-02-13,2024-11-12,11,16
Aaron Starks,2022-08-09,2023-08-22,10,45
Michael Peirce,2020-01-28,2021-10-26,7,23
