body,body_name,event_date,notice_id,title,file_id,filename,minutes_like
2147,City Council,2026-07-07,1092317,Notice of Public Hearing - Proposed Compensation Increases for Executive Municipal Officers,1455867,Notice of Public Hearing - Proposed Compensation Increases 2026.pdf,False
2147,City Council,2026-07-07,1092777,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1456787,7.07.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-06-17,1089697,CITY COUNCIL BUSINESS MEETING,1450103,6.16.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-06-16,1088371,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1447655,6.16.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-06-02,1082005,Notice of Public Hearing on Tentative Budget for Fiscal Year 2026-2027,1435637,WST-Cottonwood Heights-Notice of Public Hearing on Tenative Budget for Fiscal Year 2026-2027.pdf,False
2147,City Council,2026-06-02,1084207,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1439969,6.02.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-05-20,1077699,Notice of Potential Quorum,1427125,PUBLIC NOTICE of POTENTIAL QUORUM for D4 Town Hall Meeting - 5.04.2026.pdf,False
2147,City Council,2026-05-19,1081414,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1434618,5.19.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-05-13,1080365,NOTICE OF INTENT TO DISPOSE UNCLAIMED PROPERTY BY THE COTTONWOOD HEIGHTS POLICE DEPARTMENT,1432425,NOTICE OF INTENT TO DISPOSE UNCLAIMED PROPERTY BY THE COTTONWOOD HEIGHTS POLICE DEPARTMENT - May 2026.pdf,False
2147,City Council,2026-05-13,1079403,Notice of Potential Quorum,1430853,PUBLIC NOTICE of POTENTIAL QUORUM for Utah Renewable Communities Open House - 5.13.2026.pdf,False
2147,City Council,2026-05-05,1077399,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1426637,5.05.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-04-30,1076503,Notice of Potential Quorum,1425275,PUBLIC NOTICE of POTENTIAL QUORUM for Town Hall Meeting - 4.30.2026.pdf,False
2147,City Council,2026-04-21,1073559,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1419607,4.21.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-04-07,1070263,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1413715,4.07.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-03-24,1067601,MAYOR AND CITY COUNCIL RETREAT AGENDA,1407795,Council Retreat Agenda 3.24.pdf,False
2147,City Council,2026-03-20,1067099,NOTICE OF POTENTIAL QUORUM,1406611,PUBLIC NOTICE of POTENTIAL QUORUM for YCC Mayor and Council Dinner - 3.18.2026.pdf,False
2147,City Council,2026-03-17,1066461,NOTICE OF MEETING CANCELLATION,1405543,CH CC Notice of Cancellation of March 17 2026 Meeting.pdf,False
2147,City Council,2026-03-03,1062473,"CITY COUNCIL WORK SESSION, CDRA AND BUSINESS MEETING AGENDAS",1397441,3.03.2026 CC Work Session CDRA and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-02-17,1060005,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1392259,2.17.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-02-17,1056365,Notice of Public Hearing,1385113,Notice of Public Hearing on Budget Amendment for Fiscal Year 2025-2026 (February 2026).pdf,False
2147,City Council,2026-01-29,1053769,NOTICE OF POTENTIAL QUORUM,1380049,PUBLIC NOTICE of POTENTIAL QUORUM (Legislative Updates Zoom Calls) - 1.26.2026.pdf,False
2147,City Council,2026-01-24,1053689,MAYOR AND CITY COUNCIL RETREAT AGENDA,1379851,Notice of Council Retreat and Agenda 1.24.2026.pdf,False
2147,City Council,2026-01-23,1053703,NOTICE OF POTENTIAL QUORUM,1379875,PUBLIC NOTICE of POTENTIAL QUORUM - 1.21.2026.pdf,False
2147,City Council,2026-01-20,1052393,"JOINT PLANNING COMMISSION/CITY COUNCIL WORK SESSION, CDRA. AND BUSINESS MEETING AGENDAS",1377503,1.20.2026 Joint PC-CC Work Session CDRA and CC Business Meeting Agendas.pdf,False
