date,body,motion_no,motion,result,mover,seconder,names_recorded
2015-01-08,PlanningCommission,1,to approve the consent agenda,"Passed 5, 0",Larson,Christensen,false
2015-02-05,PlanningCommission,1,to recommend approval to the County Council for the proposed changes to the kennel ordinance,"Passed 5, 0",Watterson,Parker,false
2015-04-09,PlanningCommission,1,to move item #1 to the regular action items due to possible public comment,"Passed 6, 0",Larson,Smith,false
2015-04-09,PlanningCommission,2,to recommend approval of the Funk Subdivision Amendment to the County Council based on the four findings of fact,"Passed 6, 0",Larson,Smith,false
2015-04-09,PlanningCommission,3,to recommend approval for the Paradise Horizon Subdivision to the County Council with the amended conditions and findings of fact,"Passed 7, 0",Olsen,Christensen,false
2015-05-07,PlanningCommission,1,to accept the consent agenda items for approval,"Passed 6, 0",Larson,Watterson,false
2015-05-07,PlanningCommission,2,"to accept and approve the Fire Fighter Practice Cars, LLC Conditional Use Permit with the written conditions and findings of fact as stated, with the addition of Condition #5 which will read as “No more than 8 vehicle frames and parts for 4 additional cars are allowed on site at one time. Operator is allowed to dismantle and provide repairs to vehicles as necessary for the intended use, but not as a commercial mechanic open to the public.”","Passed 6, 0",Olsen,Parkinson,false
2015-05-07,PlanningCommission,3,"to approve the Trout of Paradise, Inc. Conditional Use Permit with the written conditions and findings of fact as stated","Passed 6, 0",Parkinson,Watterson,false
2015-06-04,PlanningCommission,1,to open the public hearing,"Passed 4, 0",Smith,Parker,false
2015-06-04,PlanningCommission,2,to close the public hearing,"Passed 4, 0",Smith,Christensen,false
2015-06-04,PlanningCommission,3,to recommend approval the Fuhriman Farm Rezone from FR40 Zone to the A10 Zone to 46 the County Council with the stated conditions and findings of fact,"Passed 4, 0",Parker,Smith,false
2015-06-04,PlanningCommission,4,to open the public hearing,"Passed 4, 0",Smith,Christensen,false
2015-06-04,PlanningCommission,5,to close the public hearing,"Passed 4, 0",Christensen,Smith,false
2015-06-04,PlanningCommission,6,to recommend approval of the UT1 Wellsville V2W Rezone to the County Council based 42 on the two findings of fact,"Passed 4, 0",Smith,Parker,false
2015-06-04,PlanningCommission,7,to open the public hearing for Title 17 – Airports,"Passed 4, 0",Christensen,Parker,false
2015-06-04,PlanningCommission,8,to close the public hearing,"Passed 4, 0",Smith,Parker,false
2015-06-04,PlanningCommission,9,to recommend approval for Title 17- Airports to the County Council,"Passed 4, 0",Christensen,,false
2015-06-04,PlanningCommission,10,to approve the Mountain View Kennels Conditional Use Permit with the stated 2 conditions and findings of fact,"Passed 4, 0",Christensen,Parker,false
2015-06-04,PlanningCommission,11,to approve the CUP based on the findings of fact and conditions of approval,"Passed 4, 0",Smith,,false
2015-07-09,PlanningCommission,1,to move item #1 to the regular action items,"Passed 6, 0",Smith,Larson,false
2015-07-09,PlanningCommission,2,to recommend approval to the County Council for the Marcus subdivision with the 17 stated conditions of approval and findings of facts,"Passed 6, 0",Parker,Smith,false
2015-07-09,PlanningCommission,3,to approve the Upper High Creek Conditional Use Permit with the three findings of 1 facts and four conditions of approval with the recommended amendment of the word evidence on 2 condition #2,"Passed 6, 0",Larson,Christensen,false
2015-07-09,PlanningCommission,4,to recommend denial to the County Council with the stated findings of facts,"Passed 6, 0",Christensen,,false
2015-07-09,PlanningCommission,5,to recommend approval to the County Council for the changes to the Recreational 37 Facility definition as noted,"Passed 5, 1",Larson,Smith,false
2015-08-13,PlanningCommission,1,to open the meeting for public comment with a three minute time limit per person,"Passed 6, 0",Watterson,Olsen,false
2015-08-13,PlanningCommission,2,to close the public comment,"Passed 6, 0",Watterson,Christensen,false
2015-08-13,PlanningCommission,3,to approve the High Creek Canal Conditional Use Permit with the stated findings of fact 25 and conditions of approval,"Passed 6, 0",Olsen,Parker,false
2015-08-13,PlanningCommission,4,to open a public discussion for the Amalga MX Park,"Passed 6, 0",Watterson,Larson,false
2015-08-13,PlanningCommission,5,to close the public comment,"Passed 6, 0",Watterson,Larsen,false
2015-08-13,PlanningCommission,6,to continue the Amalga MX Park for up to 90 days,"Passed 6, 0",Larson,Watterson,false
2015-08-13,PlanningCommission,7,to extend the meeting to 8:15,"Passed 6, 0",Larson,Watterson,false
2015-08-13,PlanningCommission,8,to close public comment,"Passed 6, 0",Olsen,Larson,false
2015-08-13,PlanningCommission,9,to continue to Smithfield Disc Golf Course CUP up to 90 days,"Passed 6, 0",Larson,Watterson,false
2015-09-03,PlanningCommission,1,to recommend approval to of the Ward Subdivision to the County Council with the stated 28 conditions and findings of fact,"Passed 5, 0",Smith,Christensen,false
2015-10-01,PlanningCommission,1,to approved the Logan and Northern Canal Piping and Pressurization Conditional Use Permit with the stated findings of fact and conditions,"Passed 6, 0",Christensen,Watterson,false
2015-10-01,PlanningCommission,2,to continue the item up to 90 days to allow for the fire district review,"Passed 6, 0",Larson,Watterson,false
2015-10-01,PlanningCommission,3,to approve the Amalga MX Park with the findings of fact and conditions of approval with the addition of at 10 th condition requiring a review by the Bear River Health Department,"Passed 5, 1",Olsen,Parker,false
2015-11-05,PlanningCommission,1,to approve the Barber Conditional Use Permit with the stated conditions and findings of fact,"Passed 4, 0",Olsen,Smith,false
2015-11-05,PlanningCommission,2,to open the public hearing,"Passed 4, 0",Smith,Parker,false
2015-11-05,PlanningCommission,3,to close the public hearing due to no public comment,"Passed 4, 0",Smith,Parker,false
2015-11-05,PlanningCommission,4,to recommend approval of the Powder Mountain Sprint Rezone to the County Council with the stated findings of fact,"Passed 4, 0",Smith,Parker,false
2015-11-05,PlanningCommission,5,to approve the Musselman Airstrip with the noted conditions and findings of facts with the edits to Condition #5,"Passed 3, 1",Smith,Olsen,false
2016-01-07,PlanningCommission,1,to approve the consent agenda,"Passed 5, 0",Watterson,Larson,false
2016-01-07,PlanningCommission,2,to open the public hearing for the Whittier Rezone,"Passed 5, 0",Larson,Watterson,false
2016-01-07,PlanningCommission,3,to close the public hearing,"Passed 5, 0",Watterson,Larson,false
2016-01-07,PlanningCommission,4,to recommend approval for the Whittier Rezone with the finding that “1. The location of the subject property is compatible with the purpose of the Rural (RU2) Zone as identified under §17.08.030[A] of the Cache County Code as it: a. Allows for residential development in a moderately dense pattern that can allow for rural subdivisions without impeding adjacent agricultural uses. b. Is served by suitable public roads.”,"Passed 5, 0",Christensen,Watterson,false
2016-01-07,PlanningCommission,5,"to approve the Whisper Ridge CUP with the edit to condition #5 to read as follows “5. Any expansion or modification of the proposed use identified to occur in “subsequent years” as identified by the proponent and summarized in the staff report, including but not limited to the use and/or development of any yurt and/or cabin sites or fuel and maintenance structures, or change in the base of operations and access to the noted properties, shall require the approval of the designated land use authority.”","Passed 5, 0",Larson,Parker,false
2016-01-07,PlanningCommission,6,to recommend approval of the Esplin Anderson Subdivision with the stated conditions and findings of fact,"Passed 4, 0",Christensen,Parker,false
2016-01-07,PlanningCommission,7,to extend the meeting until 8:15,"Passed 5, 0",Larson,Watterson,false
2016-01-07,PlanningCommission,8,to continue the Wild Bunch Kennel up to 90 days,"Passed 5, 0",Larson,Watterson,false
2016-02-04,PlanningCommission,1,to approve the Wild Bunch Kennel Conditional Use Permit with the findings 33 and fact and with the edited and additional conditions of approval,"Passed 5, 0",Parker,Olsen,false
2016-02-04,PlanningCommission,2,to recommend denial to the County Council for the Nautica Subdivision with the 4 stated conditions and findings of fact,"Passed 4, 1",Lane,Christensen,false
2016-03-03,PlanningCommission,1,to recommend approval for the consent agenda to the County Council with the noted 28 conditions and findings of fact,"Passed 5, 0",Sands,Christensen,false
2016-03-03,PlanningCommission,2,to open the public hearing for the Esplin Anderson Rezone,"Passed 5, 0",Olsen,Sands,false
2016-03-03,PlanningCommission,3,to close the public hearing,"Passed 5, 0",Parker,Sands,false
2016-03-03,PlanningCommission,4,to recommend denial for the Esplin Anderson Rezone to the County Council with the 44 stated conditions and findings of fact,"Passed 5, 0",Parker,Olsen,false
2016-03-03,PlanningCommission,5,to open the public hearing for Code Amendments to Title 16,"Passed 5, 0",Sands,Christensen,false
2016-03-03,PlanningCommission,6,to close the public hearing,"Passed 5, 0",Sands,Parker,false
2016-03-03,PlanningCommission,7,to recommend approval to the County Council for code amendments to Title 16 as noted 43 in the discussion,"Passed 5, 0",Sands,Christensen,false
2016-03-03,PlanningCommission,8,to open the public hearing for Code Amendments for Title 17,"Passed 5, 0",Sands,Parker,false
2016-03-03,PlanningCommission,9,to close the public hearing,"Passed 5, 0",Olsen,Sands,false
2016-03-03,PlanningCommission,10,to recommend approval to the County Council for the code amendments Title 17 as 49 amended noted in the discussion,"Passed 5, 0",Sands,Parker,false
2016-05-05,PlanningCommission,1,to approve the agenda,"Passed 5, 0",Watterson,Sands,false
2016-05-05,PlanningCommission,2,to approve the minutes,"Passed 5, 0",Christensen,Gunnell,false
2016-05-05,PlanningCommission,3,to recommend the approval to the County Council of the Andrew Lee 32 Subdivision 1st Amendment with the noted conditions and findings of fact,"Passed 6, 0",Watterson,Sands,false
2016-05-05,PlanningCommission,4,to open the public hearing for the Kerr Basin Rezone,"Passed 6, 0",Sands,Watterson,false
2016-05-05,PlanningCommission,5,to close the Kerr Basin Rezone public hearing,"Passed 6, 0",Sands,Watterson,false
2016-05-05,PlanningCommission,6,to recommend approval based on the findings of fact,"Passed 6, 0",Parker,Gunnell,false
2016-05-05,PlanningCommission,7,"to recommend approval of the Holyoak conditional use permit with the 24 stated conditions and findings of fact and the addition of condition #8 as follows: “8. If any 25 structures are built within the noted runway areas and zones, the Holyoak Airport Conditional 26 Use Permit must be reconsidered by the Cache County Land Use Authority.”","Passed 5, 1",Christensen,Parker,false
2016-05-05,PlanningCommission,8,to approve the Pisgah Limestone CUP 1st amendment with the findings of 40 fact and conditions,"Passed 6, 0",Parkinson,Watterson,false
2016-05-05,PlanningCommission,9,to extend the meeting for 15 minutes,"Passed 5, 0",Parker,Gunnell,false
2016-05-05,PlanningCommission,10,to continue the item to the next meeting to provide DWR and the Forest Service 11 time to provide written comment,motion died due to lack of a second,Sands,,false
2016-05-05,PlanningCommission,11,to approve the Cherry Peak CUP 1st Amendment with the findings of facts and 19 conditions of approval,"Passed 4, 1",Parker,Gunnell,false
2016-06-02,PlanningCommission,1,to approve the minutes,"Passed 6, 0",Watterson,Gunnell,false
2016-06-02,PlanningCommission,2,to approved,"Passed 6, 0",Sands,Christensen,false
2016-06-02,PlanningCommission,3,"to recommend approval to the County Council for the Ballard 7 Agricultural Protection Area with the findings of fact, conclusions, and conditions as noted in 8 the staff report","Passed 6, 0",Christensen,Watterson,false
2016-06-02,PlanningCommission,4,to close the public hearing,"Passed 6, 0",Watterson,Sands,false
2016-06-02,PlanningCommission,5,to recommend approval to the County Council for the Morley Rezone 4 based on staff’s determination and the discussed findings of fact,"Passed 6, 0",Christensen,Gunnell,false
2016-06-02,PlanningCommission,6,to open the public hearing for the Hansen Rezone,"Passed 6, 0",Sands,Watterson,false
2016-06-02,PlanningCommission,7,to close the public hearing for the Hansen rezone,"Passed 6, 0",Sands,Watterson,false
2016-06-02,PlanningCommission,8,to recommend approval to the County Council for the Hansen Rezone with the 41 stated findings of fact and conditions,"Passed 6, 0",Parker,Gunnell,false
2016-06-02,PlanningCommission,9,to approve the Maple Rise Campground Conditional Use Permit with the stated 32 findings of facts and conditions,"Passed 6, 0",Sands,Watterson,false
2016-06-02,PlanningCommission,10,to recommend approval to the County Council for the Nautica Subdivision and 11 with the edits to the conclusions and condition #2,"Passed 5, 0",Parker,Christensen,false
2016-06-02,PlanningCommission,11,to continued item #7 up to 90 days,"Passed 5, 0",Sands,Parker,false
2016-07-07,PlanningCommission,1,to amend the agenda to remove item #2,"Passed 4, 0",Gunnell,Parker,false
2016-07-07,PlanningCommission,2,to amend the minutes to adjust the time stamp from 5:23 to 5:33,"Passed 4, 0",Gunnell,,false
2016-07-07,PlanningCommission,3,to open the public hearing,"Passed 4, 0",Olsen,Parker,false
2016-07-07,PlanningCommission,4,to close the public hearing,"Passed 4, 0",Gunnell,Olsen,false
2016-07-07,PlanningCommission,5,to approve the Younker’s Rezone with the stated findings of fact and 41 conclusion,"Passed 3, 1",Gunnell,Parker,false
2016-07-21,PlanningCommission,1,to accept the agenda,"Passed 7, 0",Gunnell,Watterson,false
2016-07-21,PlanningCommission,2,"to approved the July 7, 2016 minutes","Passed 7, 0",Parker,Gunnell,false
2016-07-21,PlanningCommission,3,to close the public hearing for Ordinance 2016-11 Agritourism,"Passed 7, 0",Olsen,Watterson,false
2016-07-21,PlanningCommission,4,to recommend approval to the County Council for Ordinance 2016-11 Agritourism with 50 the noted edits,"Passed 7, 0",Sands,Christensen,false
2016-07-21,PlanningCommission,5,to open the public hearing for Ordinance 2016-12,"Passed 6, 0",Christensen,Watterson,false
2016-07-21,PlanningCommission,6,to closed the public hearing for Ordinance 2016-12,"Passed 6, 0",Watterson,Sands,false
2016-07-21,PlanningCommission,7,to recommend approval to the County Council for Ordinance 2016-12 26 Telecommunications Facilities,"Passed 6, 0",Sands,Watterson,false
2016-07-21,PlanningCommission,8,to open the public hearing,"Passed 7, 0",Watterson,Sands,false
2016-07-21,PlanningCommission,9,to close the public hearing,"Passed 7, 0",Watterson,Olsen,false
2016-07-21,PlanningCommission,10,to recommend approval to the County Council for Title 17 for the sections outlined 22 by the agenda with the noted edits and changes,"Passed 7, 0",Watterson,Sands,false
2016-08-04,PlanningCommission,1,"to recommend approval to the County Council with the stated findings of 2 fact, conditions, and conclusions as written","Passed 5, 0",Christensen,Olsen,false
2016-08-04,PlanningCommission,2,"to recommend approval with the stated findings of fact, conditions, and 12 conclusions, including the edits to condition #3b","Passed 6, 0",Gunnell,Sands,false
2016-08-04,PlanningCommission,3,to continue the item up to 90 days,"Passed 6, 0",Olsen,Sands,false
2016-08-04,PlanningCommission,4,to continue the item up to 90 days for the applicant to provide the requested 12 information,"Passed 6, 0",Sands,Olsen,false
2016-08-04,PlanningCommission,5,"to recommend approval to the County Council for the Garland Acres 16 Subdivision 2nd Amendment with the stated findings of fact, conditions, and conclusions as set 17 forth","Passed 6, 0",Olsen,Parker,false
2016-08-04,PlanningCommission,6,"to recommend approval to the County Council for the CTST Thompson 9 Subdivision 1st Amendment with the stated findings of fact, conditions, and conclusions","Passed 6, 0",Gunnell,,false
2016-09-01,PlanningCommission,1,"to approve the minutes from August 4, 2016","Passed 4, 0",Gunnell,Christensen,false
2016-09-01,PlanningCommission,2,to open the public hearing,"Passed 4, 0",Sands,Gunnell,false
2016-09-01,PlanningCommission,3,to close the public hearing,"Passed 4, 0",Sands,Christensen,false
2016-09-01,PlanningCommission,4,to recommend approval to the County Council for the Nielsen Rezone with the discussed 10 findings of fact and conclusions,"Passed 4, 0",Sands,Christensen,false
