commissioner,first_seen,last_seen,n_votes
Watterson,2015-02-05,2026-01-08,391
Parker,2015-02-05,2025-04-03,332
Sands,2016-03-03,2026-03-05,288
Christensen,2015-01-08,2026-03-05,215
Daugs,2022-02-03,2026-03-05,170
Nate Daugs,2024-11-07,2026-03-05,168
Gunnell,2016-05-05,2019-12-05,164
Olsen,2015-04-09,2021-12-02,147
Brady Christensen,2024-11-07,2026-03-05,146
Chris Sands,2024-11-07,2026-03-05,144
Val Jay Rigby,2025-01-09,2026-03-05,114
Jason Watterson,2024-11-07,2026-01-08,108
Kurt Bankhead,2025-02-06,2026-03-05,105
Rigby,2023-06-01,2026-03-05,93
Morris Poole,2025-09-04,2026-03-05,89
Lee,2021-05-06,2022-12-01,72
Smith,2015-04-09,2019-06-06,65
Lane Parker,2024-11-07,2025-04-03,52
Spackman,2019-12-05,2023-03-02,37
Larson,2015-01-08,2016-01-07,19
Poole,2025-09-04,2026-03-05,19
Bankhead,2023-06-01,2024-10-03,9
Parkinson,2015-05-07,2019-06-06,4
Brady Christesen,2026-01-08,2026-02-05,2
Nate Dauges,2026-01-08,2026-02-05,2
Riby,2024-02-01,2024-06-06,2
Brady Chirstensen,2025-10-02,2025-10-02,1
Check,2024-10-03,2024-10-03,1
Chris Samds,2026-01-08,2026-01-08,1
Jason,2024-11-07,2024-11-07,1
Jason Waterson,2024-11-07,2024-11-07,1
Jason Watteron,2026-01-08,2026-01-08,1
Kurt,2025-02-06,2025-02-06,1
Lane,2016-02-04,2016-02-04,1
Lane Paker,2025-04-03,2025-04-03,1
Larsen,2015-08-13,2015-08-13,1
Val Jay Riby,2025-06-05,2025-06-05,1
Val Jay Rigyb,2025-12-04,2025-12-04,1
