date,body,md_path,source_url,minutes_status,note
2015-01-08,Cache County Planning Commission,land_use/minutes/2015/2015-01-08_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC1_January_Final.pdf,Approved,
2015-02-05,Cache County Planning Commission,land_use/minutes/2015/2015-02-05_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC2_FebruaryFinal.pdf,Approved,
2015-04-09,Cache County Planning Commission,land_use/minutes/2015/2015-04-09_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC4%20AprilFinal.docx,Approved,docx-sourced minutes
2015-05-07,Cache County Planning Commission,land_use/minutes/2015/2015-05-07_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC5_MayFinal.pdf,Approved,
2015-06-04,Cache County Planning Commission,land_use/minutes/2015/2015-06-04_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC6_JuneFinal.pdf,Approved,
2015-07-09,Cache County Planning Commission,land_use/minutes/2015/2015-07-09_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC7_July_Final.pdf,Approved,
2015-08-13,Cache County Planning Commission,land_use/minutes/2015/2015-08-13_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC8_August_Minutes.pdf,Approved,
2015-09-03,Cache County Planning Commission,land_use/minutes/2015/2015-09-03_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC9_September_Minutes.pdf,Approved,
2015-10-01,Cache County Planning Commission,land_use/minutes/2015/2015-10-01_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC10_October_Minutes.pdf,Approved,
2015-11-05,Cache County Planning Commission,land_use/minutes/2015/2015-11-05_planning_commission.md,https://www.cachecounty.gov/assets/meetings/planningcommission/2015/minutes/PC12_November.pdf,Approved,
