week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2020-01-15,2020-01-09,0,0,12,0,
2020-01-29,2020-01-23,0,0,6,0,
2020-02-12,2020-02-06,0,0,6,1,
2020-02-26,2020-02-20,0,0,11,0,
2020-03-11,2020-03-05,0,0,6,0,
2020-04-01,2020-03-26,0,0,4,0,
2020-04-08,2020-04-02,0,0,7,0,
2020-04-22,2020-04-16,0,0,8,4,
2020-05-13,2020-05-07,0,0,12,0,
2020-05-20,2020-05-14,0,0,2,0,
2020-05-27,2020-05-21,0,0,7,3,
2020-06-03,2020-05-28,0,0,1,0,
2020-06-10,2020-06-04,0,0,12,0,
2020-06-24,2020-06-18,0,0,8,0,
2020-07-15,2020-07-09,0,0,1,0,
2020-07-22,2020-07-16,0,0,4,0,
2020-08-26,2020-08-20,0,0,9,0,
2020-09-09,2020-09-03,0,0,2,0,
2020-09-23,2020-09-17,0,0,2,0,
2020-10-28,2020-10-22,0,0,6,1,
2020-11-18,2020-11-12,0,0,4,1,
2020-12-09,2020-12-03,0,0,9,2,
2021-01-13,2021-01-07,0,0,6,0,
2021-01-27,2021-01-21,0,0,8,3,
2021-02-10,2021-02-04,0,0,7,2,
2021-02-24,2021-02-18,0,0,8,5,
2021-03-10,2021-03-04,0,0,1,0,
2021-03-24,2021-03-18,0,0,7,0,
2021-04-14,2021-04-08,0,0,5,0,
2021-04-28,2021-04-22,0,0,6,0,
2021-05-12,2021-05-06,0,0,6,0,
2021-05-26,2021-05-20,0,0,6,0,
2021-06-09,2021-06-03,0,0,10,2,
2021-06-23,2021-06-17,0,0,16,3,
2021-07-14,2021-07-08,0,0,6,0,
2021-07-28,2021-07-22,0,0,4,1,
2021-08-25,2021-08-19,0,0,8,2,
2021-09-01,2021-08-26,0,0,3,0,
2021-09-22,2021-09-16,0,0,8,0,
2021-10-06,2021-09-30,0,0,3,0,
2021-10-20,2021-10-14,0,0,1,0,
2021-11-17,2021-11-11,0,0,9,1,
2021-12-08,2021-12-02,0,0,11,0,
2022-01-05,2021-12-30,0,0,1,0,
2022-01-12,2022-01-06,0,0,14,3,
2022-01-26,2022-01-20,0,0,7,1,
2022-02-09,2022-02-03,0,0,4,0,
2022-02-23,2022-02-17,0,0,8,0,
2022-03-09,2022-03-03,0,0,6,0,
2022-03-23,2022-03-17,0,0,8,1,
2022-04-13,2022-04-07,0,0,7,0,
2022-04-27,2022-04-21,0,0,6,0,
2022-05-11,2022-05-05,0,0,9,1,
2022-05-25,2022-05-19,0,0,6,0,
2022-06-08,2022-06-02,0,0,7,0,
2022-06-22,2022-06-16,0,0,15,3,
2022-07-27,2022-07-21,0,0,8,0,
2022-08-24,2022-08-18,0,0,3,0,
2022-09-14,2022-09-08,0,0,9,0,
2022-09-28,2022-09-22,0,0,5,1,
2022-10-12,2022-10-06,0,0,6,0,
