dataset,source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence,motion_id
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_2020_2_12_tc_minutes_approved.md,1,2020-02-12,Council,Resolution,Resolution,,final-action,pass,,,,unknown,APPROVED,crosswalk,high,1
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_2020_2_12_tc_minutes_approved.md,2,2020-02-12,Council,Consent/Minutes,Procedural-Administrative,,procedural,pass,,,,unknown,APPROVED,crosswalk,high,2
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_2020_2_12_tc_minutes_approved.md,3,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,unknown,,,,unknown,ADJOURNED,crosswalk,high,3
meeting_minutes,minutes/2020/2020-03-09/2020-03-11_2020_3_11_tc_minutes_approved.md,1,2020-03-11,Council,Resolution,Resolution,,final-action,unknown,,,,unknown,RECORDED (no vote line),crosswalk,high,4
meeting_minutes,minutes/2020/2020-03-09/2020-03-11_2020_3_11_tc_minutes_approved.md,2,2020-03-11,Council,Resolution,Resolution,,final-action,pass,4,1,,roll-call,APPROVED (4-1),crosswalk,high,5
meeting_minutes,minutes/2020/2020-03-09/2020-03-11_2020_3_11_tc_minutes_approved.md,3,2020-03-11,Council,Resolution,Resolution,,final-action,pass,,,,unknown,APPROVED,crosswalk,high,6
meeting_minutes,minutes/2020/2020-03-09/2020-03-11_2020_3_11_tc_minutes_approved.md,4,2020-03-11,Council,Consent/Minutes,Procedural-Administrative,,procedural,pass,,,,roll-call,APPROVED,crosswalk,high,7
meeting_minutes,minutes/2020/2020-03-09/2020-03-11_2020_3_11_tc_minutes_approved.md,5,2020-03-11,Council,Procedural/Administrative,Procedural-Administrative,,procedural,unknown,,,,unknown,ADJOURNED,crosswalk,high,8
meeting_minutes,minutes/2020/2020-04-06/2020-04-08_2020_4_8_minutes_approved.md,1,2020-04-08,Council,Resolution,Resolution,,final-action,pass,,,,unknown,APPROVED,crosswalk,high,9
meeting_minutes,minutes/2020/2020-04-06/2020-04-08_2020_4_8_minutes_approved.md,2,2020-04-08,Council,Consent/Minutes,Procedural-Administrative,,procedural,pass,,,,unknown,APPROVED,crosswalk,high,10
meeting_minutes,minutes/2020/2020-04-06/2020-04-08_2020_4_8_minutes_approved.md,3,2020-04-08,Council,Resolution,Resolution,,final-action,pass,,,,unknown,APPROVED,crosswalk,high,11
meeting_minutes,minutes/2020/2020-04-06/2020-04-08_2020_4_8_minutes_approved.md,4,2020-04-08,Council,Resolution,Resolution,,final-action,pass,,,,unknown,APPROVED,crosswalk,high,12
