role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,2,2022-04-13,2026-05-13,123
2,2,2,2020-03-11,2021-12-08,19
3,3,1,2022-04-13,2022-04-13,1
4,3,2,2026-01-14,2026-06-17,39
5,4,2,2024-01-10,2026-06-17,109
6,6,1,2022-04-13,2022-04-13,1
7,6,2,2020-03-11,2026-06-17,166
8,7,2,2020-03-11,2021-12-08,18
9,9,1,2022-04-13,2022-04-13,1
10,9,2,2022-04-13,2025-12-10,119
11,12,2,2020-03-11,2021-12-08,21
12,15,1,2022-04-13,2022-04-13,1
13,15,2,2022-04-13,2026-06-17,154
14,16,2,2020-03-11,2024-02-14,66
