date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,meeting_title,filename,content_length_bytes,size_mb,stored_locally,doc_class,fetch_status,sha256,text_path,text_chars
2022-01-04,AGENDA 2022January4,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022January4.pdf?t=20211230132913068,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 4 - Regular Meeting,AGENDA 2022January4.pdf,168334,0.17,no,,,,,
2022-01-04,AGENDA 2022January4 Spanish,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022January4%20Spanish.pdf?t=20211230135830423,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 4 - Regular Meeting,AGENDA 2022January4 Spanish.pdf,163854,0.16,no,,,,,
2022-01-04,Logan City School Board Voting Precincts - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Logan%20City%20School%20Board%20Voting%20Precincts%20-%20WORKSHOP.pdf?t=20211230133054881,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 4 - Regular Meeting,Logan City School Board Voting Precincts - WORKSHOP.pdf,1034184,1.03,no,,,,,
2022-01-04,Ord 22-01 Rezone Ethan's Honest Automotive - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-01%20Rezone%20Ethan%27s%20Honest%20Automotive%20-%20WORKSHOP.pdf?t=20211230133145693,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 4 - Regular Meeting,Ord 22-01 Rezone Ethan's Honest Automotive - WORKSHOP.pdf,1072839,1.07,no,staff_report,ok,5a383520799a7e33ce46d52b250ed713422301fa532e6eee92536449ec66e071,text/attachments/2022-01-04_Ord_22_01_Rezone_Ethan_s_Honest_Automotive_WORKSHO_b9341e42.txt,22745
2022-01-04,Res 21-59 Voter Participation Areas - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2021-59%20Voter%20Participation%20Areas%20-%20ACTION.pdf?t=20211230133004849,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 4 - Regular Meeting,Res 21-59 Voter Participation Areas - ACTION.pdf,195541,0.2,no,,,,,
2022-01-04,Res 21-60 Budget Adjustment - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2021-60%20Budget%20Adjustment%20-%20ACTION.pdf?t=20211230133030427,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 4 - Regular Meeting,Res 21-60 Budget Adjustment - ACTION.pdf,10943,0.01,no,,,,,
2022-01-04,Res 22-01 Budget Adjustments - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-01%20Budget%20Adjustments%20-%20WORKSHOP.pdf?t=20211230133121584,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 4 - Regular Meeting,Res 22-01 Budget Adjustments - WORKSHOP.pdf,14382,0.01,no,,,,,
2022-01-18,AGENDA 2022January18,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022January18.pdf?t=20220114102558299,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,AGENDA 2022January18.pdf,255515,0.26,no,,,,,
2022-01-18,AGENDA 2022January18 Spanish,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022January18%20Spanish.pdf?t=20220114102623455,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,AGENDA 2022January18 Spanish.pdf,165883,0.17,no,,,,,
2022-01-18,Board Appointment,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Board%20Appointment.pdf?t=20251030155234197,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,Board Appointment.pdf,168569,0.17,no,,,,,
