date,year,title,slug,path,source,source_url,format,packet_url
2020-01-07,2020,Council Regular Meeting,council-regular-meeting,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_council-regular-meeting.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1913_Minutes_1_7_2020_5_30_00_PM.pdf?documentType=2&meetingId=1913,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1913_Agenda_Packet_1_7_2020_5_30_00_PM.pdf?documentType=5&meetingId=1913
2020-01-07,2020,Council Work Session,council-work-session,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_council-work-session.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1912_Minutes_1_7_2020_1_00_00_PM.pdf?documentType=2&meetingId=1912,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1912_Agenda_Packet_1_7_2020_1_00_00_PM.pdf?documentType=5&meetingId=1912
2020-01-21,2020,Council Regular Meeting,council-regular-meeting,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_council-regular-meeting.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1950_Minutes_1_21_2020_5_30_00_PM.pdf?documentType=2&meetingId=1950,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1950_Agenda_Packet_1_21_2020_5_30_00_PM.pdf?documentType=5&meetingId=1950
2020-01-21,2020,Council Work Session,council-work-session,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_council-work-session.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1926_Minutes_1_21_2020_1_00_00_PM.pdf?documentType=2&meetingId=1926,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1926_Agenda_Packet_1_21_2020_1_00_00_PM.pdf?documentType=5&meetingId=1926
2020-02-04,2020,Council Regular Meeting,council-regular-meeting,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_council-regular-meeting.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1939_Minutes_2_4_2020_5_30_00_PM.pdf?documentType=2&meetingId=1939,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1939_Agenda_Packet_2_4_2020_5_30_00_PM.pdf?documentType=5&meetingId=1939
2020-02-04,2020,Council Work Session,council-work-session,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_council-work-session.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1915_Minutes_2_4_2020_1_30_00_PM.pdf?documentType=2&meetingId=1915,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1915_Agenda_Packet_2_4_2020_1_30_00_PM.pdf?documentType=5&meetingId=1915
2020-02-18,2020,Council Regular Meeting,council-regular-meeting,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1951_Minutes_2_18_2020_5_30_00_PM.pdf?documentType=2&meetingId=1951,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1951_Agenda_Packet_2_18_2020_5_30_00_PM.pdf?documentType=5&meetingId=1951
2020-02-18,2020,Council Work Session,council-work-session,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_council-work-session.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1927_Minutes_2_18_2020_1_00_00_PM.pdf?documentType=2&meetingId=1927,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1927_Agenda_Packet_2_18_2020_1_00_00_PM.pdf?documentType=5&meetingId=1927
2020-03-10,2020,Council Regular Meeting,council-regular-meeting,meeting_minutes/minutes/2020/2020-03-09/2020-03-10_council-regular-meeting.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1940_Minutes_3_10_2020_5_30_00_PM.pdf?documentType=2&meetingId=1940,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1940_Agenda_Packet_3_10_2020_5_30_00_PM.pdf?documentType=5&meetingId=1940
2020-03-10,2020,Council Work Session,council-work-session,meeting_minutes/minutes/2020/2020-03-09/2020-03-10_council-work-session.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1916_Minutes_3_10_2020_12_00_00_PM.pdf?documentType=2&meetingId=1916,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1916_Agenda_Packet_3_10_2020_12_00_00_PM.pdf?documentType=5&meetingId=1916
2020-03-31,2020,Council Regular Meeting,council-regular-meeting,meeting_minutes/minutes/2020/2020-03-30/2020-03-31_council-regular-meeting.md,onbase,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1952_Minutes_3_31_2020_5_30_00_PM.pdf?documentType=2&meetingId=1952,pdf,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1952_Agenda_Packet_3_31_2020_5_30_00_PM.pdf?documentType=5&meetingId=1952
