member,first_seen,last_seen,n_votes
Travis Hoban,2020-01-07,2026-05-12,882
George Handley,2020-01-07,2025-11-18,857
Rachel Whipple,2022-01-04,2026-05-12,603
Katrice MacKay,2022-01-04,2026-05-12,600
Shannon Ellsworth,2020-01-07,2023-12-12,591
Bill Fillmore,2020-01-07,2023-12-12,589
David Shipley,2020-01-07,2023-12-12,577
Becky Bogdin,2024-01-09,2026-05-12,318
Gary Garrett,2024-01-09,2026-05-12,315
Craig Christensen,2024-01-09,2026-05-12,302
David Sewell,2020-01-07,2021-12-14,294
David Harding,2020-01-07,2021-12-14,290
Jeff Whitlock,2026-01-13,2026-05-12,36
