year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2007,municipal general,Council,At-Large,South Salt Lake City Council At-Large,SOUTH SALT LAKE COUNCIL AT LRG,1,3,plurality,2284,,MIKE RUTTER,1150,50.35,HERBERT T. GOLDHARDT,1114,36,1.58,7537,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal general,Council,1,South Salt Lake City Council District 1,SOUTH SALT LAKE CITY COUNCIL 1,1,3,plurality,715,,MARILYN H. BRUSCH,401,56.08,RYAN GOLD,311,90,12.59,1799,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal general,Council,4,South Salt Lake City Council District 4,SOUTH SALT LAKE CITY COUNCIL 4,1,3,plurality,580,,ROY TURNER,311,53.62,BILL ANDERSON,267,44,7.59,1671,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal general,Council,5,South Salt Lake City Council District 5,SOUTH SALT LAKE CITY COUNCIL 5,1,2,plurality,270,,L. SHANE SIWIK,190,70.37,ERIC KINGSTON,80,110,40.74,1092,,,False,False,,2007-11-06-municipal-general-sovc.xls
2009,municipal general,Council,2,South Salt Lake City Council District 2,SOUTH SALT LAKE COUNCIL DIST 2,1,3,plurality,295,,BOYD L. MARSHALL,169,57.29,NICK GOSDIS,123,46,15.59,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Council,3,South Salt Lake City Council District 3,SOUTH SALT LAKE COUNCIL DIS 3,1,2,plurality,425,,JOHN B. WEAVER,232,54.59,LINDA L. TURKOVICH,193,39,9.18,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Mayor,,South Salt Lake City Mayor,SOUTH SALT LAKE CITY MAYOR,1,3,plurality,2044,,CHERIE WOOD,1267,61.99,WES LOSSER,770,497,24.32,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal primary,Mayor,,South Salt Lake City Mayor,SOUTH SALT LAKE CITY MAYOR,1,5,plurality,1355,,WES LOSSER,459,33.87,CHERIE WOOD,390,69,5.09,,,,False,False,,2009-09-15-municipal-primary-sovc.xls
2011,municipal general,Council,At-Large,South Salt Lake City Council At-Large,S Salt Lake Coun @ Lg,1,4,plurality,1867,,MIKE RUTTER,1004,53.78,WILLIAM H ESPINOZA,485,519,27.8,6680,2030,30.39,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,1,South Salt Lake City Council District 1,S Salt Lake City Coun 1,1,2,plurality,455,,RYAN GOLD,415,91.21,Write-in,40,375,82.42,1697,544,32.06,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,4,South Salt Lake City Council District 4,S Salt Lake City Coun 4,1,3,plurality,504,,ROY TURNER,284,56.35,JERUSHA RISER,209,75,14.88,1469,524,35.67,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,5,South Salt Lake City Council District 5,S Salt Lake City Coun 5,1,2,plurality,209,,IRVIN JONES,177,84.69,Write-in,32,145,69.38,973,243,24.97,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal primary,Council,4,South Salt Lake City Council District 4,S SALT LAKE CITY COUNCIL 4,1,3,plurality,258,,ROY TURNER,135,52.33,JERUSHA RISER,78,57,22.09,1536,258,16.8,False,False,,2011-09-13-municipal-primary-sovc.xlsx
2013,municipal general,Council,At-Large,South Salt Lake City Council At-Large,SOUTH SALT LAKE CITY CNCL @ LRG,1,3,plurality,1950,,DEBBIE A SNOW,1343,68.87,STEVE NORR,604,739,37.9,6426,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Council,2,South Salt Lake City Council District 2,SOUTH SALT LAKE CITY COUNCIL 2,1,3,plurality,282,,KEVIN DAVID RAPP,185,65.6,BOYD L. MARSHALL,95,90,31.91,968,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Council,3,South Salt Lake City Council District 3,SOUTH SALT LAKE CITY COUNCIL 3,1,3,plurality,339,,SHARLA BEVERLY,190,56.05,BILL GENE HAUSER,144,46,13.57,1234,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Mayor,,South Salt Lake City Mayor,SOUTH SALT LAKE CITY MAYOR,1,3,plurality,1979,,CHERIE WOOD,1008,50.93,DERK O PEHRSON,959,49,2.48,6426,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal primary,Mayor,,South Salt Lake City Mayor,SOUTH SALT LAKE CITY MAYOR,1,6,plurality,1512,,CHERIE WOOD,702,46.43,DERK O PEHRSON,257,445,29.43,6368,,,False,False,,2013-08-13-municipal-primary-sovc.xlsx
2015,municipal general,Council,At-Large,South Salt Lake City Council At-Large,SOUTH SALT LAKE CITY CNCL @ LRG,1,2,plurality,2206,,MARK C. KINDRED,1332,60.38,DERK O PEHRSON,874,458,20.76,5855,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2015,municipal general,Council,1,South Salt Lake City Council District 1,SOUTH SALT LAKE CITY COUNCIL 1,1,2,plurality,579,,BEN B. PENDER,342,59.07,LYNN BLACK,237,105,18.13,1387,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2015,municipal general,Council,4,South Salt Lake City Council District 4,SOUTH SALT LAKE CITY COUNCIL 4,1,2,plurality,641,,PORTIA MILA,345,53.82,JOHNNY MCCONNELL,296,49,7.64,1366,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2015,municipal general,Council,5,South Salt Lake City Council District 5,SOUTH SALT LAKE CITY COUNCIL 5,1,2,plurality,354,,L. SHANE SIWIK,185,52.26,JILL L. COIL,169,16,4.52,1080,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2015,municipal primary,Council,1,South Salt Lake City Council District 1,SOUTH SALT LAKE CITY COUNCIL 1,1,4,plurality,428,,BEN B. PENDER,175,40.89,LYNN BLACK,135,40,9.35,1390,,,False,False,,2015-08-11-municipal-primary-sovc.xlsx
2015,municipal primary,Council,4,South Salt Lake City Council District 4,SOUTH SALT LAKE CITY COUNCIL 4,1,3,plurality,400,,PORTIA MILA,217,54.25,JOHNNY MCCONNELL,105,112,28.0,1336,,,False,False,,2015-08-11-municipal-primary-sovc.xlsx
2015,municipal primary,Council,5,South Salt Lake City Council District 5,SOUTH SALT LAKE CITY COUNCIL 5,1,3,plurality,278,,L. SHANE SIWIK,117,42.09,JILL L. COIL,96,21,7.55,1091,,,False,False,,2015-08-11-municipal-primary-sovc.xlsx
2017,municipal general,Council,At-Large,South Salt Lake City Council At-Large,SOUTH SALT LAKE CITY CNCL @ LRG,1,2,plurality,2790,,RAY DEWOLFE,1567,56.16,AARON A. FROST,1223,344,12.33,6956,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,2,South Salt Lake City Council District 2,SOUTH SALT LAKE CITY CNCL 2,1,2,plurality,411,,COREY THOMAS,218,53.04,ERIC BALKEN,193,25,6.08,983,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,3,South Salt Lake City Council District 3,SOUTH SALT LAKE CITY CNCL 3,1,2,plurality,584,,SHARLA BEVERLY,388,66.44,ADAM THOMPSON,196,192,32.88,1370,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Mayor,,South Salt Lake City Mayor,SOUTH SALT LAKE CITY MAYOR,1,4,plurality,3020,,CHERIE WOOD,1524,50.46,MARK C. KINDRED,1481,43,1.42,6956,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal primary,Council,At-Large,South Salt Lake City Council At-Large,SOUTH SALT LAKE CITY CNCL @ LRG,1,3,plurality,1949,,RAY DEWOLFE,765,39.25,AARON A. FROST,651,114,5.85,6872,,,False,False,,2017-08-15-primary-election-statement-of-votes-cast.zip
2017,municipal primary,Mayor,,South Salt Lake City Mayor,SOUTH SALT LAKE CITY MAYOR,1,3,plurality,2081,,CHERIE WOOD,1176,56.51,MARK C. KINDRED,475,701,33.69,6872,,,False,False,,2017-08-15-primary-election-statement-of-votes-cast.zip
2019,municipal general,Council,At-Large,South Salt Lake City Council At-Large,SOUTH SALT LAKE CITY COUNCIL AT LARGE,1,2,plurality,2595,,NATALIE PINKNEY,1652,63.66,MARY ANNA SOUTHEY,943,709,27.32,8294,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,1,South Salt Lake City Council District 1,SOUTH SALT LAKE CITY COUNCIL DISTRICT 1,1,2,plurality,724,,LEANNE HUFF,463,63.95,JARED FITTS,261,202,27.9,3951,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,4,South Salt Lake City Council District 4,SOUTH SALT LAKE CITY COUNCIL DISTRICT 4,1,2,plurality,644,,PORTIA MILA,436,67.7,GEORGE E. KELLOGG,208,228,35.4,1796,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,5,South Salt Lake City Council District 5,SOUTH SALT LAKE CITY COUNCIL DISTRICT 5,1,2,plurality,485,,SHANE SIWIK,258,53.2,CLARISSA J. WILLIAMS,227,31,6.39,1812,,,False,False,,2019-11-05-general-election-sovc.xlsx
