year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2007,municipal general,Council,At-Large,South Salt Lake City Council At-Large,MIKE RUTTER,1150,50.35,1,True
2007,municipal general,Council,At-Large,South Salt Lake City Council At-Large,HERBERT T. GOLDHARDT,1114,48.77,2,False
2007,municipal general,Council,At-Large,South Salt Lake City Council At-Large,Write-in,20,0.88,3,False
2007,municipal general,Council,1,South Salt Lake City Council District 1,MARILYN H. BRUSCH,401,56.08,1,True
2007,municipal general,Council,1,South Salt Lake City Council District 1,RYAN GOLD,311,43.5,2,False
2007,municipal general,Council,1,South Salt Lake City Council District 1,Write-in,3,0.42,3,False
2007,municipal general,Council,4,South Salt Lake City Council District 4,ROY TURNER,311,53.62,1,True
2007,municipal general,Council,4,South Salt Lake City Council District 4,BILL ANDERSON,267,46.03,2,False
2007,municipal general,Council,4,South Salt Lake City Council District 4,Write-in,2,0.34,3,False
2007,municipal general,Council,5,South Salt Lake City Council District 5,L. SHANE SIWIK,190,70.37,1,True
2007,municipal general,Council,5,South Salt Lake City Council District 5,ERIC KINGSTON,80,29.63,2,False
2007,municipal general,Council,5,South Salt Lake City Council District 5,Write-in,0,0.0,3,False
2009,municipal general,Council,2,South Salt Lake City Council District 2,BOYD L. MARSHALL,169,57.29,1,True
2009,municipal general,Council,2,South Salt Lake City Council District 2,NICK GOSDIS,123,41.69,2,False
2009,municipal general,Council,2,South Salt Lake City Council District 2,Write-in,3,1.02,3,False
2009,municipal general,Council,3,South Salt Lake City Council District 3,JOHN B. WEAVER,232,54.59,1,True
2009,municipal general,Council,3,South Salt Lake City Council District 3,LINDA L. TURKOVICH,193,45.41,2,False
2009,municipal general,Council,3,South Salt Lake City Council District 3,Write-in,0,0.0,3,False
2009,municipal general,Mayor,,South Salt Lake City Mayor,CHERIE WOOD,1267,61.99,1,True
2009,municipal general,Mayor,,South Salt Lake City Mayor,WES LOSSER,770,37.67,2,False
2009,municipal general,Mayor,,South Salt Lake City Mayor,Write-in,7,0.34,3,False
2009,municipal primary,Mayor,,South Salt Lake City Mayor,WES LOSSER,459,33.87,1,True
2009,municipal primary,Mayor,,South Salt Lake City Mayor,CHERIE WOOD,390,28.78,2,False
2009,municipal primary,Mayor,,South Salt Lake City Mayor,ORRIN T. COLBY JR.,240,17.71,3,False
2009,municipal primary,Mayor,,South Salt Lake City Mayor,STACEY D. LIDDIARD,215,15.87,4,False
2009,municipal primary,Mayor,,South Salt Lake City Mayor,WILLIAM HOGAN ESPINOZA,51,3.76,5,False
2011,municipal general,Council,At-Large,South Salt Lake City Council At-Large,MIKE RUTTER,1004,53.78,1,True
2011,municipal general,Council,At-Large,South Salt Lake City Council At-Large,WILLIAM H ESPINOZA,485,25.98,2,False
2011,municipal general,Council,At-Large,South Salt Lake City Council At-Large,L. SHANE SIWIK,332,17.78,3,False
2011,municipal general,Council,At-Large,South Salt Lake City Council At-Large,Write-in,46,2.46,4,False
2011,municipal general,Council,1,South Salt Lake City Council District 1,RYAN GOLD,415,91.21,1,True
2011,municipal general,Council,1,South Salt Lake City Council District 1,Write-in,40,8.79,2,False
2011,municipal general,Council,4,South Salt Lake City Council District 4,ROY TURNER,284,56.35,1,True
2011,municipal general,Council,4,South Salt Lake City Council District 4,JERUSHA RISER,209,41.47,2,False
2011,municipal general,Council,4,South Salt Lake City Council District 4,Write-in,11,2.18,3,False
2011,municipal general,Council,5,South Salt Lake City Council District 5,IRVIN JONES,177,84.69,1,True
2011,municipal general,Council,5,South Salt Lake City Council District 5,Write-in,32,15.31,2,False
2011,municipal primary,Council,4,South Salt Lake City Council District 4,ROY TURNER,135,52.33,1,True
2011,municipal primary,Council,4,South Salt Lake City Council District 4,JERUSHA RISER,78,30.23,2,False
2011,municipal primary,Council,4,South Salt Lake City Council District 4,PORTIA MILA,45,17.44,3,False
2013,municipal general,Council,At-Large,South Salt Lake City Council At-Large,DEBBIE A SNOW,1343,68.87,1,True
2013,municipal general,Council,At-Large,South Salt Lake City Council At-Large,STEVE NORR,604,30.97,2,False
2013,municipal general,Council,At-Large,South Salt Lake City Council At-Large,Write-in,3,0.15,3,False
2013,municipal general,Council,2,South Salt Lake City Council District 2,KEVIN DAVID RAPP,185,65.6,1,True
2013,municipal general,Council,2,South Salt Lake City Council District 2,BOYD L. MARSHALL,95,33.69,2,False
2013,municipal general,Council,2,South Salt Lake City Council District 2,Write-in,2,0.71,3,False
2013,municipal general,Council,3,South Salt Lake City Council District 3,SHARLA BEVERLY,190,56.05,1,True
2013,municipal general,Council,3,South Salt Lake City Council District 3,BILL GENE HAUSER,144,42.48,2,False
2013,municipal general,Council,3,South Salt Lake City Council District 3,Write-in,5,1.47,3,False
2013,municipal general,Mayor,,South Salt Lake City Mayor,CHERIE WOOD,1008,50.93,1,True
2013,municipal general,Mayor,,South Salt Lake City Mayor,DERK O PEHRSON,959,48.46,2,False
2013,municipal general,Mayor,,South Salt Lake City Mayor,Write-in,12,0.61,3,False
2013,municipal primary,Mayor,,South Salt Lake City Mayor,CHERIE WOOD,702,46.43,1,True
2013,municipal primary,Mayor,,South Salt Lake City Mayor,DERK O PEHRSON,257,17.0,2,False
2013,municipal primary,Mayor,,South Salt Lake City Mayor,L SHANE SIWIK,255,16.87,3,False
2013,municipal primary,Mayor,,South Salt Lake City Mayor,NICK H. GOSDIS,240,15.87,4,False
2013,municipal primary,Mayor,,South Salt Lake City Mayor,ROBERT WALLACE MILLER,29,1.92,5,False
2013,municipal primary,Mayor,,South Salt Lake City Mayor,WILLIAM HOGAN ESPINOZA,29,1.92,6,False
2015,municipal general,Council,At-Large,South Salt Lake City Council At-Large,MARK C. KINDRED,1332,60.38,1,True
2015,municipal general,Council,At-Large,South Salt Lake City Council At-Large,DERK O PEHRSON,874,39.62,2,False
2015,municipal general,Council,1,South Salt Lake City Council District 1,BEN B. PENDER,342,59.07,1,True
2015,municipal general,Council,1,South Salt Lake City Council District 1,LYNN BLACK,237,40.93,2,False
2015,municipal general,Council,4,South Salt Lake City Council District 4,PORTIA MILA,345,53.82,1,True
2015,municipal general,Council,4,South Salt Lake City Council District 4,JOHNNY MCCONNELL,296,46.18,2,False
2015,municipal general,Council,5,South Salt Lake City Council District 5,L. SHANE SIWIK,185,52.26,1,True
2015,municipal general,Council,5,South Salt Lake City Council District 5,JILL L. COIL,169,47.74,2,False
2015,municipal primary,Council,1,South Salt Lake City Council District 1,BEN B. PENDER,175,40.89,1,True
2015,municipal primary,Council,1,South Salt Lake City Council District 1,LYNN BLACK,135,31.54,2,False
2015,municipal primary,Council,1,South Salt Lake City Council District 1,JILL CHRISTOFFERSEN,107,25.0,3,False
2015,municipal primary,Council,1,South Salt Lake City Council District 1,CHARLES CONNELLEY JR.,11,2.57,4,False
2015,municipal primary,Council,4,South Salt Lake City Council District 4,PORTIA MILA,217,54.25,1,True
2015,municipal primary,Council,4,South Salt Lake City Council District 4,JOHNNY MCCONNELL,105,26.25,2,False
2015,municipal primary,Council,4,South Salt Lake City Council District 4,W. MAURICE (MOREY) DAY,78,19.5,3,False
2015,municipal primary,Council,5,South Salt Lake City Council District 5,L. SHANE SIWIK,117,42.09,1,True
2015,municipal primary,Council,5,South Salt Lake City Council District 5,JILL L. COIL,96,34.53,2,False
