date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,document_id,sha256,matched_election_candidate,join_confidence,provider
2022-01-14,Alison Stroud,Council District 2,2021,summary,2021 Annual Financial Disclosure,Alison Stroud — Sandy City Report of Contributions & Expenditures (2021 Annual Financial Disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202201_Stroud_2021-Annual-Financial-Disclosure_75ABABD4.pdf,75ABABD4-76F7-486E-8208-583C96361D33,c6582bc01111a10a6f608635844fd8db26fdd8d0c590b77e855f01fde16318af,,none,EasyVote (ecf-api.easyvoteapp.com)
2023-01-06,Alison Stroud,Council District 2,2021,summary,2022 Annual Financial Disclosure,Alison Stroud — Sandy City Report of Contributions & Expenditures (2022 Annual Financial Disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202301_Stroud_2022-Annual-Financial-Disclosure_3AD0ABE9.pdf,3AD0ABE9-6891-4513-A7A8-034542DEA53F,b4382a06b6efd308f9b4253908ee86fe0a8fcd8d623d00dfa53006af356c2e9e,,none,EasyVote (ecf-api.easyvoteapp.com)
2023-08-07,Alison Stroud,Council District 2,2023,interim,"August 8, 2023","Alison Stroud — Sandy City Report of Contributions & Expenditures (August 8, 2023)",https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202308_Stroud_August-8-2023_17F0DFF7.pdf,17F0DFF7-7497-471B-8242-2DB4AD42446F,2d2c5040f959c4da2f9fbb8906a2397412af6e88f3c5e123304b4eab3f89d803,ALISON STROUD,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-08-29,Alison Stroud,Council District 2,2023,interim,Primary 8.29.23 Ammended,Alison Stroud — Sandy City Report of Contributions & Expenditures (Primary 8.29.23 Ammended),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202308_Stroud_Primary-8-29-23-Ammended_4BB3B3B0.pdf,4BB3B3B0-FE74-4440-8412-E68D2342F314,0089a7012ca7db1b8c8b880c10f84997c8480b1cf2f5324f7874927e10de2753,ALISON STROUD,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-08-29,Alison Stroud,Council District 2,2023,interim,Primary 8.29.23,Alison Stroud — Sandy City Report of Contributions & Expenditures (Primary 8.29.23),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202308_Stroud_Primary-8-29-23_B03C2790.pdf,B03C2790-FD69-43B6-9F98-43F80910A128,ca1fc7285b63e1f2904d697f7b6b0471fed8e0b6a192cc6c7ccbb645b0611363,ALISON STROUD,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-10-20,Alison Stroud,Council District 2,2023,interim,General 10.20.23,Alison Stroud — Sandy City Report of Contributions & Expenditures (General 10.20.23),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202310_Stroud_General-10-20-23_3DAAA762.pdf,3DAAA762-0016-4A8B-A4E9-DBECD69B5815,ac994d4fd734a927d596631d2ed67802e1a886f52b38b218968e1497c576ca78,ALISON STROUD,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-11-14,Alison Stroud,Council District 2,2023,interim,General 11.14.23,Alison Stroud — Sandy City Report of Contributions & Expenditures (General 11.14.23),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202311_Stroud_General-11-14-23_03982F32.pdf,03982F32-FCFF-4904-B485-A464761E0F2B,b5c34ff3697e58062f86fc5c27acb478db62d98180eba12a96eb9c539db4ce92,ALISON STROUD,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-12-17,Alison Stroud,Council District 2,2023,interim,General 12.17.23,Alison Stroud — Sandy City Report of Contributions & Expenditures (General 12.17.23),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202312_Stroud_General-12-17-23_CE26C048.pdf,CE26C048-DF24-42E6-9630-B26B088B6193,97558b3113820082633190c52ea832867db193ace126bc85a6699a076c6925f7,ALISON STROUD,exact,EasyVote (ecf-api.easyvoteapp.com)
2024-01-12,Alison Stroud,Council District 2,2023,summary,2023 Annual Financial Disclosure,Alison Stroud — Sandy City Report of Contributions & Expenditures (2023 Annual Financial Disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202401_Stroud_2023-Annual-Financial-Disclosure_BC1B5A0F.pdf,BC1B5A0F-549D-4065-BE27-9C95993DEAFB,83df4a968805cb91bc39bdde69ceaf162612c2482d054234a935b2b812d0a30e,ALISON STROUD,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-01-08,Alison Stroud,Council District 2,2023,interim,FY 2024,Alison Stroud — Sandy City Report of Contributions & Expenditures (FY 2024),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202501_Stroud_FY-2024_1354FBBF.pdf,1354FBBF-2E16-45A1-8335-1FCA466D04F3,6df2b840a0376b90053b019c15bd40a7c3f7b688376fdc7244d3d5b80a4cd204,ALISON STROUD,exact,EasyVote (ecf-api.easyvoteapp.com)
