stem,bytes,chars,status
Council_clip325_att10_meta20703,698890,11712,skipped-exists
Council_clip325_att11_meta20705,824577,19454,skipped-exists
Council_clip325_att12_meta20707,81671,3286,skipped-exists
Council_clip325_att13_meta20709,436887,95337,skipped-exists
Council_clip325_att14_meta20712,296727,19129,skipped-exists
Council_clip325_att15_meta20714,290044,5797,skipped-exists
Council_clip325_att1_meta20681,129026,1383,skipped-exists
Council_clip325_att2_meta20686,318806,47197,skipped-exists
Council_clip325_att3_meta20689,232569,6733,skipped-exists
Council_clip325_att4_meta20691,232571,7399,skipped-exists
Council_clip325_att5_meta20693,231800,6645,skipped-exists
Council_clip325_att6_meta20695,231337,6617,skipped-exists
Council_clip325_att7_meta20697,231824,6803,skipped-exists
Council_clip325_att8_meta20699,233098,6597,skipped-exists
Council_clip325_att9_meta20701,230077,3988,skipped-exists
Council_clip326_agenda,81666,10049,skipped-exists
Council_clip326_att10_2020-Resolution_No._20-08.Immigration_final__2_,6467,3466,skipped-exists
Council_clip326_att11_Utah-Initial-Resettlement-Consent-Letter,1138314,3038,skipped-exists
Council_clip326_att12_2020-Ordinance_No._20-01.Sign_Ordinance_Amendment,12738,4333,skipped-exists
Council_clip326_att13_SIgn_Amendment_Staff_Report,980309,9947,skipped-exists
Council_clip326_att14_2020-Ordinance_No._20-02.Temp_and_Seasonal_Uses_Ordinance_Amendment,10890,4481,skipped-exists
Council_clip326_att15_Temporary_and_Seasonal_Uses_Amendment_-_Staff_Report,323316,9907,skipped-exists
Council_clip326_att16_2020-Ordinance_No._20-03.Apex_Rezone,176358,2004,skipped-exists
Council_clip326_att17_Apex_Rezone_Staff_Report,2161983,3408,skipped-exists
Council_clip326_att18_2020-Ordinance_No._20-05.Short_Term_Rental_Enactment,5484,1895,skipped-exists
Council_clip326_att19_Final_Draft_for_Review_Short_Term_Rental_Amendments_to_Title_18-for_1-21-20,32916,31248,skipped-exists
Council_clip326_att1_RCC_8.40.040_Substantive_provisions,15574,467,skipped-exists
Council_clip326_att20_PC_Minutes_on_Short_Term_Rentals__Aug_8_and_22__2019,1304817,13455,skipped-exists
Council_clip326_att21_2020-Resolution_No._20-07.UDOT_Quit_Claim_Deed,5503,2456,skipped-exists
Council_clip326_att22_3800_West_QCD_Bangerter_Interchange_Improvement_Project,9885,6992,skipped-exists
Council_clip326_att23_20200114131704,172528,0,image_only
Council_clip326_att24_01-21-2020-Ordinance_No._20-04.Secondary_Water_Hours_of_Operation,9107,4759,skipped-exists
Council_clip326_att2_Proposed_Idling_Letter,46847,2270,skipped-exists
Council_clip326_att3_2020_Proclamation_-_School_Choice_Week,138554,1556,skipped-exists
Council_clip326_att4_2020-Resolution_No._20-06.SLCO.Traffic_signals_13200_South_4210_West_1_,5766,2488,skipped-exists
Council_clip326_att5_ILA-Salt_Lake_County-Traffic_Signal_-_CCM_01-21-20,3728290,15468,skipped-exists
Council_clip326_att6_2020-Resolution_No._20-09_-_Quit_Claim_Deed_to_SCI_Sared_Resources_LLC_cemetery,5941,2827,skipped-exists
Council_clip326_att7_Wasatch_Lawn__2-_Parcel_27-32-400-058__Quit_Claim_Jan_2020,18925,2300,skipped-exists
Council_clip326_att8_Wasatch_Lawn__1-_Parcel_27-32-400-053__Quit_Claim_Jan_2020,19069,2507,skipped-exists
Council_clip326_att9_2020-Resolution_No._20-10.Emergency_Preparedness_Committee_-_Dennis_Walker_and_Cameron_Hess,5789,1990,skipped-exists
PlanningCommission_clip328_agenda,61407,3046,skipped-exists
Council_clip335_agenda,74530,6519,skipped-exists
Council_clip335_att10_2020-01-21.CC.Min,239589,29968,skipped-exists
Council_clip335_att11_02-04-2020_Resolution_Western_Growth_Coalition__6_,7910,5870,skipped-exists
Council_clip335_att12_Temporary_and_Seasonal_Uses_Amendment_-_Staff_Report,318033,10559,skipped-exists
Council_clip335_att13_Ordinance_20-02_-_Temp_and_Seasonal_Uses_Ordinance_Amendment,11016,4581,skipped-exists
Council_clip335_att14_02-04-2020_Short_Term_Rental_Enactment_Ordinance,5593,1897,skipped-exists
Council_clip335_att15_PC_Minutes_on_Short_Term_Rentals__Aug_8_and_22__2019,1304817,13455,skipped-exists
Council_clip335_att16_02-04-20_Short_Term_Rental_Ord_with_comments_from_1.21_Council_meeting,596991,0,image_only
Council_clip335_att17_2020-Resolution_No._20-11.Amended_Budget_2019-2020,5266,1835,skipped-exists
Council_clip335_att18_02-04_CC,141073,15149,skipped-exists
Council_clip335_att19_OH_Letter_to_County_Council_2__002_,626680,5939,skipped-exists
Council_clip335_att1_20-1053-08-_Superior_Asphalt_Agreement,480586,1742,skipped-exists
Council_clip335_att2_CC19-371,141807,1437,skipped-exists
Council_clip335_att3_20-1053-09-_Black_Forest_Paving_Agreement,554970,19079,skipped-exists
Council_clip335_att4_CC19-372,116790,16009,skipped-exists
Council_clip335_att5_20-1053-10-_M_M_Asphalt_Agreement,648433,19171,skipped-exists
Council_clip335_att6_CC19-374,134033,1010,skipped-exists
Council_clip335_att7_February_2020_Choice_Awards-_Rosamond_Elem,43984,1167,skipped-exists
Council_clip335_att8_Proclamation_02-04-2020_Utah_Women_First_to_Vote,5391,2021,skipped-exists
Council_clip335_att9_2020-01-07.CC.Min,186696,16760,skipped-exists
PlanningCommission_clip337_agenda,61062,2766,skipped-exists
Council_clip338_agenda,87438,6380,skipped-exists
Council_clip338_att10_Requistion_710806_RedPine_Construction,1080649,8067,skipped-exists
Council_clip338_att11_Requistion_710808_SilverSpur_Construction,772179,6318,skipped-exists
Council_clip338_att12_Requistion_710810_MeterWorks,341585,7222,skipped-exists
Council_clip338_att13_2020-02-04.CC.Min,70657,26646,skipped-exists
Council_clip338_att14_IP_Release.Deseret_Industries__2543__All,1412853,6993,skipped-exists
