member,first_seen,last_seen,n_votes
Lisa Milkavich,2020-01-02,2025-01-02,324
Ned Hacker,2020-01-02,2026-05-07,351
Phil Markham,2020-01-02,2021-01-07,83
Sue Wilson,2020-01-02,2021-12-16,148
Maren Patterson,2020-01-16,2025-01-02,295
Travis Nay,2020-01-16,2024-01-04,235
Scot Woodbury,2020-02-06,2021-01-07,70
Jake Pehrson,2021-01-21,2026-05-07,289
Jeremy Lowry,2021-01-21,2023-12-07,126
Michael Richards,2022-02-17,2026-05-07,195
Michael Henrie,2023-10-19,2025-01-02,65
Pete Hristou,2024-03-07,2026-05-07,119
Aaron Hildreth,2025-01-16,2026-03-19,48
Katie Rogers,2025-01-16,2026-04-02,50
Peter Klinge,2025-02-20,2026-04-02,39
