date,body,md_path,source_url,doc_status,note
2016-01-28,Council,legislative/minutes/2016/2016-01-28_council.md,https://wfrc.utah.gov/Committees/Council/2016/01_Jan28/2016Jan28%20Council%20minutes%20APPROVED.pdf,approved,
2016-03-24,Council,legislative/minutes/2016/2016-03-24_council.md,https://wfrc.utah.gov/Committees/Council/2016/02_Mar24/3-24-16%20WFRCMinutes_approved.docx,approved,
2016-05-26,Council,legislative/minutes/2016/2016-05-26_council.md,https://wfrc.utah.gov/Committees/Council/2016/03_May26/2016May26%20Council%20minutes%20APPROVED.pdf,approved,
2016-08-25,Council,legislative/minutes/2016/2016-08-25_council.md,https://wfrc.utah.gov/Committees/Council/2016/04_Aug25/2016Aug25%20Council%20minutes%20APPROVED.pdf,approved,
2016-10-27,Council,legislative/minutes/2016/2016-10-27_council.md,https://wfrc.utah.gov/Committees/Council/2016/05_Oct27/WFRC%20Minutes%2027Oct2016%20approved.pdf,approved,
2017-01-26,Council,legislative/minutes/2017/2017-01-26_council.md,https://wfrc.utah.gov/Committees/Council/2017/01_Jan26/2017Jan26%20Council%20minutes%20APPROVED.pdf,approved,
2017-03-23,Council,legislative/minutes/2017/2017-03-23_council.md,https://wfrc.utah.gov/Committees/Council/2017/02_Mar23/2017Mar23%20Council%20minutes%20APPROVED.pdf,approved,
2017-05-25,Council,legislative/minutes/2017/2017-05-25_council.md,https://wfrc.utah.gov/Committees/Council/2017/03_May25/2017May25%20Council%20minutes%20APPROVED.pdf,approved,
2017-08-24,Council,legislative/minutes/2017/2017-08-24_council.md,https://wfrc.utah.gov/Committees/Council/2017/04_Aug24/2017Aug24%20Council%20minutes%20APPROVED.pdf,approved,
2017-10-26,Council,legislative/minutes/2017/2017-10-26_council.md,https://wfrc.utah.gov/Committees/Council/2017/05_Oct26/Council_2017Oct26MinutesAPPROVED.pdf,approved,
2018-01-23,Council,legislative/minutes/2018/2018-01-23_council.md,https://wfrc.utah.gov/Committees/Council/2018/01_Jan23/Council_2018Jan23MinutesAPPROVED.pdf,approved,
2018-03-22,Council,legislative/minutes/2018/2018-03-22_council.md,https://wfrc.utah.gov/Committees/Council/2018/02_Mar22/Council_2018Mar22MinutesAPPROVED.pdf,approved,
2018-05-24,Council,legislative/minutes/2018/2018-05-24_council.md,https://wfrc.utah.gov/Committees/Council/2018/03_May24/Council_2018May24MinutesAPPROVED.pdf,approved,
2018-08-23,Council,legislative/minutes/2018/2018-08-23_council.md,https://wfrc.utah.gov/Committees/Council/2018/04_Aug23/Council_2018Aug23MinutesAPPROVED.pdf,approved,
2018-10-25,Council,legislative/minutes/2018/2018-10-25_council.md,https://wfrc.utah.gov/Committees/Council/2018/05_Oct25/Council_2018Oct25_MinutesAPPROVED.pdf,approved,
2019-01-24,Council,legislative/minutes/2019/2019-01-24_council.md,https://wfrc.utah.gov/Committees/Council/2019/01_Jan24/Council_2019Jan24MinutesAPPROVED.pdf,approved,
2019-03-28,Council,legislative/minutes/2019/2019-03-28_council.md,https://wfrc.utah.gov/Committees/Council/2019/02_Mar28/Council_2019Mar28MinutesAPPROVED.pdf,approved,
2019-05-23,Council,legislative/minutes/2019/2019-05-23_council.md,https://wfrc.utah.gov/Committees/Council/2019/03_May23/Council_2019May23MinutesAPPROVED.pdf,approved,
2019-08-22,Council,legislative/minutes/2019/2019-08-22_council.md,https://wfrc.utah.gov/Committees/Council/2019/04_Aug22/Council_2019Aug22MinutesAPPROVED.pdf,approved,
2019-10-24,Council,legislative/minutes/2019/2019-10-24_council.md,https://wfrc.utah.gov/Committees/Council/2019/05_Oct24/Council_2019Oct24MinutesApproved.pdf,approved,
2020-01-23,Council,legislative/minutes/2020/2020-01-23_council.md,https://wfrc.utah.gov/Committees/Council/2020/Council_2020Jan23MinutesFINAL.pdf,final,
2020-03-26,Council,legislative/minutes/2020/2020-03-26_council.md,https://wfrc.utah.gov/Committees/Council/2020/2020Mar26/Council_2020Mar26MinutesFINAL.pdf,final,
2020-05-28,Council,legislative/minutes/2020/2020-05-28_council.md,https://wfrc.utah.gov/Committees/Council/2020/2020May28/Council_2020May28MinutesFINAL.pdf,final,
2020-08-27,Council,legislative/minutes/2020/2020-08-27_council.md,https://wfrc.utah.gov/Committees/Council/2020/2020Aug27/Council_2020Aug27MinutesFINAL.pdf,final,
2020-10-22,Council,legislative/minutes/2020/2020-10-22_council.md,https://wfrc.utah.gov/Committees/Council/2020/2020Oct22/Council_2020Oct22Minutesfinal.pdf,final,
2021-01-28,Council,legislative/minutes/2021/2021-01-28_council.md,https://wfrc.utah.gov/Committees/Council/2021/Council_2021Jan28MinutesFINAL.pdf,final,
2021-03-25,Council,legislative/minutes/2021/2021-03-25_council.md,https://wfrc.utah.gov/Committees/Council/2021/02_Mar25/Council_2021Mar25MinutesFINAL.pdf,final,
2021-05-27,Council,legislative/minutes/2021/2021-05-27_council.md,https://wfrc.utah.gov/Committees/Council/2021/03_May27/Council_202127May_MinutesFINAL.pdf,final,
2021-08-26,Council,legislative/minutes/2021/2021-08-26_council.md,https://wfrc.utah.gov/Committees/Council/2021/04_Aug26/Council_2021Aug26_MinutesFINAL.pdf,final,
2021-10-28,Council,legislative/minutes/2021/2021-10-28_council.md,https://wfrc.utah.gov/Committees/Council/2021/05_Oct28/Council_2021Oct28_MinutesFINAL.pdf,final,
2022-01-27,Council,legislative/minutes/2022/2022-01-27_council.md,https://wfrc.utah.gov/Committees/Council/2022/01_Jan27/Council_2022_Jan27MinutesFINAL.pdf,final,
2022-03-24,Council,legislative/minutes/2022/2022-03-24_council.md,https://wfrc.utah.gov/Committees/Council/2022/02_Mar24/Council_2022_Mar24MinutesFINAL.pdf,final,
2022-05-26,Council,legislative/minutes/2022/2022-05-26_council.md,https://wfrc.utah.gov/Committees/Council/2022/03_May26/Council_2022May26_MinutesFINAL.pdf,final,
2022-08-25,Council,legislative/minutes/2022/2022-08-25_council.md,https://wfrc.utah.gov/Committees/Council/2022/04_Aug25/Council_2022August25_MinutesFINAL.pdf,final,
2022-10-27,Council,legislative/minutes/2022/2022-10-27_council.md,https://wfrc.utah.gov/Committees/Council/2022/05_Oct27/Council_2022Oct27_MinutesFINAL.pdf,final,
2023-01-26,Council,legislative/minutes/2023/2023-01-26_council.md,https://wfrc.utah.gov/Committees/Council/2023/01_Jan26/Council_2023Jan26_MinutesDRAFT_wPublicAttendanceLists.pdf,draft,
2023-03-23,Council,legislative/minutes/2023/2023-03-23_council.md,https://wfrc.utah.gov/Committees/Council/2023/02_Mar23/Council_2023March23_MinutesFINAL.pdf,final,
