entity_a,relation,entity_b,confidence,note
slc,within,salt_lake_county,high,
sandy,within,salt_lake_county,high,
west_jordan,within,salt_lake_county,high,
west_valley,within,salt_lake_county,high,
south_jordan,within,salt_lake_county,high,
millcreek,within,salt_lake_county,high,
taylorsville,within,salt_lake_county,high,
murray,within,salt_lake_county,high,
herriman,within,salt_lake_county,high,
draper,within,salt_lake_county,high,primary county; SLCo administers Draper's city elections
riverton,within,salt_lake_county,high,
alta,within,salt_lake_county,high,
midvale,within,salt_lake_county,high,
cottonwood_heights,within,salt_lake_county,high,
holladay,within,salt_lake_county,high,
south_salt_lake,within,salt_lake_county,high,
bluffdale,within,salt_lake_county,high,primary county; SLCo administers Bluffdale's city elections
white_city,within,salt_lake_county,high,
kearns,within,salt_lake_county,high,
magna,within,salt_lake_county,high,
copperton,within,salt_lake_county,high,
emigration_canyon,within,salt_lake_county,high,
bluffdale,within,utah_county,low,small unpopulated Camp Williams portion in Utah County; no Utah-County-run Bluffdale city race
draper,within,utah_county,medium,small southern (Point of the Mountain / SunCrest) portion lies in Utah County; no Utah-County-run Draper city race
lehi,within,utah_county,high,
orem,within,utah_county,high,
provo,within,utah_county,high,
vineyard,within,utah_county,high,
logan,within,cache_county,high,
nephi,within,juab_county,high,
ogden,within,weber_county,high,
st_george,within,washington_county,high,
park_city,within,summit_county,high,primary county; a small portion straddles Wasatch County (second within edge added 2026-07-20)
park_city,within,wasatch_county,high,secondary county — small portion only; Summit is primary and runs Park City's canvass (see summit_county/elections/)
salt_lake_county,within,ut_state,high,
utah_county,within,ut_state,high,
weber_county,within,ut_state,high,
cache_county,within,ut_state,high,
summit_county,within,ut_state,high,
washington_county,within,ut_state,high,
juab_county,within,ut_state,high,
wasatch_county,within,ut_state,high,
wfrc_mpo,within,ut_state,high,
mag_mpo,within,ut_state,high,
salt_lake_county,member_of,wfrc_mpo,high,
weber_county,member_of,wfrc_mpo,high,
slc,member_of,wfrc_mpo,high,
sandy,member_of,wfrc_mpo,high,
west_jordan,member_of,wfrc_mpo,high,
west_valley,member_of,wfrc_mpo,high,
south_jordan,member_of,wfrc_mpo,high,
millcreek,member_of,wfrc_mpo,high,
taylorsville,member_of,wfrc_mpo,high,
murray,member_of,wfrc_mpo,high,
herriman,member_of,wfrc_mpo,high,
draper,member_of,wfrc_mpo,high,
riverton,member_of,wfrc_mpo,high,
alta,member_of,wfrc_mpo,high,
midvale,member_of,wfrc_mpo,high,
cottonwood_heights,member_of,wfrc_mpo,high,
holladay,member_of,wfrc_mpo,high,
south_salt_lake,member_of,wfrc_mpo,high,
bluffdale,member_of,wfrc_mpo,high,
white_city,member_of,wfrc_mpo,high,
kearns,member_of,wfrc_mpo,high,
magna,member_of,wfrc_mpo,high,
copperton,member_of,wfrc_mpo,high,
emigration_canyon,member_of,wfrc_mpo,high,
ogden,member_of,wfrc_mpo,high,
utah_county,member_of,mag_mpo,high,
lehi,member_of,mag_mpo,high,
orem,member_of,mag_mpo,high,
provo,member_of,mag_mpo,high,
vineyard,member_of,mag_mpo,high,
summit_county,member_of,mag_mpo,medium,MAG AOG region; MPO designation nuance for Snyderville Basin
wasatch_county,member_of,mag_mpo,high,MAG AOG region (Utah/Summit/Wasatch); NOT on the Utah-County-only MPO Board
park_city,member_of,mag_mpo,medium,MAG AOG region; MPO designation nuance
udot,member_of,wfrc_mpo,high,voting seat by WFRC charter (agency, not a member government)
uta,member_of,wfrc_mpo,high,voting trustee seat(s) by WFRC charter (agency, not a member government)
udot,within,ut_state,high,state executive agency
uta,within,ut_state,high,statutorily created transit district
