slug,name,level,state,dir,db_rel_path,fed_index,fips,portal,gov_form,notes,build_status
lehi,Lehi,city,ut,lehi_city_council,db/lehi.db,1,,Granicus,,,built
logan,Logan,city,ut,logan_city_council,db/civic.db,2,,Revize,,,built
nephi,Nephi,city,ut,nephi_city_council,db/civic.db,3,,CivicPlus,,,built
ogden,Ogden,city,ut,ogden_city_council,db/civic.db,4,,CivicPlus,,,built
orem,Orem,city,ut,orem_city_council,db/civic.db,5,,CivicClerk,,,built
park_city,Park City,city,ut,park_city_city_council,db/parkcity.db,6,,CivicClerk,,,built
provo,Provo,city,ut,provo_city_council,db/civic.db,7,,Hyland OnBase,,,built
sandy,Sandy,city,ut,sandy_city_council,db/sandy.db,8,,Legistar,,,built
slc,Salt Lake City,city,ut,slc_city_council,db/civic.db,9,,PrimeGov/Laserfiche,,,built
st_george,St. George,city,ut,st_george_city_council,db/civic.db,10,,Revize,,,built
vineyard,Vineyard,city,ut,vineyard_city_council,db/civic.db,11,,CivicClerk,,,built
west_jordan,West Jordan,city,ut,west_jordan_city_council,db/civic.db,12,,PrimeGov,,,built
west_valley,West Valley City,city,ut,west_valley_city_council,db/civic.db,13,,Hyland OnBase,,,built
south_jordan,South Jordan,city,ut,south_jordan_city_council,db/south_jordan.db,14,,CivicPlus,,,built
millcreek,Millcreek,city,ut,millcreek_city_council,db/millcreek.db,15,,CivicPlus AgendaCenter,,,built
taylorsville,Taylorsville,city,ut,taylorsville_city_council,db/taylorsville.db,16,,CivicEngage Central,,,built
murray,Murray,city,ut,murray_city_council,db/civic.db,17,,CivicPlus Archive,,,built
herriman,Herriman,city,ut,herriman_city_council,db/civic.db,18,,PrimeGov,,,built
draper,Draper,city,ut,draper_city_council,db/civic.db,19,,Granicus,,"5 at-large council + non-voting mayor; straddles Salt Lake (primary) + Utah counties, SLCo administers city elections",built
riverton,Riverton,city,ut,riverton_city_council,db/civic.db,20,,Granicus/PMN,,5 districts + non-voting mayor (Park City tie-break model); 2022 Ord 22-07 renumbered D3<->D4,built
alta,Alta,city,ut,alta_city_council,db/civic.db,21,,PMN,town,Town of Alta (~380 pop); 4 at-large council + VOTING mayor (max tally 5); minutes via Utah PMN,built
midvale,Midvale,city,ut,midvale_city_council,db/civic.db,22,,Revize,,"5 districts + six-member-form mayor (votes only on ties, max ordinary 5); in-session RDA; 2020-21 council minutes scanned (OCR)",built
cottonwood_heights,Cottonwood Heights,city,ut,cottonwood_heights_city_council,db/civic.db,23,,Granicus/PMN,,4 districts + VOTING mayor (max 5); in-session CDRA; incorporated 2005; decayed portal backfilled from PMN,built
holladay,Holladay,city,ut,holladay_city_council,db/civic.db,24,,PMN,council-manager,"5 districts + VOTING mayor (Council-Manager, max 6); in-session RDA + LBA; minutes via Utah PMN",built
south_salt_lake,South Salt Lake,city,ut,south_salt_lake_city_council,db/civic.db,25,,PMN,strong-mayor,"5 districts + 2 at-large council + non-voting exec mayor (max 7); separate RDA (PMN body 1296); 119 recorded minutes 2022-2026 recovered 2026-07-16 (agendacenter_minutes provenance); residual ~214 genuinely-unpublished dates, mostly work meetings",built
bluffdale,Bluffdale,city,ut,bluffdale_city_council,db/civic.db,26,,CivicPlus,,"5 at-large council + mayor non-voting in Council (max 5, 2 tie-breaks) but VOTES as Chair in in-session RDA/LBA (max 6); straddles Salt Lake (primary) + Utah (Camp Williams, unpopulated) counties; 2020-21 minutes partly scanned (OCR)",built
white_city,White City,city,ut,white_city_city_council,db/civic.db,27,,Streamline/PMN,township-to-city,metro township 2017-2024 -> CITY 2024 (HB35); 5 at-large seats + voting Chair/Mayor (max 5); own PC publishes no minutes; minutes via Streamline + PMN body 5805; floor 2017,built
kearns,Kearns,city,ut,kearns_city_council,db/civic.db,28,,PMN,township-to-city,metro township 2017-2024 -> CITY 2024 (HB35); city-era mayor VOTES (max 5) + 4 districts; own MSD-staffed PC (PMN 1561); township council 2017-2023 audio-only (no written minutes); minutes via PMN body 5823; floor 2017,built
magna,Magna,city,ut,magna_city_council,db/civic.db,29,,CivicPlus/PMN,township-to-city,metro township 2017-2024 -> CITY 2024 (HB35); 5 districts; township-era Chair(titled Mayor) VOTES but 2026+ exec Mayor Sudbury does NOT (max 5); in-recess CRA; own MSD-staffed PC (PMN 1559); 2017-mid2018 minutes 404-unrecoverable; floor 2017,built
copperton,Copperton,city,ut,copperton_city_council,db/civic.db,30,,GoDaddy/PMN,township-to-town,"metro township 2017-2024 -> TOWN 2024 (HB35); ~800 pop; 5 at-large seats + VOTING mayor/chair (max 5); own PC (PMN 1560, mostly cancelled); minutes GoDaddy (2023+) + PMN 5831 (2018+); 2017-mid2018 404-purged; floor 2017",built
emigration_canyon,Emigration Canyon,city,ut,emigration_canyon_city_council,db/civic.db,31,,PMN,township-to-city,"metro township 2017-2024 -> CITY 2024 (HB35); ~1.6k pop; 5 at-large seats incl. peer-selected VOTING mayor (Smolka->Brems, Millcreek pattern, max 5); own PC (PMN 1562); minutes via PMN body 5809; 2017 404-purged (coverage from 2018-10); floor 2017",built
salt_lake_county,Salt Lake County,county,ut,salt_lake_county,db/salt_lake_county.db,101,49035,Legistar (slco),council-mayor,County Council (9) + elected Mayor,built
utah_county,Utah County,county,ut,utah_county,db/utah_county.db,102,49049,Custom Next.js/PMN,commission,"Board of Commissioners (3; expansion to 5 debated); built 2026-07-20 (FULL tier): 4 bodies incl. PC + Housing Authority; named full rolls 2015-2019, tally-primary 2020+ (dissent nameable; extractor repair 2026-07-25)",built
weber_county,Weber County,county,ut,weber_county,db/weber_county.db,103,49057,Self-hosted Transparency,commission,"Board of Commissioners (3); built 2026-07-20 (MID tier): NAMED-primary minutes (99.6% named rolls 2015+, depth to 2000); land_use FTS-only (PC consolidation seam 2025-12-03, Ord 2025-27)",built
cache_county,Cache County,county,ut,cache_county,db/cache_county.db,104,49005,Self-hosted CMS/PMN,council-executive,"County Council (7, full named rolls 2021+ born-digital; 2015-20 scanned tally-only) + elected Executive (non-voting); built 2026-07-20 (MID tier); PC tally->named seam 2024-11-07",built
summit_county,Summit County,county,ut,summit_county,db/summit_county.db,105,49043,Granicus/CivicPlus,council-manager,"County Council (6, tally-primary, no API) + Manager; built 2026-07-20 (MID tier): two PCs (Snyderville Basin + Eastern) + 571-app dev pipeline; council coverage 2023+ born-digital (2015-22 scanned ledger)",built
washington_county,Washington County,county,ut,washington_county,,106,49053,County-hosted/PMN,commission,"Board of Commissioners (3); built 2026-07-20 (LIGHT+ tier, db-less): elections canonical 2018-2025 + minutes FTS corpora (82% OCR) + plans/ordinances/gis; vote layer + dev pipeline explicitly deferred",built_dbless
juab_county,Juab County,county,ut,juab_county,,107,49023,WordPress/PMN,commission,"Board of Commissioners (3); built 2026-07-20 (CHEAP-ONLY tier, db-less): elections canonical 2023-2026 (3 official channels; 2019/2021 municipal = honest gap) + projections + thin GIS catalog",built_dbless
wasatch_county,Wasatch County,county,ut,wasatch_county,,108,49051,,council-manager,Wasatch County Council (7) + Manager; REGISTERED-ONLY 2026-07-20 (Phase 6) to carry Park City's 2nd within edge; no build yet — backlog with the remaining 22 counties,registered_only
wfrc_mpo,Wasatch Front Regional Council,regional,ut,wfrc_mpo,db/wfrc_mpo.db,201,,wfrc.utah.gov site,mpo,"MPO/regional council — Salt Lake/Davis/Weber/Morgan + part Box Elder; built 2026-07-20 (DATA-FORWARD): regional_project (8 TIP vintages + RTP-2050) + city-area projections annual 2019-2050 + Wasatch Choice GIS; Council motions 2016+ tally-only (mover/seconder named, dissent count-only — vote table empty by source)",built
mag_mpo,Mountainland Association of Governments,regional,ut,mag_mpo,db/mag_mpo.db,202,,magutah.gov static tree,aog-mpo,AOG (Utah/Summit/Wasatch); Provo-Orem urbanized-area MPO; built 2026-07-20 (DATA-FORWARD): regional_project (TIP/RTP/RPO) + city-grain projections + Housing Unit Inventory/Wasatch Choice GIS; MPO Board+TAC minutes 2014+ tally-only (no roll call ever); MPO Board is UTAH-COUNTY-only (summit/park_city = AOG/RPO side),built
ut_state,State of Utah,state,ut,ut_state,db/ut_state.db,301,49,le.utah.gov public,legislature-executive,"State of Utah — Legislature + executive agencies; built 2026-07-20: land-use/housing bill subset 2015-2026 (264 bills, 1,208 roll calls, 27,887 NAMED legislator votes via the public le.utah.gov channel; legislators = disjoint person population) + ~307 Ombudsman advisory opinions + LUDMA statutes (2025 recodification: 10-9a→10-20, 17-27a→17-79) + state-grain Gardner projections",built
udot,Utah Department of Transportation,state,ut,udot,,302,,udot.utah.gov,state-agency,REGISTERED-ONLY 2026-07-22 (WFRC-native package Phase 1) — state transportation agency; holds a voting WFRC Council seat; owns ePM/PIN project system + STIP that regional TIP rows key to (see wfrc_mpo/projects/SOURCES.md); no build planned — reference entity only,registered_only
uta,Utah Transit Authority,state,ut,uta,,303,,rideuta.com,transit-district,"REGISTERED-ONLY 2026-07-22 (WFRC-native package Phase 1) — large public transit district (special district, statutorily created); holds voting WFRC Council seat(s); operates the fixed-guideway network behind HB462 station-area certifications; no build planned — reference entity only",registered_only
