election_year,candidate,resolved_as,office_source,channel,source_url,bytes,sha256,listing_label,note
2020,Bob Webster,school,filing text (Office field),county_api,https://api.utahcounty.gov/cms/elections/uploads/Webster_Bob_143a609a0f.pdf,1086335,46d8d2af54f2e111323b24dee3f96647329751ba342e6ca51356627823faced2,30 Days after General,
2020,Bob Webster,school,filing text (Office field),county_api,https://api.utahcounty.gov/cms/elections/uploads/Webster_Robert_Redacted_18cba7e1c7.pdf,1164291,2dce5d87c235d59f6f6ff4cbca1dd4eccaea56a3aee34b41d5321d220bb72d7f,General,
2020,Shauna Warnick,school,filing text (Office field),county_2020_page,https://www.utahcounty.gov/apps/WebLink/Dept/CLERKAUD/WarnickShauna_Redacted.pdf,1584306,60dafc0f9ab984cbb0fbeef737dd0ce625dd3794ed7ad34de72502ed5a76900b,Shauna Warnick - 10/27/2020,
2020,Shauna Warnick,school,county canvass (contest class),county_2020_page,https://www.utahcounty.gov/apps/WebLink/Dept/CLERKAUD/WarnickShauna.pdf,1002179,ddff3c5ba5ba10b77421d254efcb42eaf529fd3442bb81fdb32b7e6e844fa7e8,Shauna Warnick - 12/3/2020 -,resolved as a LOCAL/STATE SCHOOL BOARD filer by the county canvass
2022,Ada Wilson,school,county canvass (contest class),county_api,https://api.utahcounty.gov/cms/elections/uploads/Ada_Wilson_c47fe49f42.pdf,270854,0021b2275770238ddffe9d41f97e2066377b5f0053588cc5d3e3b53f23cd04ca,Primary,resolved as a LOCAL/STATE SCHOOL BOARD filer by the county canvass
2022,Ada Wilson,school,county canvass (contest class),county_api,https://api.utahcounty.gov/cms/elections/uploads/Wilson_Ada_11_1_22_62687e3f5f.pdf,280745,62e9827de0c74881d71f39ff5dc58d445684dade3dfaa632cf56fd9d458beb23,General,resolved as a LOCAL/STATE SCHOOL BOARD filer by the county canvass
2022,Ada Wilson,school,county canvass (contest class),county_api,https://api.utahcounty.gov/cms/elections/uploads/Wilson_Ada_17c7117f9c.pdf,180165,14ff925e3ace0705dca13a9a0673aa6b1c544ebebc33a3689844f5395a902e1b,Post General,resolved as a LOCAL/STATE SCHOOL BOARD filer by the county canvass
2022,Alan Hansen,school,county canvass (contest class),county_api,https://api.utahcounty.gov/cms/elections/uploads/Alan_Hansen_18b5069c6d.pdf,231355,41f9a84ce5c75bafa11c7395fac7564727438966e810e0fc4398f1f0794d67a6,Primary,resolved as a LOCAL/STATE SCHOOL BOARD filer by the county canvass
2022,Alan Hansen,school,county canvass (contest class),county_api,https://api.utahcounty.gov/cms/elections/uploads/Alan_Hansen_b76b7502b0.pdf,223682,7e0bda27078a551c6990e487984ab97430730216f478d41cc1ea91ccac75a162,Out in Primary,resolved as a LOCAL/STATE SCHOOL BOARD filer by the county canvass
2022,Amber Bonner,school,county canvass (contest class),county_api,https://api.utahcounty.gov/cms/elections/uploads/Amber_Bonner_bacca17eb5.pdf,501178,85d29f4b6fb5ed99b57e854a857431af65eb39edfcd0001a2e1a2dbc4f297de9,Primary,resolved as a LOCAL/STATE SCHOOL BOARD filer by the county canvass
