staging_file,path,office,confidence,evidence,added,candidate
134_Dayton05.18.20Redacted.pdf,,County Commission,medium,OCR of the form's Office field reads '= Utah Ounvy / Commssioner' (Utah County Commissioner); the SEAT is not printed and is NOT inferred,2026-08-01,
187_Cox_Hyrum_5.9.2022_Redacted.pdf,,County Sheriff,medium,the filing's Office block OCRs as 'Sherif' and the filer's own campaign email on the same form is vote@hyrumcoxforsheriff.com,2026-08-01,
188_Cox_Hyrum_11.1.22.pdf,,County Sheriff,medium,same filer/cycle; Office block OCRs 'Sherif eet' beside the email vote@hyrumcoxforsheriff.com,2026-08-01,
273_Williams_Taylor_4.1.2022_Redacted.pdf,,County Auditor,medium,Office field reads 'Auditor'; the email printed in the same block is Auditor@TaylorWilliams.vote,2026-08-01,
274_Williams_Taylor_5.9.2022_Redacted.pdf,,County Auditor,medium,Office field reads 'Auditor'; email Auditor@TaylorWilliams.vote,2026-08-01,
209_Graves_Greg_4.11.2022_Redacted.pdf,,County Commission,low,"Office field OCRs as '[rmmissin Seat 6%' — 'Commission Seat' is legible, the SEAT LETTER is not, so the seat is left unresolved",2026-08-01,
253_Krysta_Cordner.pdf,,__school__,medium,"Office field reads 'Provo Schoo| Board' — a LOCAL SCHOOL BOARD filer, out of Package-B scope",2026-08-01,
,raw/2008/2008_CountyCommissionSeatC-EllertsonLarryAlton-061608.pdf,County Commission Seat C,high,"RESOLVED 2026-08-01 by direct read of the filing at 250dpi: the Office Seeking line is legible and reads 'Utah County Commission Seat (c)'. This closes the CLAUDE.md 'seat unresolved' case: the county's own PDF filename (CountyCommissionSeatC-) agrees with the filer's hand; the only source saying Seat B is the Wayback listing accordion heading, which is a portal LABEL (portal labels lie). Corroborated by the same filer's 2008 year-end filing, which prints the same seat.  || CANDIDATE CELL FILLED 2026-08-19: candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/e73afe36.json reads candidate_printed='Larry Alton Ellertson', office_printed='Utah County Commission Seat (C)'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-01,Larry Alton Ellertson
,raw/2008/2008_LarryEllertson2008YearEnd.pdf,County Commission Seat C,high,"Office Seeking line reads 'Utah County Commission Seat (C)'. Same filer/cycle as the 06/16/08 filing, which prints the same seat; index previously carried Seat B from the Wayback listing heading only.  || CANDIDATE CELL FILLED 2026-08-19: candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/0380fd89.json reads candidate_printed='Larry Alton Ellertson', office_printed='Utah County Commission Seat (C)'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-01,Larry Alton Ellertson
,raw/2020/2020_Forbush4.23.20Redacted.pdf,County Commission Seat C,high,Office field reads 'Utah County Commission Seat C' (born-digital text filing). Was office-unresolved.,2026-08-01,
