role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,5,2020-01-02,2026-06-03,406
2,2,5,2020-01-02,2025-07-16,393
3,3,5,2020-01-02,2026-06-03,217
4,4,5,2020-01-02,2026-06-03,429
5,5,5,2020-03-05,2022-08-04,6
6,6,1,2020-02-12,2021-11-10,10
7,6,2,2020-01-08,2021-12-08,212
8,6,4,2020-05-27,2021-06-09,4
9,7,5,2021-06-17,2026-06-03,327
10,8,1,2020-02-12,2021-11-10,10
11,8,2,2020-01-08,2021-12-08,212
12,8,4,2020-05-27,2021-06-09,4
13,9,5,2021-06-17,2026-06-03,230
14,10,5,2020-01-02,2026-06-03,393
15,11,5,2020-01-02,2026-06-03,413
16,12,1,2020-02-12,2025-06-25,22
17,12,2,2020-01-08,2026-05-27,698
18,12,3,2022-01-26,2026-03-25,14
19,12,4,2020-05-27,2025-08-27,14
20,13,5,2020-04-02,2021-05-20,40
21,14,1,2022-01-26,2025-06-25,12
22,14,2,2022-01-12,2026-05-27,486
23,14,3,2022-01-26,2026-03-25,14
24,14,4,2022-05-11,2025-08-27,10
25,14,5,2020-02-20,2021-11-04,131
26,15,5,2020-08-20,2020-12-03,5
27,16,2,2026-01-14,2026-05-27,51
28,16,3,2026-03-25,2026-03-25,1
29,17,4,2020-05-27,2020-05-27,1
30,19,5,2023-03-15,2026-06-03,151
31,20,1,2020-02-12,2025-06-25,22
32,20,2,2020-01-08,2025-12-10,647
33,20,3,2022-01-26,2025-08-27,13
34,20,4,2020-05-27,2025-08-27,14
35,21,1,2020-02-12,2025-04-09,20
36,21,2,2020-01-08,2025-04-23,562
37,21,3,2022-01-26,2024-06-12,9
38,21,4,2020-06-10,2024-12-11,8
39,22,1,2022-01-26,2025-06-25,12
40,22,2,2022-01-12,2026-05-27,486
41,22,3,2022-01-26,2026-03-25,14
42,22,4,2022-05-11,2025-08-27,10
43,23,1,2025-06-25,2025-06-25,2
44,23,2,2025-05-28,2026-05-27,127
45,23,3,2025-06-11,2026-03-25,5
46,23,4,2025-06-11,2025-08-27,5
47,23,5,2023-02-01,2025-04-16,81
