motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,2,1,that the City Council temporarily adjourn the Work Session at 7:29 p.m,Procedural/Administrative,The motion carried with unanimous consent of the Council,Pass,council_vote,,procedural,keyword,high,,,,20,12,0,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
2,1,2,2,"extend the City Council Meeting into January 9, 2020 at 11:58 p.m",Other,The motion passed with unanimous consent of the Council,Pass,council_vote,,,unclassified,low,,,,20,21,0,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
3,1,2,3,"temporarily recess the City Council work meeting to convene in a Closed Session to discuss the character, professional competence, or physical or mental health of an individual and the purchase, exchange, or lease of real property, as provided by Utah Code Annotated §52-4-205 at 12:13 a.m",Procedural/Administrative,The motion passed unanimously,Pass,council_vote,,procedural,keyword,high,,,,20,20,1,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
4,1,2,4,adjourn the work meeting at 1:16 a.m,Procedural/Administrative,passed (all voted aye),Pass,council_vote,,procedural,keyword,high,,,,6,20,0,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
5,1,2,5,approve resolution No. R01-2020 nominating Councilmember Jared Henderson as the Mayor Pro Tempore for 2020,Appointment,The motion passed with a vote 3:2,Pass,council_vote,,approve,keyword,high,,,,20,21,1,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
6,1,2,6,close the public hearing,Public Hearing Action,The motion carried with unanimous consent of the Council,Pass,council_vote,,procedural,keyword,medium,,,,12,6,0,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
7,1,2,7,approve Ordinance No. 01-2020 adopting the “2019 Water Conservation Plan” by reference; providing for repeal of conflicting ordinances; and providing for an effective date,Ordinance,The motion passed unanimously,Pass,council_vote,,approve,keyword,high,,,,20,21,1,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
8,1,2,8,close the public hearing,Public Hearing Action,The motion passed with unanimous consent of the Council,Pass,council_vote,,procedural,keyword,medium,,,,6,20,0,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
9,1,2,9,"approve Ordinance No. 02-2020 adopting the parks Master Plan with the following amendments: replace “Nicole Martin” with “Steven Shields” for District 4 on the acknowledgements page and increase the acres of open space on page 56 to 2,417",Land-Use/Zoning,The motion passed unanimously,Pass,council_vote,,approve,keyword,high,1,singleton,high,6,12,1,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
10,1,2,10,close the public hearing,Public Hearing Action,The motion passed with unanimous consent of the Council,Pass,council_vote,,procedural,keyword,medium,,,,20,12,0,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
11,1,2,11,approve the Consent Agenda as written,Procedural/Administrative,The motion passed unanimously,Pass,council_vote,,procedural,keyword,high,,,,6,12,1,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
12,1,2,12,approve Ordinance No. 03-2020 approving the first amendment to the Master Development Agreement for Anthem Commercial Project,Land-Use/Zoning,The motion passed unanimously,Pass,council_vote,,approve,keyword,high,2,singleton,high,12,6,1,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
13,1,2,13,"approve Resolution No R02-2020 approving and authorizing the execution of an Interlocal Cooperative Agreement with the Unified Fire Authority to revise and restate the creation and governance of the Unified Fire Authority with the inclusion to authorize the authority to the City Manager and City Attorney to make minor, non-substantive, changes to the document",Interlocal,The motion passed unanimously,Pass,council_vote,,approve,keyword,high,,,,6,20,1,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
14,1,2,14,adjourn the regular City Council meeting at 8:53 p.m,Procedural/Administrative,The motion passed with unanimous consent of the Council,Pass,council_vote,,procedural,keyword,high,,,,20,6,0,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,minutes
15,2,2,1,temporarily recess the City Council work meeting at 5:06 p.m,Procedural/Administrative,passed (all voted aye),Pass,council_vote,,procedural,keyword,high,,,,21,20,0,minutes/2020/2020-01-13/2020-01-15_city-council-meeting.md,minutes
16,2,2,2,temporarily recess the City Council work meeting at 7:17 p.m,Procedural/Administrative,passed (all voted aye),Pass,council_vote,,procedural,keyword,high,,,,21,12,0,minutes/2020/2020-01-13/2020-01-15_city-council-meeting.md,minutes
17,2,2,3,adjourn the City Council work meeting at 8:47 p.m,Procedural/Administrative,passed (all voted aye),Pass,council_vote,,procedural,keyword,high,,,,21,6,0,minutes/2020/2020-01-13/2020-01-15_city-council-meeting.md,minutes
18,3,2,1,adjourn the work meeting to convene in the general meeting at 7:37 p.m,Procedural/Administrative,passed (all voted aye),Pass,council_vote,,procedural,keyword,high,,,,20,21,0,minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,minutes
19,3,2,2,"temporarily recess the City Council work meeting to convene in a closed session to discuss pending or imminent litigation and the purchase, exchange, or lease of real property, as provided by Utah Code Annotated §52-4-205",Procedural/Administrative,The motion passed unanimously with Mayor David Watts being absent,Pass,council_vote,,procedural,keyword,high,,,,20,21,1,minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,minutes
20,3,2,3,adjourn the work meeting at 10:30 p.m,Procedural/Administrative,passed (all voted aye),Pass,council_vote,,procedural,keyword,high,,,,20,21,0,minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,minutes
21,3,2,4,approve the Consent Agenda as written,Procedural/Administrative,The motion passed unanimously with Councilmember Clint Smith and Mayor David Watts being absent,Pass,council_vote,,procedural,keyword,high,,,,21,20,1,minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,minutes
