path,url,indexed_candidate,candidate,confidence,evidence,determined_by,determined_date
raw/wayback_forms2018/Jan 4 2019_Cory C Pulsipher_Final FCR_01-07-2019.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 4 2019_Cory C Pulsipher_Final FCR_01-07-2019.pdf,p,Cory Clarke Pulsipher,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Cory Clarke Pulsipher'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/state_disclosures/washington_2010 Elections_Cory Pulsipher 4-6-10.pdf,http://municipal.utah.gov/washington\2010 Elections\Cory Pulsipher 4-6-10.pdf,Cosy Cocke Oulsiaher —,Cory Clarke Pulsipher,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Cory Clarke Pulsipher'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/Oct 29_Cory C Pulsipher_FCR_10-30-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Oct 29_Cory C Pulsipher_FCR_10-30-2018.pdf,C,Cory Clarke Pulsipher,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Cory Clarke Pulsipher'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/Jan 7 2019_Brock R Belnap_Final FCR_01-09-2019.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 7 2019_Brock R Belnap_Final FCR_01-09-2019.pdf,& rock & be LA a P,Brock R Belnap,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Brock R Belnap'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/Dec 10_Robert E Ford_FCR_12-14-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Dec 10_Robert E Ford_FCR_12-14-2018.pdf,‘a ad,Robert E. Ford,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Robert E. Ford'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2016/Greg Aldred 10_26_2016 FCR_11-05-2016.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Greg Aldred 10_26_2016 FCR_11-05-2016.pdf,— .— Wier: Alber en ee,Greg Aldred,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Greg Aldred'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/state_disclosures/washington_2010 Elections_Denny Drake 4-5-10.pdf,http://municipal.utah.gov/washington\2010 Elections\Denny Drake 4-5-10.pdf,en 13 uUce Den é & ee,Dennis Bruce Drake,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Dennis Bruce Drake'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/state_disclosures/washington_2010 Elections_James Eardley 4-9-10.pdf,http://municipal.utah.gov/washington\2010 Elections\James Eardley 4-9-10.pdf,“A G4 G9 2 Bh he,James Eardley,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'James Eardley'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2016/Josh Warburton 11_1_2016 FCR_11-05-2016.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Josh Warburton 11_1_2016 FCR_11-05-2016.pdf,Doshea £1 imal Warbetten,Joshua Elijah Warburton,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Joshua Elijah Warburton'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/state_disclosures/washington_2010 Elections_Arlin Hughes 4-9-10.pdf,http://municipal.utah.gov/washington\2010 Elections\Arlin Hughes 4-9-10.pdf,——Aelig ——S. ——Haghet,Arlin S. Hughes,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Arlin S. Hughes'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2020/Commission Seat C_Dean J_06-15-2020. Cox_June 23 2020 FCR.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Commission Seat C_Dean J_06-15-2020. Cox_June 23 2020 FCR,Dean J. ° (4 xX,Dean J. Cox,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Dean J. Cox'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2020/Treasurer_David Whitehead_October 21 2020_10-21-2020.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Treasurer_David Whitehead_October 21 2020_10-21-2020.pdf,"D A v 1 9) wh, TERE AD",David Whitehead,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'David Whitehead'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2020/Recorder_Gary L_10-28-2020. Christensen_October 23 2020.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Recorder_Gary L_10-28-2020. Christensen_October 23 2020,4 VA Cane a,Gary L. Christensen,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Gary L. Christensen'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/state_disclosures/washington_2010 Elections_david whitehead 4-7-10.pdf,http://municipal.utah.gov/washington\2010 Elections\david whitehead 4-7-10.pdf,DAvID wai TENEAO,David Whitehead,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'David Whitehead'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/June 13_Robert E Ford_FCR_06-13-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 13_Robert E Ford_FCR_06-13-2018.pdf,Ro lh er f f z Fo c£ d,Robert E. Ford,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Robert E. Ford'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
