channel,raw_path,text_path,format,extraction_method,bytes,text_chars
live_outpost,raw/live_outpost/06-04-2024-Cynthia Shields-Local School 3-FINAL_06-07-2024.pdf,text/live_outpost__06-04-2024-Cynthia Shields-Local School 3-FINAL_06-07-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",54716,939
live_outpost,raw/live_outpost/06-12-2024-Gary L_06-13-2024. Christensen-Recorder.pdf,text/live_outpost__06-12-2024-Gary L_06-13-2024. Christensen-Recorder.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",175928,991
live_outpost,raw/live_outpost/06-12-2024_Ryan Sullivan-County Clerk_Auditor_06-13-2024.pdf,text/live_outpost__06-12-2024_Ryan Sullivan-County Clerk_Auditor_06-13-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",162509,920
live_outpost,raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,text/live_outpost__06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",191322,1228
live_outpost,raw/live_outpost/06-14-2024-Ron Wade_Local School Board 3_06-15-2024.pdf,text/live_outpost__06-14-2024-Ron Wade_Local School Board 3_06-15-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",81814,1020
live_outpost,raw/live_outpost/06-14-2024-Tom Durrant_Assessor_06-15-2024.pdf,text/live_outpost__06-14-2024-Tom Durrant_Assessor_06-15-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",41987,1015
live_outpost,raw/live_outpost/06-18-2024-Adam Snow-Commission C_06-20-2024.pdf,text/live_outpost__06-18-2024-Adam Snow-Commission C_06-20-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",86951,1066
live_outpost,raw/live_outpost/06-18-2024-Craig Seegmiller-Local School 2_06-20-2024.pdf,text/live_outpost__06-18-2024-Craig Seegmiller-Local School 2_06-20-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",105709,1022
live_outpost,raw/live_outpost/06-18-2024-David Whitehead-Treasurer_06-20-2024.pdf,text/live_outpost__06-18-2024-David Whitehead-Treasurer_06-20-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",65899,1115
live_outpost,raw/live_outpost/06-18-2024-Larry Meyers-Local School 1_06-20-2024.pdf,text/live_outpost__06-18-2024-Larry Meyers-Local School 1_06-20-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",161603,1207
live_outpost,raw/live_outpost/06-18-2024_Heidi Gunn-Local School 1_06-20-2024.pdf,text/live_outpost__06-18-2024_Heidi Gunn-Local School 1_06-20-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",101467,1162
live_outpost,raw/live_outpost/Adam Snow - Commission Seat C-Final_01-06-2025.pdf,text/live_outpost__Adam Snow - Commission Seat C-Final_01-06-2025.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",227925,1500
live_outpost,raw/live_outpost/Adam Snow _ Commsssion Seat C_FCR_10-29-2024.pdf,text/live_outpost__Adam Snow _ Commsssion Seat C_FCR_10-29-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",1039443,1307
live_outpost,raw/live_outpost/Chuck Goode_Commission Seat C_FCR_10-30-2024.pdf,text/live_outpost__Chuck Goode_Commission Seat C_FCR_10-30-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",1953307,1437
live_outpost,raw/live_outpost/Chuck Goode_Commission Seat C_Final_01-14-2025.pdf,text/live_outpost__Chuck Goode_Commission Seat C_Final_01-14-2025.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",73481,1346
live_outpost,raw/live_outpost/Craig Seegmiller_Local School 2_FCR_10-26-2024.pdf,text/live_outpost__Craig Seegmiller_Local School 2_FCR_10-26-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",1115043,1032
live_outpost,raw/live_outpost/Craig Seegmiller_Local School 2_FINAL_12-07-2024.pdf,text/live_outpost__Craig Seegmiller_Local School 2_FINAL_12-07-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",111805,1022
live_outpost,raw/live_outpost/David Whitehead_Treasurer_FCR_10-26-2024.pdf,text/live_outpost__David Whitehead_Treasurer_FCR_10-26-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",1106935,1049
live_outpost,raw/live_outpost/David Whitehead_Treasurer_Final_01-08-2025.pdf,text/live_outpost__David Whitehead_Treasurer_Final_01-08-2025.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",86883,1049
live_outpost,raw/live_outpost/Gary L_01-08-2025. Christensen_Recorder_Final.pdf,text/live_outpost__Gary L_01-08-2025. Christensen_Recorder_Final.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",70622,915
live_outpost,raw/live_outpost/Hedi Gunn_Local School 1_Final_01-06-2025.pdf,text/live_outpost__Hedi Gunn_Local School 1_Final_01-06-2025.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",87907,1218
live_outpost,raw/live_outpost/Heidi Gunn_Local School 1_FCR_10-26-2024.pdf,text/live_outpost__Heidi Gunn_Local School 1_FCR_10-26-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",1394077,1090
live_outpost,raw/live_outpost/Larry Meyers_Local School 1_FCR_10-26-2024.pdf,text/live_outpost__Larry Meyers_Local School 1_FCR_10-26-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",1646434,1239
live_outpost,raw/live_outpost/Larry Meyers_Local School 1_Final_01-08-2025.pdf,text/live_outpost__Larry Meyers_Local School 1_Final_01-08-2025.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",109736,1176
live_outpost,raw/live_outpost/Ron Wade_Local School 3_FCR_10-29-2024.pdf,text/live_outpost__Ron Wade_Local School 3_FCR_10-29-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",1020169,974
live_outpost,raw/live_outpost/Ron Wade_Local School 3_FINALpdf_12-12-2024.pdf,text/live_outpost__Ron Wade_Local School 3_FINALpdf_12-12-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",46241,940
live_outpost,raw/live_outpost/Ryan Sullivan_ClerkAuditor-FCR_10-29-2024.pdf,text/live_outpost__Ryan Sullivan_ClerkAuditor-FCR_10-29-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",1011083,1097
live_outpost,raw/live_outpost/Ryan Sullivan_ClerkAuditor_FINAL_12-12-2024.pdf,text/live_outpost__Ryan Sullivan_ClerkAuditor_FINAL_12-12-2024.txt,text,pdftotext -layout,122577,118
live_outpost,raw/live_outpost/Tom Durrant_Assessor_FCR_10-26-2024.pdf,text/live_outpost__Tom Durrant_Assessor_FCR_10-26-2024.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",952929,1099
live_wp,raw/live_wp/2006-David-Whitehead.pdf,text/live_wp__2006-David-Whitehead.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",107960,1671
live_wp,raw/live_wp/2010-David-Whitehead.pdf,text/live_wp__2010-David-Whitehead.txt,text,pdftotext -layout,230767,1633
live_wp,raw/live_wp/2011-David-Whitehead.pdf,text/live_wp__2011-David-Whitehead.txt,text,pdftotext -layout,98663,599
live_wp,raw/live_wp/2012-2013-Craig-Seegmiller.pdf,text/live_wp__2012-2013-Craig-Seegmiller.txt,text,pdftotext -layout,1206735,679
live_wp,raw/live_wp/2014-David-Whitehead.pdf,text/live_wp__2014-David-Whitehead.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",489373,5215
live_wp,raw/live_wp/2014-Tom-Durrant.pdf,text/live_wp__2014-Tom-Durrant.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",417218,6095
live_wp,raw/live_wp/2014-Victor-Iverson.pdf,text/live_wp__2014-Victor-Iverson.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",328975,5526
live_wp,raw/live_wp/2016-Craig-Seegmiller.pdf,text/live_wp__2016-Craig-Seegmiller.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",215310,2320
live_wp,raw/live_wp/2016-Gil-Almquist.pdf,text/live_wp__2016-Gil-Almquist.txt,text,pdftotext -layout,142125,5617
live_wp,raw/live_wp/2018-Gil-Almquist.pdf,text/live_wp__2018-Gil-Almquist.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",511281,7182
live_wp,raw/live_wp/2018-LaRene-Cox.pdf,text/live_wp__2018-LaRene-Cox.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",310107,3865
live_wp,raw/live_wp/2018-Victor-Iverson.pdf,text/live_wp__2018-Victor-Iverson.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",283289,2749
live_wp,raw/live_wp/2020-Craig-Seegmiller.pdf,text/live_wp__2020-Craig-Seegmiller.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",601778,4530
live_wp,raw/live_wp/2020-David-Whitehead.pdf,text/live_wp__2020-David-Whitehead.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",241882,4342
live_wp,raw/live_wp/2020-Gary-Christensen.pdf,text/live_wp__2020-Gary-Christensen.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",1510315,5038
live_wp,raw/live_wp/2020-Tom-Durrant.pdf,text/live_wp__2020-Tom-Durrant.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",287317,4121
live_wp,raw/live_wp/2022-Adam-Snow.pdf,text/live_wp__2022-Adam-Snow.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",314866,2686
live_wp,raw/live_wp/2022-Burke-Staheli.pdf,text/live_wp__2022-Burke-Staheli.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",84968,1365
live_wp,raw/live_wp/2022-Gil-Almquist.pdf,text/live_wp__2022-Gil-Almquist.txt,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",288233,4037
live_wp,raw/live_wp/2022-LaRene-Cox.pdf,text/live_wp__2022-LaRene-Cox.txt,text,pdftotext -layout,157490,186
