candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry
GARY L. CHRISTENSEN,Recorder,,2024,2024-06-14,2-Jan-24..14-Jun-24,2024-01-02,Washington County,Washington County,Filing Fee,640.20,False,False,raw/live_outpost/06-12-2024-Gary L_06-13-2024. Christensen-Recorder.pdf,FILE|raw/live_outpost/06-12-2024-Gary L_06-13-2024. Christensen-Recorder.pdf,1,medium,vision/cover_form,0,"pct:66.44,26.23,25.32,3.09@p3"
RYAN SULLIVAN,Clerk/Auditor,,2024,2024-06-12,Jan-24..Jun-24,2024-01-02,Washington County,Washington County,Filing Fee,345.10,False,False,raw/live_outpost/06-12-2024_Ryan Sullivan-County Clerk_Auditor_06-13-2024.pdf,FILE|raw/live_outpost/06-12-2024_Ryan Sullivan-County Clerk_Auditor_06-13-2024.pdf,1,medium,vision/cover_form,0,"pct:66.53,27.41,25.24,2.00@p3"
CHUCK GOODE,Commission Seat C,,2024,2024-06-13,1-1-24..6-13-24,2024-01-08,Washington County Clerk,Washington County Clerk,Register To Run,640.02,False,False,raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,FILE|raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,1,medium,vision/cover_form,0,"pct:65.73,26.84,24.67,3.05@p3"
CHUCK GOODE,Commission Seat C,,2024,2024-06-13,1-1-24..6-13-24,,WIX Web Hosting,Wix Web Hosting,Advertising,14.95,False,False,raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,FILE|raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,2,medium,vision/cover_form,1,"pct:65.73,29.89,24.67,3.05@p3"
CHUCK GOODE,Commission Seat C,,2024,2024-06-13,1-1-24..6-13-24,,Campaign Partners,Campaign Partners,Website,29.00,False,False,raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,FILE|raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,3,medium,vision/cover_form,1,"pct:65.73,32.93,24.67,3.00@p3"
CHUCK GOODE,Commission Seat C,,2024,2024-06-13,1-1-24..6-13-24,,Breeze Database,Breeze Database,Advertising,72.00,False,False,raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,FILE|raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,4,low,vision/cover_form,1,"pct:65.73,35.93,24.67,3.02@p3"
CHUCK GOODE,Commission Seat C,,2024,2024-06-13,1-1-24..6-13-24,,Mountain America,Mountain America,Bank Fee,25.00,False,False,raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,FILE|raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,5,medium,vision/cover_form,1,"pct:65.73,38.96,24.67,3.02@p3"
CHUCK GOODE,Commission Seat C,,2024,2024-06-13,1-1-24..6-13-24,,WIX Monthly,Wix Monthly,Advertising,14.95,False,False,raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,FILE|raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,6,medium,vision/cover_form,1,"pct:65.73,44.98,24.67,3.02@p3"
CHUCK GOODE,Commission Seat C,,2024,2024-06-13,1-1-24..6-13-24,,Mountain America,Mountain America,Bank Fee,25.00,False,False,raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,FILE|raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,7,medium,vision/cover_form,1,"pct:65.73,48.00,24.67,3.02@p3"
CHUCK GOODE,Commission Seat C,,2024,2024-06-13,1-1-24..6-13-24,,Zoom Video,Zoom Video,Communications,17.07,False,False,raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,FILE|raw/live_outpost/06-13-2024-Chuck Goode-Commission Seat C_06-13-2024.pdf,8,medium,vision/cover_form,1,"pct:65.73,51.02,24.67,3.00@p3"
