url,channel,verdict,office,office_source,office_confidence,evidence,determined_by,determined_date
http://municipal.utah.gov/washington\2010 Elections\Cyril_noble-4-13-10.pdf,state_disclosures,out_of_scope_other,,document,high,"Name of Office: ""UTAH STATE HOUSE OF REPRESENTATIVES"", Office District 74, Political Party DEMOCRAT - a STATE LEGISLATIVE office on the county-clerk 17-16-6.5 form; not a county office",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
http://municipal.utah.gov/washington\2010 Elections\Greg Aldred 4-9-10 update.pdf,state_disclosures,county,Commission Seat A,document,high,"Name of Office: ""County Commissioner Seat A""; Office District ""Washington County""; Republican; dated 4-7-2010",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
http://municipal.utah.gov/washington\2010 Elections\James Eardley 4-9-10.pdf,state_disclosures,county,Commission Seat A,document,high,"Name of Office: ""County Commission Seat (a)""; Republican; dated 4-8-10",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
http://municipal.utah.gov/washington\2010 Elections\Robert Allen 5-15-10.pdf,state_disclosures,school_board,,document,high,"Office: ""Board of Education"" / Representative District #7 / Washington School District",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
http://municipal.utah.gov/washington\2010 Elections\Slade Hughes 4-6-10.pdf,state_disclosures,county,Commission Seat B,document,high,"Name of Office: ""County Commission Seat B""; Republican; dated 4-6-2010",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
http://municipal.utah.gov/washington\2010 Elections\calvin durfey 5-15-10.pdf,state_disclosures,school_board,,document,high,"Form header is the SCHOOL BOARD CANDIDATE FINANCIAL CAMPAIGN REPORT (20A-11-1301..1305); Representative District 4, Washington Co. School District",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
http://municipal.utah.gov/washington\2010 Elections\travis christiansen 5-15-10.pdf,state_disclosures,school_board,,document,high,"Office: ""Washington Co. School Board"" / Representative District 4",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
http://municipal.utah.gov/washington\2010 Elections\wes swaney 5-15-10.pdf,state_disclosures,school_board,,document,high,"Form header is the SCHOOL BOARD CANDIDATE FINANCIAL CAMPAIGN REPORT (20A-11-1301..1305); Office ""School Board"", District 6",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
http://www.washco.utah.gov/clerk/pdf/2010elections/Cal Durfey Candidate Summary.pdf,wayback_2010elections,school_board,,document,high,"Document header ""Local School Board Candidate""; Office column ""Local School Board"", District 4",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/2010elections/Dale Ure Candidate Summary.pdf,wayback_2010elections,school_board,,document,high,"Document header ""Local School Board Candidate""; Office ""Local School Board"", District 6",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/2010elections/Frank Lojko Candidate Summary.pdf,wayback_2010elections,school_board,,document,high,"Document header ""Local School Board Candidate""; Office ""Local School Board"", District 6",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/2010elections/Kelly Blake Candidate Summary.pdf,wayback_2010elections,school_board,,document,high,"Document header ""Local School Board Candidate""; Office ""Local School Board"", District 6",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/2010elections/Kyle Wells Candidate Summary.pdf,wayback_2010elections,school_board,,document,high,"Document header ""Local School Board Candidate""; Office ""Local School Board"", District 4",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/2010elections/Larry LeBaron Candidate Summary.pdf,wayback_2010elections,school_board,,document,high,"Document header ""Local School Board Candidate""; Office ""Local School Board"", District 6",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/2010elections/Robert E Allen Candidate Summary.pdf,wayback_2010elections,school_board,,document,high,"Document header ""Local School Board Candidate""; Office ""Local School Board"", District 7",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/2010elections/Wes Swaney Candidate Summary.pdf,wayback_2010elections,school_board,,document,high,"Document header ""Local School Board Candidate""; Office ""Local School Board"", District 6",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
