date,candidate,office,reporting_year,reporting_year_source,cycle_year,cycle_year_source,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,text_path,bytes,sha256,channel,source_archive,wayback_timestamp,fetch_url,doc_kind,posted_date,date_source,office_source,office_confidence,roster_match,document_office_raw,portal_office,document_candidate,candidate_source,label_conflict,cycle_parity_flag,needs_review,notes,alt_source_urls,n_identical_copies
,Gregory Aldred,Commission Seat C,,,,,,,,Expenditures - Gregory Aldred (Commission Seat C),http://www.washco.utah.gov/clerk/pdf/Gregory Aldred Expenditures.pdf,2026-08-01,text,pdftotext -layout,raw/wayback_clerkpdf2008/Gregory Aldred Expenditures.pdf,text/wayback_clerkpdf2008__Gregory Aldred Expenditures.txt,10915,d7b4125a1f92154916b8f0f46f835c56a2ee5d8a17f27463ec6da79aa7a5a795,wayback_clerkpdf2008,wayback,20090323201854,https://web.archive.org/web/20090323201854id_/http://www.washco.utah.gov/clerk/pdf/Gregory%20Aldred%20Expenditures.pdf,expenditures,,,person_roster,medium,GREGORY ALDRED @any,,,,roster_key(filename),,,1,,,1
,Gregory Aldred Contribution,Commission Seat C,,,,,,,,Statement - Gregory Aldred Contribution (Commission Seat C),http://www.washco.utah.gov/clerk/pdf/Gregory Aldred Contribution.pdf,2026-08-01,text,pdftotext -layout,raw/wayback_clerkpdf2008/Gregory Aldred Contribution.pdf,text/wayback_clerkpdf2008__Gregory Aldred Contribution.txt,9404,7d919706da826e6684fea2837d4ac7e3ae492f6239b95ef9f5dd2e2c5c2180d9,wayback_clerkpdf2008,wayback,20090323201839,https://web.archive.org/web/20090323201839id_/http://www.washco.utah.gov/clerk/pdf/Gregory%20Aldred%20Contribution.pdf,statement,,,person_roster,medium,GREGORY ALDRED @any,,,,filename_segment,,,1,,,1
2006,DAVID WHITEHEAD,Treasurer,2006,portal_year_label,2006,even_reporting_year,,annual,,"Statement - DAVID WHITEHEAD (Treasurer, 2006)",https://www.washco.utah.gov/wp-content/uploads/2026/05/2006-David-Whitehead.pdf,2026-08-01,scanned,"tesseract OCR (pdftoppm 200dpi, --psm 6)",raw/live_wp/2006-David-Whitehead.pdf,text/live_wp__2006-David-Whitehead.txt,107960,fe00a5248eb95c9ba0a9cb9e79bbad489bfa56047e2a31376f4d9220e9c3b4f6,live_wp,county_live,,https://www.washco.utah.gov/wp-content/uploads/2026/05/2006-David-Whitehead.pdf,statement,,reporting_year_only,portal_listing,medium,DAVID WHITEHEAD @any,“1 %GOSURER,TREASURER,DAV i p Alan Waisreinesd,portal_listing,,,1,,,1
2008,Alan Gardner,Commission Seat C,2008,filename,2008,even_reporting_year,,,,"Contributions - Alan Gardner (Commission Seat C, 2008)",http://www.washco.utah.gov/clerk/pdf/Alan Dean Gardner Contributions October 28 2008.pdf,2026-08-01,text,pdftotext -layout,raw/wayback_clerkpdf2008/Alan Dean Gardner Contributions October 28 2008.pdf,text/wayback_clerkpdf2008__Alan Dean Gardner Contributions October 28 2008.txt,14699,789c101b40c87ea38b35402bc140da2fd75df6b8b4e82d56e80e66c0230f08a0,wayback_clerkpdf2008,wayback,20090323201900,https://web.archive.org/web/20090323201900id_/http://www.washco.utah.gov/clerk/pdf/Alan%20Dean%20Gardner%20Contributions%20October%2028%202008.pdf,contributions,,reporting_year_only,person_roster,medium,ALAN GARDNER @2008,,,,roster_key(filename),,,1,,,1
2008,Alan Gardner,Commission Seat C,2008,filename,2008,even_reporting_year,,,,"Expenditures - Alan Gardner (Commission Seat C, 2008)",http://www.washco.utah.gov/clerk/pdf/Alan Dean Gardner Expenditures October 28 2008.pdf,2026-08-01,text,pdftotext -layout,raw/wayback_clerkpdf2008/Alan Dean Gardner Expenditures October 28 2008.pdf,text/wayback_clerkpdf2008__Alan Dean Gardner Expenditures October 28 2008.txt,15549,c9bc2950d84fa50bab37903f5e325cb9fb9a8a1eba9e3fceeacb429c646e56e8,wayback_clerkpdf2008,wayback,20090323201835,https://web.archive.org/web/20090323201835id_/http://www.washco.utah.gov/clerk/pdf/Alan%20Dean%20Gardner%20Expenditures%20October%2028%202008.pdf,expenditures,,reporting_year_only,person_roster,medium,ALAN GARDNER @2008,,,,roster_key(filename),,,1,,,1
2008,Lin Alder,Commission Seat C,2008,filename,2008,even_reporting_year,,,,"Contributions - Lin Alder (Commission Seat C, 2008)",http://www.washco.utah.gov/clerk/pdf/Lin Alder Contributions October 28 2008.pdf,2026-08-01,text,pdftotext -layout,raw/wayback_clerkpdf2008/Lin Alder Contributions October 28 2008.pdf,text/wayback_clerkpdf2008__Lin Alder Contributions October 28 2008.txt,20944,d7e8aa1c16646af217895a3ae67dc5821576c90e290070b2885d51f08929ed47,wayback_clerkpdf2008,wayback,20090323201838,https://web.archive.org/web/20090323201838id_/http://www.washco.utah.gov/clerk/pdf/Lin%20Alder%20Contributions%20October%2028%202008.pdf,contributions,,reporting_year_only,person_roster,medium,LIN ALDER @2008,,,,roster_key(filename),,,1,,,1
2008,Lin Alder,Commission Seat C,2008,filename,2008,even_reporting_year,,,,"Expenditures - Lin Alder (Commission Seat C, 2008)",http://www.washco.utah.gov/clerk/pdf/Lin Alder Expenditures October 28 2008.pdf,2026-08-01,text,pdftotext -layout,raw/wayback_clerkpdf2008/Lin Alder Expenditures October 28 2008.pdf,text/wayback_clerkpdf2008__Lin Alder Expenditures October 28 2008.txt,14409,4d1fe6121c4ad5ae16cfe76f74ac70f6482163aca8f7d956c38893dd2a65bbbb,wayback_clerkpdf2008,wayback,20090323201749,https://web.archive.org/web/20090323201749id_/http://www.washco.utah.gov/clerk/pdf/Lin%20Alder%20Expenditures%20October%2028%202008.pdf,expenditures,,reporting_year_only,person_roster,medium,LIN ALDER @2008,,,,roster_key(filename),,,1,,,1
2010,Arthur Partridge,Assessor,2010,document,2010,document,2010,,,"Summary - Arthur Partridge (Assessor, 2010)",http://www.washco.utah.gov/clerk/pdf/2010elections/6-15-2010 County Candidate Summary- Art Partridge.pdf,2026-08-01,text,pdftotext -layout,raw/wayback_2010elections/6-15-2010 County Candidate Summary- Art Partridge.pdf,text/wayback_2010elections__6-15-2010 County Candidate Summary- Art Partridge.txt,9179,c88a442ad6927394ce1a42733d9ae49d1619800a0906f2668758e86d28a4979d,wayback_2010elections,wayback,20100624143702,https://web.archive.org/web/20100624143702id_/http://www.washco.utah.gov/clerk/pdf/2010elections/6-15-2010%20County%20Candidate%20Summary-%20Art%20Partridge.pdf,summary,,reporting_year_only,document,high,ARTHUR PARTRIDGE @2010,County Assessor,,Arthur Partridge,document,,,0,,,1
2010,Arthur Partridge,Assessor,2010,filename,2010,even_reporting_year,,,,"Expenditures - Arthur Partridge (Assessor, 2010)",http://www.washco.utah.gov/clerk/pdf/2010elections/6-15-2010 Expenditures- Art Partridge.pdf,2026-08-01,text,pdftotext -layout,raw/wayback_2010elections/6-15-2010 Expenditures- Art Partridge.pdf,text/wayback_2010elections__6-15-2010 Expenditures- Art Partridge.txt,13887,d6c236cfd0b36d5e813b47d26a2d91ca944d563c2380c4c72dd180e9de7b45c5,wayback_2010elections,wayback,20100624143713,https://web.archive.org/web/20100624143713id_/http://www.washco.utah.gov/clerk/pdf/2010elections/6-15-2010%20Expenditures-%20Art%20Partridge.pdf,expenditures,,reporting_year_only,document,high,ARTHUR PARTRIDGE @2010,County Assessor,,Arthur Partridge,document,,,0,,,1
2010,Arthur Partridge,Assessor,2010,url_folder,2010,even_reporting_year,,,,"Contributions - Arthur Partridge (Assessor, 2010)",http://www.washco.utah.gov/clerk/pdf/2010elections/Contributions- Art Partridge.pdf,2026-08-01,text,pdftotext -layout,raw/wayback_2010elections/Contributions- Art Partridge.pdf,text/wayback_2010elections__Contributions- Art Partridge.txt,12413,48aca9c2f335ca046b20f6724f771ebcd1424d84311738c058a6699252110969,wayback_2010elections,wayback,20100408072637,https://web.archive.org/web/20100408072637id_/http://www.washco.utah.gov/clerk/pdf/2010elections/Contributions-%20Art%20Partridge.pdf,contributions,,reporting_year_only,document,high,ARTHUR PARTRIDGE @any,County Assessor,,Arthur Partridge,document,,,0,,,1
