url,channel,fetch_url,reason
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Becky Dunn_Final FCR_01-23-2017.pdf,wayback_forms2016,https://web.archive.org/web/20180928014559id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Becky%20Dunn_Final%20FCR_01-23-2017.pdf,404 at every archived capture (batch/retry_404.py re-tries all timestamps) - genuine gap
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Craig Seegmiller_December 21 _FCR_Complete_12-21-2016.pdf,wayback_forms2016,https://web.archive.org/web/20180928014615id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Craig%20Seegmiller_December%2021%20_FCR_Complete_12-21-2016.pdf,fetch failed: error:<urlopen error [Errno 61] Connection refused>
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Dean Cox_12_21_2016 FCR_Complete_12-21-2016.pdf,wayback_forms2016,https://web.archive.org/web/20180928014549id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Dean%20Cox_12_21_2016%20FCR_Complete_12-21-2016.pdf,404 at every archived capture (batch/retry_404.py re-tries all timestamps) - genuine gap
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Debbra Zockoll_December 27 2016_FCR_FINAL_12-28-2016.pdf,wayback_forms2016,https://web.archive.org/web/20180928014623id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Debbra%20Zockoll_December%2027%202016_FCR_FINAL_12-28-2016.pdf,fetch failed: error:<urlopen error [Errno 61] Connection refused>
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Greg Aldred_County Commission Seat C_Final Report_01-14-2017.pdf,wayback_forms2016,https://web.archive.org/web/20180928014546id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Greg%20Aldred_County%20Commission%20Seat%20C_Final%20Report_01-14-2017.pdf,404 at every archived capture (batch/retry_404.py re-tries all timestamps) - genuine gap
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Josh Warburton_Final FCR_02-01-2017.pdf,wayback_forms2016,https://web.archive.org/web/20180928014543id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Josh%20Warburton_Final%20FCR_02-01-2017.pdf,404 at every archived capture (batch/retry_404.py re-tries all timestamps) - genuine gap
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Rick Nelson_Final FCR_01-23-2017.pdf,wayback_forms2016,https://web.archive.org/web/20180928014612id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Rick%20Nelson_Final%20FCR_01-23-2017.pdf,404 at every archived capture (batch/retry_404.py re-tries all timestamps) - genuine gap
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Terry Hutchinson_Final FCR_01-23-2017.pdf,wayback_forms2016,https://web.archive.org/web/20180928014620id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Terry%20Hutchinson_Final%20FCR_01-23-2017.pdf,404 at every archived capture (batch/retry_404.py re-tries all timestamps) - genuine gap
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 7 2019_Allen J Davis_Final FCR_01-09-2019.pdf,wayback_forms2018,https://web.archive.org/web/20190910015401id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan%207%202019_Allen%20J%20Davis_Final%20FCR_01-09-2019.pdf,"retrieved but office not determinable from document, portal listing, or filename - held out of index (never guessed) [office_determinations.csv 2026-08-01: Office, Representative District and School District lines are ALL BLANK on the form; filer not present in the county canvass 2018-2024 - office not determinable, never guessed]"
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 19_Allen J Davis_FCR_06-19-2018.pdf,wayback_forms2018,https://web.archive.org/web/20180927235007id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June%2019_Allen%20J%20Davis_FCR_06-19-2018.pdf,"retrieved but office not determinable from document, portal listing, or filename - held out of index (never guessed) [office_determinations.csv 2026-08-01: Office, Representative District and School District lines are ALL BLANK on the form; filer not present in the county canvass 2018-2024 - office not determinable, never guessed]"
https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Attorney_Special 2 Year_Eric Wesley Clark_June 23 2020 FCR_06-17-2020.pdf,wayback_forms2020,https://web.archive.org/web/20201229124331id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Attorney_Special%202%20Year_Eric%20Wesley%20Clark_June%2023%202020%20FCR_06-17-2020.pdf,fetch failed: 200
https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Recorder_Kimberly Kay Hancock_June 23 2020 FCR_06-23-2020.pdf,wayback_forms2020,https://web.archive.org/web/20201229124351id_/https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Recorder_Kimberly%20Kay%20Hancock_June%2023%202020%20FCR_06-23-2020.pdf,fetch failed: 200
