doc_type,title,adopted_date,jurisdiction,path,text_path,format,source_url,notes
general_plan,Snyderville Basin General Plan,2015-06-17,Snyderville Basin Planning District (unincorporated western Summit County),raw/snyderville_basin_general_plan_2015.pdf,text/snyderville_basin_general_plan_2015.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/481/General-Plan-PDF,"Adopted by Ordinance 839 on 2015-06-17. The Basin's long-range growth/land-use framework; the Basin implements INCLUSIONARY ZONING (20% affordable set-aside) via the Snyderville Basin Development Code (Title 10). Comprehensive update in progress (2024-25 visioning; no adopted new plan yet). Born-digital, 94 pp, 14.2 MB retained."
general_plan,Eastern Summit County General Plan,2023-08-13,Eastern Summit County Planning District (unincorporated eastern Summit County around Coalville/Kamas/Oakley/Henefer/Francis),raw/eastern_summit_county_general_plan_2023.pdf,text/eastern_summit_county_general_plan_2023.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/429/Eastern-General-Plan-PDF,"Base plan 2013; amended 2023-08-13. Governing plan for the East Side; being harmonized with the Basin plan via a joint General Plan committee (2024). Born-digital, 18 pp, 435 KB."
moderate_income_housing,Snyderville Basin Moderate Income Housing Plan (Ordinance 950),2022-09-19,Snyderville Basin Planning District,raw/snyderville_basin_mih_plan_ord950_2022.pdf,text/snyderville_basin_mih_plan_ord950_2022.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/20239/Ordinance-No-950-Snyderville-Basin-Moderate-Income-Housing-Plan,"HB462 (2022) moderate-income-housing element adopted INTO the Snyderville Basin General Plan. Scanned signed ordinance, OCR'd (tesseract, 10 pp). Enacted-clause day OCR-garbled (Enacted this __ day of September 2022); companion to Ord 951 enacted 2022-09-19."
moderate_income_housing,Eastern Summit County Moderate Income Housing Plan (Ordinance 951),2022-09-19,Eastern Summit County Planning District,raw/eastern_summit_mih_plan_ord951_2022.pdf,text/eastern_summit_mih_plan_ord951_2022.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/20240/Ordinance-No-951-Eastern-Summit-County-Moderate-Income-Housing-Plan,"HB462 (2022) MIH element amending Chapter 7 (Moderate Income Housing) of the Eastern Summit County General Plan. Enacted this 19th day of September 2022. Scanned signed ordinance, OCR'd (10 pp)."
moderate_income_housing,Amended Moderate Income Housing Plan (Ordinance 962),2023-07-26,Unincorporated Summit County,raw/mih_plan_amended_ord962_2023.pdf,text/mih_plan_amended_ord962_2023.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/21754/Amended-Ord-962-Moderate-Income-Housing-Plan,"Amended MIH plan/element. Enacted this 26 day of July 2023. Scanned signed ordinance, OCR'd (17 pp)."
moderate_income_housing,Moderate Income Housing (Ordinance 968),2023-09-12,Unincorporated Summit County,raw/mih_plan_ord968_2023.pdf,text/mih_plan_ord968_2023.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/21986/Ord-968-Moderate-Income-Housing,"MIH ordinance. Enacted September 2023 (day OCR-uncertain; body dates 2023-09-07/09-12). Scanned signed ordinance, OCR'd (18 pp)."
moderate_income_housing,Moderate Income Housing (Ordinance 980),2024-07-17,Unincorporated Summit County,raw/mih_plan_ord980_2024.pdf,text/mih_plan_ord980_2024.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/23711/Ordinance-980-PDF,"Most recent MIH ordinance. Enacted July 2024 (body dates 2024-06-27/07-17/08-01). Scanned signed ordinance, OCR'd (17 pp)."
moderate_income_housing_report,2023 Moderate Income Housing Plan Updates,2023,Unincorporated Summit County (Basin + East Side),raw/mih_plan_updates_2023.pdf,text/mih_plan_updates_2023.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/21748/2023-Moderate-Income-Housing-Plan-Updates,"Combined Basin + Eastern MIH plan-update packet (annual HB462 reporting). Scanned, OCR'd (17 pp)."
moderate_income_housing_report,Moderate Income Housing Report - Notice of Compliance (2022),2022,Summit County,raw/mih_notice_of_compliance_2022.pdf,text/mih_notice_of_compliance_2022.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/21007/Summit-County-Moderate-Income-Housing-Report-Notice-of-Compliance,"Utah DWS annual MIH report / Notice of Compliance for the county. Born-digital, 2 pp."
moderate_income_housing_report,UDWS Notice of Non-Compliance (2023-08-07),2023-08-07,Summit County,raw/mih_udws_noncompliance_notice_2023.pdf,text/mih_udws_noncompliance_notice_2023.txt,pdf,https://www.summitcountyutah.gov/DocumentCenter/View/22198/Summit-County-Non-Compliance-Notice-080723-PDF,"Utah Dept. of Workforce Services notice that the county's 2023 MIH report was found NON-COMPLIANT. Born-digital, 3 pp. Honest record of a compliance finding, not a plan."
