date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,doc_kind,template_name,meeting_id,content_length_bytes,size_mb,stored_locally,probe_status,doc_class,fetch_status,sha256,text_path,text_chars
2020-01-06,Inauguration Oath of Office Ceremony,Council,special,agenda_only,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1910,2026-07-05,html,not_retrieved,,meeting_bundle,Agenda,582,593026,0.57,no,200 application/pdf,,,,,
2020-01-07,Council Work Session,Council,work,full_packet,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1905,2026-07-05,na,not_retrieved,,meeting_bundle,Meeting Materials,580,,,no,not_probed,,,,,
2020-01-07,Council Formal Meeting,Council,formal,full_packet,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1909,2026-07-05,na,not_retrieved,,meeting_bundle,Meeting Materials,581,,,no,not_probed,,,,,
2020-01-14,Redevelopment Agency (RDA) Meeting,Council,formal,full_packet,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1915,2026-07-05,na,not_retrieved,,meeting_bundle,Meeting Materials,583,,,no,not_probed,,,,,
2020-01-14,Council Work Session,Council,work,full_packet,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1917,2026-07-05,na,not_retrieved,,meeting_bundle,Meeting Materials,584,,,no,not_probed,,,,,
2020-01-17,Special Limited Formal Council Meeting,Council,formal,full_packet,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1934,2026-07-05,na,not_retrieved,,meeting_bundle,Meeting Materials,589,,,no,not_probed,,,,,
2020-01-17,Special Council Work Session,Council,work,full_packet,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1937,2026-07-05,na,not_retrieved,,meeting_bundle,Meeting Materials,590,,,no,not_probed,,,,,
2020-01-21,Council Work Session,Council,work,full_packet,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1920,2026-07-05,na,not_retrieved,,meeting_bundle,Meeting Materials,585,,,no,not_probed,,,,,
2020-01-21,Council Formal Meeting,Council,formal,full_packet,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1924,2026-07-05,na,not_retrieved,,meeting_bundle,Meeting Materials,586,,,no,not_probed,,,,,
2020-02-04,Council Work Session,Council,work,full_packet,https://slc.primegov.com/Public/CompiledDocument?meetingTemplateId=1927,2026-07-05,na,not_retrieved,,meeting_bundle,Meeting Materials,587,,,no,not_probed,,,,,
