ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_type,status,minutes_files
01-21-2020,2020-01-21,2020-01-21,CITY CODE REVISIONS,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2020-01-21,2,within_source,,ADOPTED,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting.md
02-04-2020,2020-02-04,2020-02-04,NEW ZONE MAP,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,4-1 Pass,2020-02-04,3,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting.md
02-18-2020,2020-02-18,2020-02-18,HOME OCCUPATION CODE CHANGES,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2020-02-18,2,within_source,land_use_code,ADOPTED,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md
02-18-2020-A,2020-02-18,2020-02-18,CODE GOVERNING CANNABIS PRODUCTION ESTABLISHMENTS AND PHARMACIES,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2020-02-18,3,within_source,,ADOPTED,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting.md
03-03-2020,2020-03-03,2020-03-03,ORDINANCE AMENDING TITLE 10 CHAPTER 15 OF THE NEPHI CITY CODE,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,2-3 Fail,2020-03-03,5,within_source,land_use_code,FAILED,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_city-council-meeting.md
03-17-2020,2020-03-17,2020-03-17,ZONE MAP CHANGE,meeting_minutes/minutes/2020/2020-03-16/2020-03-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,4-1 Pass,2020-03-17,2,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2020/2020-03-16/2020-03-17_city-council-meeting.md
03-17-2020-A,2020-03-17,2020-03-17,AMENDING TITLE 10 CHAPTER 15 OF THE NEPHI CITY CODE,meeting_minutes/minutes/2020/2020-03-16/2020-03-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,4-1 Pass,2020-03-17,4,within_source,land_use_code,ADOPTED,meeting_minutes/minutes/2020/2020-03-16/2020-03-17_city-council-meeting.md
04-07-2020,2020-04-07,2020-04-07,ELECTRONIC MEETINGS,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2020-04-07,5,within_source,,ADOPTED,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md
04-07-2020-A,2020-04-07,2020-04-07,EMERGENCY DELCARATION – CORONAVIRUS (COVID-19),meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,4-1 Pass,2020-04-07,3,within_source,,ADOPTED,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council-meeting.md
04-21-2020,2020-04-21,2020-04-21,TEMPORARY LAND USE . Mr,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2020-04-21,3,within_source,land_use_code,ADOPTED,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council-meeting.md
