candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry
Holly Yergensen,County Treasurer,,2010,2010-06-14,June 2010 (pre-primary),2010-05-27,signsonthecheap.com,signsonthecheap.com,campaign signs,252.68,False,False,raw/2010/2010_Holly-Yergensen-6-14-10.pdf,wasatch-cf-06efbcb2,1,medium,vision-itemized/read-tool,0,"pct:6.00,7.90,88.00,2.28@p3"
Holly Yergensen,County Treasurer,,2010,2010-06-14,June 2010 (pre-primary),2010-05-27,cheapdoorhangers.com,cheapdoorhangers.com,Door hangers,207.00,False,False,raw/2010/2010_Holly-Yergensen-6-14-10.pdf,wasatch-cf-06efbcb2,2,low,vision-itemized/read-tool,0,"pct:6.00,10.18,88.00,2.28@p3"
Holly Yergensen,County Treasurer,,2010,2010-06-14,June 2010 (pre-primary),2010-06-11,The Wasatch Wave,The Wasatch Wave,Ad in Paper,75.68,False,False,raw/2010/2010_Holly-Yergensen-6-14-10.pdf,wasatch-cf-06efbcb2,3,medium,vision-itemized/read-tool,0,"pct:6.00,12.46,88.00,2.28@p3"
Holly Yergensen,County Treasurer,,2010,2010-06-14,June 2010 (pre-primary),,Wasatch County,Wasatch County,Run for Treasurer,295.00,False,False,raw/2010/2010_Holly-Yergensen-6-14-10.pdf,wasatch-cf-06efbcb2,4,medium,vision-itemized/read-tool,1,"pct:6.00,14.74,88.00,2.28@p3"
James Wade Koson,County Attorney,County-wide,2010,2010-06-15,June 2010 (pre-primary),2010-06-05,CRC Design,Crc Design,signs,1000.00,False,False,raw/2010/2010_James-Koson-6-15-10.pdf,wasatch-cf-ce880a9c,1,medium,vision-itemized/read-tool,0,"pct:6.00,7.90,88.00,2.28@p3"
James Wade Koson,County Attorney,County-wide,2010,2010-06-15,June 2010 (pre-primary),2010-05-01,Wasatch County,Wasatch County,Application Fee,450.00,False,False,raw/2010/2010_James-Koson-6-15-10.pdf,wasatch-cf-ce880a9c,2,medium,vision-itemized/read-tool,1,"pct:6.00,10.18,88.00,2.28@p3"
James Wade Koson,County Attorney,County-wide,2010,2010-06-15,June 2010 (pre-primary),2010-05-01,CRC Design,Crc Design,signs,200.00,False,False,raw/2010/2010_James-Koson-6-15-10.pdf,wasatch-cf-ce880a9c,3,medium,vision-itemized/read-tool,1,"pct:6.00,10.18,88.00,2.28@p3"
James Wade Koson,County Attorney,County-wide,2010,2010-06-15,June 2010 (pre-primary),2010-05-15,CRC Design,Crc Design,signs,200.00,False,False,raw/2010/2010_James-Koson-6-15-10.pdf,wasatch-cf-ce880a9c,4,medium,vision-itemized/read-tool,0,"pct:6.00,12.46,88.00,2.28@p3"
James Wade Koson,County Attorney,County-wide,2010,2010-06-15,June 2010 (pre-primary),2010-05-15,CRC Design,Crc Design,signs,300.00,False,False,raw/2010/2010_James-Koson-6-15-10.pdf,wasatch-cf-ce880a9c,5,medium,vision-itemized/read-tool,0,"pct:6.00,14.74,88.00,2.28@p3"
James Wade Koson,County Attorney,County-wide,2010,2010-06-15,June 2010 (pre-primary),2010-05-15,The Store,The Store,refreshments for calling night,100.00,False,False,raw/2010/2010_James-Koson-6-15-10.pdf,wasatch-cf-ce880a9c,6,medium,vision-itemized/read-tool,0,"pct:6.00,17.02,88.00,2.28@p3"
