date,candidate,office,seat,election_year,filing_type,reporting_period,title,source_url,archive_url,retrieved_date,form_family,format,extraction_method,path,text_path,pages,bytes,sha256,channel,needs_review,notes
2010-06-10,Karl McDonald,County Treasurer,,2010,statement,June 2010 (pre-primary),Karl McDonald — County Treasurer campaign financial report (June 2010 (pre-primary)),http://municipal.utah.gov/wasatch\2010 Primary\Karl Mcdonald 6-10-10.pdf,,2026-08-01,carr_5_5_pg_4line,scanned,"tesseract OCR (pdftoppm 300dpi, psm 6)",raw/2010/2010_Karl-Mcdonald-6-10-10.pdf,text/2010/2010_Karl-Mcdonald-6-10-10.txt,3,145564,1b3b7c952b476f7c37aee74480efde4fc7963b1d2e2a8fe9069d5c19e28f92c3,origin,1,
2010-06-14,Holly Yergensen,County Treasurer,,2010,statement,June 2010 (pre-primary),Holly Yergensen — County Treasurer campaign financial report (June 2010 (pre-primary)),http://municipal.utah.gov/wasatch\2010 Primary\Holly Yergensen 6-14-10.pdf,,2026-08-01,carr_5_5_pg_4line,scanned,"tesseract OCR (pdftoppm 300dpi, psm 6)",raw/2010/2010_Holly-Yergensen-6-14-10.pdf,text/2010/2010_Holly-Yergensen-6-14-10.txt,3,122446,721c07f2f70e7f0b25e8fa733d82c2ea353d74f7f385488862e6d60092635fd4,origin,1,
2010-06-15,James Wade Koson,County Attorney,County-wide,2010,statement,June 2010 (pre-primary),James Wade Koson — County Attorney campaign financial report (June 2010 (pre-primary)),http://municipal.utah.gov/wasatch\2010 Primary\James Koson 6-15-10.pdf,,2026-08-01,carr_5_5_pg_4line,scanned,"tesseract OCR (pdftoppm 300dpi, psm 6)",raw/2010/2010_James-Koson-6-15-10.pdf,text/2010/2010_James-Koson-6-15-10.txt,3,125302,c406b1bfb0a4c6ae26dacc7acea77c4ab8fe37cd17c92a3aa50758f6008db3cf,origin,1,
2010-06-15,Scott Sweat,County Attorney,County,2010,statement,June 2010 (pre-primary),Scott Sweat — County Attorney campaign financial report (June 2010 (pre-primary)),http://municipal.utah.gov/wasatch\2010 Primary\Scott Sweat 6-15-10.pdf,,2026-08-01,carr_5_5_pg_4line,scanned,"tesseract OCR (pdftoppm 300dpi, psm 6)",raw/2010/2010_Scott-Sweat-6-15-10.pdf,text/2010/2010_Scott-Sweat-6-15-10.txt,3,133718,b4dfc32aacac9e4b3c6017795cfa92bd8f1cc82bf9828ee8c82a706715178908,origin,1,
2018-07-01,Alan Wane McDonald,County Council,At Large,2018,statement,2018 cycle (as published by the county),Alan Wane McDonald — County Council campaign financial report (2018 cycle (as published by the county)),https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2018Elections/DC/Financial%20Campaign%20Report-Alan%20Wane%20McDonald.pdf,,2026-08-01,wasatch_fcr_3line,text,pdftotext -layout,raw/2018/2018_Financial-Campaign-Report-Alan-Wane-McDonald.pdf,text/2018/2018_Financial-Campaign-Report-Alan-Wane-McDonald.txt,3,625299,924d64d44b1940989a53eb3335b508a79a83ca2be0d5213b67c0025373c01019,origin,1,
2018-07-01,Brent R. Titcomb,Clerk/Auditor,,2018,statement,2018 cycle (as published by the county),Brent R. Titcomb — Clerk/Auditor campaign financial report (2018 cycle (as published by the county)),https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2018Elections/DC/Financial%20Campaign%20Report-Brent%20R.%20Titcomb.pdf,,2026-08-01,wasatch_fcr_3line,text,pdftotext -layout,raw/2018/2018_Financial-Campaign-Report-Brent-R.-Titcomb.pdf,text/2018/2018_Financial-Campaign-Report-Brent-R.-Titcomb.txt,3,1341607,0995816f80df4d54cda0c2d4d1032e550bab0bb5d84c949c49d3bfb748064b4c,origin,1,
2018-07-01,Danny Goode,County Council,Heber North,2018,statement,2018 cycle (as published by the county),Danny Goode — County Council campaign financial report (2018 cycle (as published by the county)),https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2018Elections/DC/Financial%20Campaign%20Report-Danny%20Goode.pdf,,2026-08-01,wasatch_fcr_3line,text,pdftotext -layout,raw/2018/2018_Financial-Campaign-Report-Danny-Goode.pdf,text/2018/2018_Financial-Campaign-Report-Danny-Goode.txt,3,542077,49d5773fb10a21f58e5019847c2a164fb3cde8c5eef2afea52ae56c1aeaac692,origin,1,
2018-07-01,Jeff Wade,County Council,County East,2018,statement,2018 cycle (as published by the county),Jeff Wade — County Council campaign financial report (2018 cycle (as published by the county)),https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2018Elections/DC/Financial%20Campaign%20Report-Jeff%20Wade.pdf,,2026-08-01,wasatch_fcr_3line,text,pdftotext -layout,raw/2018/2018_Financial-Campaign-Report-Jeff-Wade.pdf,text/2018/2018_Financial-Campaign-Report-Jeff-Wade.txt,3,602473,2d31fb4028403071db0e10366ec5f21aab884644e9fa467f03fa8ca30bb0d9b9,origin,1,
2018-07-01,Kit R. Kosakowski,County Attorney,,2018,statement,2018 cycle (as published by the county),Kit R. Kosakowski — County Attorney campaign financial report (2018 cycle (as published by the county)),https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2018Elections/DC/Financial%20Campaign%20Report-Kit%20R.%20Kosakowski.pdf,,2026-08-01,wasatch_fcr_3line,text,pdftotext -layout,raw/2018/2018_Financial-Campaign-Report-Kit-R.-Kosakowski.pdf,text/2018/2018_Financial-Campaign-Report-Kit-R.-Kosakowski.txt,3,1030279,93d6aaa4caf52972ef6913d17f56c37b7f40dd3b6a135ec5485e640c1a343da5,origin,1,
2018-07-01,Scott Sweat,County Attorney,,2018,statement,2018 cycle (as published by the county),Scott Sweat — County Attorney campaign financial report (2018 cycle (as published by the county)),https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2018Elections/DC/Financial%20Campaign%20Report-%20Scott%20Sweat.pdf,,2026-08-01,wasatch_fcr_3line,text,pdftotext -layout,raw/2018/2018_Financial-Campaign-Report--Scott-Sweat.pdf,text/2018/2018_Financial-Campaign-Report--Scott-Sweat.txt,3,806575,7f738b8f8334fe2fed3285ba8d39bd00a70358a2a8a47f3f8f614219b62837e2,origin,1,
