election_year,candidate,office_as_published,source_url,evidence,reason
2010,Ann Horner,Local School Board,http://municipal.utah.gov/wasatch\2010 Primary\Ann Horner 6-3-10.pdf,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2010,Ann Horner,Local School Board,http://municipal.utah.gov/wasatch\2010 Primary\Ann Horner 8-31-10.pdf,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2010,Debra Jones,Local School Board,http://municipal.utah.gov/wasatch\2010 Primary\Debra Jones 6-8-10.pdf,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2010,Debra Jones,Local School Board,http://municipal.utah.gov/wasatch\2010 Primary\Debra Jones 8-31-10.pdf,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2010,Rob Heywood,Local School Board,http://municipal.utah.gov/wasatch\2010 Primary\Rob Heywood 6-14-10.pdf,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2010,Rob Heywood,Local School Board,http://municipal.utah.gov/wasatch\2010 Primary\Rob Heywood 8-31-10.pdf,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2012,Blaik T. Baird,Local School Board,,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2012,Jenifer Lynn Kelson,Local School Board,,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2012,Jon Wallace Jacobsmeyer,Local School Board,,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2012,Mark Davis,Local School Board,,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2012,Shad Edward Sorenson,Local School Board,,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2012,Wilma D. Cowley,Local School Board,,form header: SCHOOL BOARD CANDIDATE / 20A-11-1301,school board — outside the COUNTY-OFFICE scope of this module
2018,Cory Holmes,School Board Member,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2018Elections/DC/Financial%20Campaign%20Report-Cory%20Holmes.pdf,form field 'Name of Office: School Board Member',school board — outside the COUNTY-OFFICE scope of this module
2018,Tyler Wilson Bluth,Wasatch County School Board,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2018Elections/DC/Financial%20Campaign%20Report-Tyler%20Wilson%20Bluth.pdf,form field 'Name of Office' (read from page image),school board — outside the COUNTY-OFFICE scope of this module
2020,Athina Koumarela,Local School Board Midway,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/JuneAKoumarela.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Athina Koumarela,Local School Board Midway,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/OctAKoumarela.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Athina Koumarela,Local School Board Midway,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/DecAKoumarela.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Kimberly Dickerson,Local School Board County East,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/JuneKDickerson.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Kimberly Dickerson,Local School Board County East,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/OctKDickerson.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Kimberly Dickerson,Local School Board County East,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/DecKDickerson.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Kimo Paulsen,Local School Board County East,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/JuneKPaulsen.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Kimo Paulsen,Local School Board County East,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/OctKPaulsen.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Kimo Paulsen,Local School Board County East,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/DecKPaulsen.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Marianne B Allen,Local School Board County South,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/JuneMAllen.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Marianne B Allen,Local School Board County South,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/OctMAllen.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Marianne B Allen,Local School Board County South,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/DecMAllen.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Mark Davis,Local School Board County South,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/JuneMDavis.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Mark Davis,Local School Board County South,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/OctMDavis.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Mark Davis,Local School Board County South,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/DecMDavis.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
2020,Tom Hansen,Local School Board Midway,https://wasatch.utah.gov/Portals/0/Clerk/Pdfs/Elections/2020%20Election/Financial/JuneTHansen.pdf,county 2020 candidate listing,school board — outside the COUNTY-OFFICE scope of this module
