candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Karl McDonald,County Treasurer,2010,2010-06-10,June 2010 (pre-primary),statement,300.00,1162.99,,,300.00,1162.99,True,True,0.00,0.00,0.00,1,8,raw/2010/2010_Karl-Mcdonald-6-10-10.pdf,wasatch-cf-e17ac8f5,high,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. One side's CUMULATIVE cell is blank while the other prints a figure; the blank side is left blank, not inferred. Filer used the LAST REPORT and CUMULATIVE columns and left THIS REPORT blank; the balance line is blank in all three columns. The signature line is blank — published unsigned. ITEMIZED CONTRIBUTIONS (vision, 1 row(s)) reconciled against the cover line 1 (>$50, from form A), CUMULATIVE column: exact (300.00 = 300.00, cover line 1 (>$50, from form A), CUMULATIVE column) ITEMIZED EXPENDITURES (vision, 8 row(s)) reconciled against the the cover's own total expenses line, CUMULATIVE column: exact (1162.99 = 1162.99, the cover's own total expenses line, CUMULATIVE column) Printed-total gates: this form prints no per-page subtotal; both sides gate on the cover lines instead, and both close exactly Transcriber: Handwritten. Two amounts use a DECIMAL COMMA ('300,00' on Form A line 1, '295,57' on Form B line 1) - transcribed with a decimal point under the whitelisted repair, and both are confirmed by the cover closing exactly. Form B row 5's Purpose cell is a DITTO mark (four ') repeating 'Material for sign stakes' from row 4; resolved and noted. Check numbers and 'Debit' markers written in the Purpose cells are kept verbatim.",cumulative
Holly Yergensen,County Treasurer,2010,2010-06-14,June 2010 (pre-primary),statement,0,830.36,,830.36,0.00,830.36,True,True,0.00,0.00,0.00,0,4,raw/2010/2010_Holly-Yergensen-6-14-10.pdf,wasatch-cf-06efbcb2,medium,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. The CUMULATIVE expense and balance figures are written over a struck-out '535.36'; the later values are transcribed. The LAST REPORT and THIS REPORT columns were left blank. ITEMIZED CONTRIBUTIONS: the schedule page EXISTS and is BLANK on the face - a real zero, read and recorded, not an untranscribed gap. ITEMIZED CONTRIBUTIONS (vision, 0 row(s)) reconciled against the cover line 1 (>$50, from form A), CUMULATIVE column: exact (0.00 = 0, cover line 1 (>$50, from form A), CUMULATIVE column) ITEMIZED EXPENDITURES (vision, 4 row(s)) reconciled against the the cover's own total expenses line, CUMULATIVE column: exact (830.36 = 830.36, the cover's own total expenses line, CUMULATIVE column) Printed-total gates: no per-page subtotal on this form; Form B gates on the cover line-3 figure and closes exactly Transcriber: Handwritten. ARITHMETIC DECIDED A GLYPH: row 2's amount is written with a flat-topped leading digit that reads as either 207.00 or 707.00; only 207.00 closes the page (252.68 + 207.00 + 75.68 + 295.00 = 830.36 = the printed cover total), so 207.00 is transcribed and the ambiguity is recorded here rather than resolved by re-reading. Row 4 has NO DATE AT ALL - left blank, never filled from the report date.",cumulative
James Wade Koson,County Attorney,2010,2010-06-15,June 2010 (pre-primary),statement,5,2250,,0,2250.00,2250.00,False,True,2245.00,0.00,0.00,5,6,raw/2010/2010_James-Koson-6-15-10.pdf,wasatch-cf-ce880a9c,medium,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. Line 1 (>$50) reads as a bare '5' in both the THIS REPORT and CUMULATIVE columns — transcribed verbatim at medium confidence; it does not reconcile with the $2,250 of expenses and $0 balance the same filer printed. A word preceding 'Wasatch County Attorney' in the office field is scribbled out. ITEMIZED CONTRIBUTIONS (vision, 5 row(s)) reconciled against the cover line 1 (>$50, from form A), CUMULATIVE column: delta 2245.00 - 5 row(s) sum to 2250.00 against cover line 1 (>$50, from form A), CUMULATIVE column, which prints 5. Both figures retained verbatim; no row was adjusted and the stated total was not recomputed. || TRANSCRIBER'S ACCOUNT: delta 2245.00 - FILER ERROR, proven by the document itself. The cover's line-1 cell reads a bare '5' in BOTH the THIS REPORT and CUMULATIVE columns (re-read on the full cover page; there is no larger figure hiding in the cell - the same filer writes '2,250' with a comma two lines below). Form A itemizes exactly FIVE contributions totalling 2,250.00, and the filer's own line-3 expenses (2,250) with a line-4 balance of 0 can only close if contributions were 2,250. The filer wrote the NUMBER OF CONTRIBUTORS in the dollar cell. Both figures retained verbatim; no row adjusted and the stated total is NOT recomputed. ITEMIZED EXPENDITURES (vision, 6 row(s)) reconciled against the the cover's own total expenses line, CUMULATIVE column: exact (2250.00 = 2250, the cover's own total expenses line, CUMULATIVE column) Printed-total gates: no per-page subtotal on this form; Form B closes exactly on the cover, and Form A closes on the balance identity (2250 in - 2250 out = 0 printed) Transcriber: Handwritten, light pencil-like hand. ONE PRINTED ROW OF FORM B CARRIES TWO PAYEES AND TWO AMOUNTS ('Wasatch County, CRC Design' / 'Application Fee, signs' / '$450, $200') - split into two rows here, both anchored to the same printed row slot, because they are two distinct expenditures the filer wrote on one line. Amounts are written without cents ('1,000', '650', '200') - transcribed as .00. A word preceding 'Wasatch County Attorney' in the office field is scribbled out (recorded in the cover cache).",cumulative
Scott Sweat,County Attorney,2010,2010-06-15,June 2010 (pre-primary),statement,590.00,2063.18,,1473.18,340.00,2063.18,False,True,-250.00,0.00,0.00,1,10,raw/2010/2010_Scott-Sweat-6-15-10.pdf,wasatch-cf-01be9386,high,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. CUMULATIVE column blank and nothing precedes this report (LAST REPORT blank/0/N-A), so the THIS REPORT figure is used; both columns are in the vision cache verbatim. The line-2 CUMULATIVE cell is written '250.' with a trailing strike. The balance is printed '-1473.18' in THIS REPORT but '1473.18' (no minus) in CUMULATIVE — both verbatim. ITEMIZED CONTRIBUTIONS (vision, 1 row(s)) reconciled against the cover line 1 (>$50, from form A), CUMULATIVE column: exact (340.00 = 340.00, cover line 1 (>$50, from form A), CUMULATIVE column) NOTE: against the PUBLISHED stated total of 590.00 this reads as a -250.00 difference, because the published figure adds cover line 2 - the AGGREGATE of contributions of $50 or less, which this form deliberately does not itemize. The itemized side is COMPLETE against the figure it closes on; the difference is not a missing row. ITEMIZED EXPENDITURES (vision, 10 row(s)) reconciled against the the cover's own total expenses line, CUMULATIVE column: exact (2063.18 = 2063.18, the cover's own total expenses line, CUMULATIVE column) Printed-total gates: Form B carries a filer-written page figure 1,723.18 at the foot: rows 1-9 sum to exactly 1723.18 - GATE PASSES; all ten rows sum to exactly the cover's 2063.18 - COVER GATE PASSES Transcriber: Handwritten. Form A's single amount is written '340.-' (trailing dash after whole dollars = no cents) -> 340.00, and the cover's line-1 cell prints 340.00, confirming it. Form B row 5's Purpose has 'Printing' STRUCK OUT and replaced with 'Political Advertizing' (filer's spelling kept); the surviving value is transcribed. Row 7's date digits and row 9's vendor are written over earlier text; both kept as the value that survives.",cumulative
Alan Wane McDonald,County Council,2018,2018-07-01,2018 cycle (as published by the county),statement,1301.38,1301.38,,0.00,1301.38,1301.38,True,True,0.00,0.00,1301.38,1,4,raw/2018/2018_Financial-Campaign-Report-Alan-Wane-McDonald.pdf,wasatch-cf-db09b057,high,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. Handwritten throughout; the PDF's embedded text layer is an unusable OCR of that handwriting. ITEMIZED CONTRIBUTIONS (vision, 1 row(s)) reconciled against the the cover's own total contributions line, CUMULATIVE column: exact (1301.38 = 1301.38, the cover's own total contributions line, CUMULATIVE column) ITEMIZED EXPENDITURES (vision, 4 row(s)) reconciled against the the cover's own total expenses line, CUMULATIVE column: exact (1301.38 = 1301.38, the cover's own total expenses line, CUMULATIVE column) Printed-total gates: this variant prints no per-page subtotal; both sides gate on the cover and both close exactly Transcriber: Handwritten. NOTE THE FORM'S OWN TEMPLATE ERROR: page 3 is headed ITEMIZED EXPENDITURE REPORT (Form B) but its second column is still labelled 'Name of Contributor' - the county's 2018 sheet reuses the Form A header row. The cell holds the PAYEE/purpose as written. Two rows carry a month-and-year date only ('6-18') and one carries no date at all - all left BLANK, never completed from the report date.",cumulative
Brent R. Titcomb,Clerk/Auditor,2018,2018-07-01,2018 cycle (as published by the county),statement,486.07,486.07,,0,486.07,486.07,True,True,0.00,0.00,486.07,3,3,raw/2018/2018_Financial-Campaign-Report-Brent-R.-Titcomb.pdf,wasatch-cf-62fbf39b,medium,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. CUMULATIVE column blank and nothing precedes this report (LAST REPORT blank/0/N-A), so the THIS REPORT figure is used; both columns are in the vision cache verbatim. Line 1 THIS REPORT reads '486.07' annotated 'self' and appears struck; its CUMULATIVE cell is blank. The balance THIS REPORT cell shows '486.07' struck through and replaced with a circled 0. Cumulative contributions and cumulative balance are blank. ITEMIZED CONTRIBUTIONS (vision, 3 row(s)) reconciled against the the cover's own total contributions line, TOTALS FOR THIS REPORT column: exact (486.07 = 486.07, the cover's own total contributions line, TOTALS FOR THIS REPORT column). The schedule is PERIOD-SCOPED while the cover states the CUMULATIVE figure - a real property of this three-column sheet, not a missing row; the residual against the cumulative cell is the TOTALS FROM LAST REPORT column ITEMIZED EXPENDITURES (vision, 3 row(s)) reconciled against the the cover's own total expenses line, CUMULATIVE column: exact (486.07 = 486.07, the cover's own total expenses line, CUMULATIVE column) Printed-total gates: no per-page subtotal; both sides close exactly on the cover Transcriber: Handwritten. Form A rows 2 and 3 leave the name and address cells EMPTY under a drawn VERTICAL BRACE from row 1 - a ditto device meaning the same contributor. Resolved to 'Brent Titcomb' with the device recorded per row rather than left blank, because the brace is the filer's own explicit repetition mark.",cumulative
Danny Goode,County Council,2018,2018-07-01,2018 cycle (as published by the county),statement,0,0,,0,0.00,0.00,True,True,0.00,0.00,,0,0,raw/2018/2018_Financial-Campaign-Report-Danny-Goode.pdf,wasatch-cf-f6918a67,high,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. Zeros written only in the CUMULATIVE column. ITEMIZED CONTRIBUTIONS: the schedule page EXISTS and is BLANK on the face - a real zero, read and recorded, not an untranscribed gap. ITEMIZED CONTRIBUTIONS (vision, 0 row(s)) reconciled against the the cover's own total contributions line, CUMULATIVE column: exact (0.00 = 0, the cover's own total contributions line, CUMULATIVE column) ITEMIZED EXPENDITURES: the schedule page EXISTS and is BLANK on the face - a real zero, read and recorded, not an untranscribed gap. ITEMIZED EXPENDITURES (vision, 0 row(s)) reconciled against the the cover's own total expenses line, CUMULATIVE column: exact (0.00 = 0, the cover's own total expenses line, CUMULATIVE column) Printed-total gates: n/a - nothing itemized on either page Transcriber: A genuinely empty filing: both schedule pages exist, both are blank, and the cover states 0 on every line. Zero rows IS the transcription.",cumulative
Jeff Wade,County Council,2018,2018-07-01,2018 cycle (as published by the county),statement,0,1004.74,,1004.74,0.00,1004.74,True,True,0.00,0.00,0.00,0,2,raw/2018/2018_Financial-Campaign-Report-Jeff-Wade.pdf,wasatch-cf-9cbd543c,high,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. The balance is printed as a POSITIVE 1004.74 although the filer printed zero contributions against 1004.74 of expenses — kept verbatim. ITEMIZED CONTRIBUTIONS: the schedule page EXISTS and is BLANK on the face - a real zero, read and recorded, not an untranscribed gap. ITEMIZED CONTRIBUTIONS (vision, 0 row(s)) reconciled against the the cover's own total contributions line, CUMULATIVE column: exact (0.00 = 0, the cover's own total contributions line, CUMULATIVE column) ITEMIZED EXPENDITURES (vision, 2 row(s)) reconciled against the the cover's own total expenses line, CUMULATIVE column: exact (1004.74 = 1004.74, the cover's own total expenses line, CUMULATIVE column) Printed-total gates: no per-page subtotal; Form B closes exactly on the cover Transcriber: Handwritten. SUPERSCRIPT CENTS on both amounts ('872.⁹²', '131.⁸²') - transcribed with a decimal point per the repo convention, and the pair closes the cover exactly. Page 2 carries the Form A grid AND the Form B header at its foot (the county's own two-forms-per-sheet layout), so the Form B rows are on page 3. This filer prints a POSITIVE balance against ZERO contributions and $1,004.74 of expenses - a filer inconsistency already recorded on the cover and NOT corrected here.",cumulative
Kit R. Kosakowski,County Attorney,2018,2018-07-01,2018 cycle (as published by the county),statement,4340.50,4340.50,,0,4020.50,4350.50,False,False,-320.00,10.00,1607.36,18,26,raw/2018/2018_Financial-Campaign-Report-Kit-R.-Kosakowski.pdf,wasatch-cf-b9f08c2a,high,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. CUMULATIVE column blank and nothing precedes this report (LAST REPORT blank/0/N-A), so the THIS REPORT figure is used; both columns are in the vision cache verbatim. The LAST REPORT column is marked 'N/A' throughout and the CUMULATIVE column is blank, so the THIS REPORT figures are the whole of the filing. ITEMIZED CONTRIBUTIONS (vision, 18 row(s)) reconciled against the the cover's own total contributions line, TOTALS FOR THIS REPORT column: delta -320.00 - 18 row(s) sum to 4020.50 against the cover's own total contributions line, TOTALS FOR THIS REPORT column, which prints 4340.50. Both figures retained verbatim; no row was adjusted and the stated total was not recomputed. || TRANSCRIBER'S ACCOUNT: delta 320.00 - the 18 Form A rows sum to 4020.50 against a printed cover line-1 of 4340.50. EVERY amount was re-read in 600 dpi column crops (two bands) and none changed. No row explains the 320.00 and none was adjusted; this is the FILER's arithmetic (or a contribution he totalled but never itemized). Both figures retained verbatim. ITEMIZED EXPENDITURES (vision, 26 row(s)) reconciled against the the cover's own total expenses line, TOTALS FOR THIS REPORT column: delta 10.00 - 26 row(s) sum to 4350.50 against the cover's own total expenses line, TOTALS FOR THIS REPORT column, which prints 4340.50. Both figures retained verbatim; no row was adjusted and the stated total was not recomputed. || TRANSCRIBER'S ACCOUNT: delta 10.00 - the 26 Form B rows sum to 4350.50 against a printed cover line-2 of 4340.50. Every amount re-read in three 600 dpi column crops with no change. FILER arithmetic; both figures retained verbatim. Printed-total gates: this variant prints no per-page subtotal, so the cover lines are the only gate and NEITHER side closes; both deltas are named above rather than nudged Transcriber: Handwritten, dense. The candidate and Michael Kosakowski self-fund most of the campaign and many contribution amounts mirror an expenditure of the same date (127.04, 35.00, 50.00, 235.12, 350.00, 250.99), so this is largely a reimbursement ledger. One out-of-state donor (Sherwood Forest MD). Addresses reduced to city/state per PRIVACY.",cumulative
Scott Sweat,County Attorney,2018,2018-07-01,2018 cycle (as published by the county),statement,6319.20,6319.20,,0,6319.20,6319.20,True,True,0.00,0.00,3019.20,6,19,raw/2018/2018_Financial-Campaign-Report--Scott-Sweat.pdf,wasatch-cf-2322e95a,high,"CUMULATIVE-form filing: the sheet's three columns are LAST REPORT + THIS REPORT = CUMULATIVE; a cycle total is the LATEST report, never a sum. Stated totals here are the CUMULATIVE column. Typed figures. The filer used LAST REPORT + CUMULATIVE and left THIS REPORT blank. No reporting-period box is marked on the face; a clerk stamp dated 7/26/18 appears at the foot. ITEMIZED CONTRIBUTIONS (vision, 6 row(s)) reconciled against the the cover's own total contributions line, CUMULATIVE column: exact (6319.20 = 6319.20, the cover's own total contributions line, CUMULATIVE column) ITEMIZED EXPENDITURES (vision, 19 row(s)) reconciled against the the cover's own total expenses line, CUMULATIVE column: exact (6319.20 = 6319.20, the cover's own total expenses line, CUMULATIVE column) Printed-total gates: no per-page subtotal; both sides close exactly on the cover Transcriber: TYPED, not handwritten - this filer filled the county's Word template, so the ledger is machine-legible on the page although the retained PDF's own text layer is an OCR. One malformed amount of interest: the Walmart row prints '.71' with no leading zero, transcribed 0.71 as printed. One date is written '2-7/18' with mixed separators; every other row on the sheet is m/d/yy, so it is read as 2018-02-07 at medium confidence with the verbatim kept here.",cumulative
