commissioner,first_seen,last_seen,n_votes
Vance,2020-01-15,2026-03-11,112
Cohen,2020-01-02,2026-03-11,104
Elieson,2020-01-15,2023-06-14,53
Watkins,2021-05-12,2025-03-26,53
Collard,2020-04-15,2025-12-10,37
Palmer,2020-01-02,2024-03-21,32
Omer,2020-03-05,2025-03-20,26
Reid,2020-02-06,2022-10-06,25
Hiatt,2021-06-16,2026-03-11,24
Despain,2020-01-02,2025-05-15,20
Knoblock,2023-08-23,2026-03-19,18
Barbushev,2020-01-15,2020-10-14,13
Schoenfeld,2022-10-06,2026-03-19,13
Derr,2020-02-06,2021-06-03,9
Matagi,2021-11-10,2022-08-24,9
Cole,2024-04-17,2025-12-10,8
Hutchings,2020-03-05,2021-10-07,8
Staker,2022-10-06,2024-06-20,8
Brunhart,2025-05-15,2026-03-19,5
Reale,2022-10-06,2025-03-20,5
Davis,2025-05-15,2025-05-15,4
Hales,2025-12-18,2026-03-19,4
Young,2020-01-02,2020-03-05,4
Jones,2020-10-01,2021-06-03,2
O’Meara,2020-03-11,2021-01-13,2
Paredes,2026-03-11,2026-03-11,2
Bullock,2024-04-18,2024-04-18,1
McAllister,2024-11-21,2024-11-21,1
Parades,2026-03-11,2026-03-11,1
Reuling,2020-01-02,2020-01-02,1
Sorensen,2023-09-07,2023-09-07,1
Sorenson,2024-04-18,2024-04-18,1
