date,body,motion_no,motion,result,mover,seconder,names_recorded
2020-01-02,MountainousPlanningCommission,1,"To nominate Commissioner Jones for Chair, Commissioner Jones accepted.",Commissioners voted unanimous in favor (of commissioners present),Palmer,Young,false
2020-01-02,MountainousPlanningCommission,2,"To nominate Commissioner Despain for Vice Chair, Commissioner Despain accepted.",Commissioners voted unanimous in favor (of commissioners present),Cohen,Reuling,false
2020-01-02,MountainousPlanningCommission,3,To informally table approval of minutes from November 7th to the February 6th meeting.,Commissioners voted unanimous in favor (of commissioners present),,,false
2020-01-02,MountainousPlanningCommission,4,To informally table approval of minutes from December 5th to the February 6th meeting.,Commissioners voted unanimous in favor (of commissioners present),,,false
2020-01-02,MountainousPlanningCommission,5,To adopt the FLAP grant to benefit Millcreek Canyon support letter as written.,Commissioners voted unanimous in favor (of commissioners present),Young,Despain,false
2020-01-15,PlanningCommission,1,To continue election of Chair to the February 12th meeting.,Commissioners voted unanimous in favor (of commissioners present),Elieson,Barbushev,false
2020-01-15,PlanningCommission,2,To continue election of Vice Chair to the February 12th meeting.,Commissioners voted unanimous in favor (of commissioners present),Elieson,Barbushev,false
2020-01-15,PlanningCommission,3,"To approve minutes from the November 13, 2019 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Elieson,Vance,false
2020-01-15,PlanningCommission,4,"To approve application #31056 with the following amended staff recommendations: 1. The Conditional Use Permit for the Concrete Mixing Plant will expire one year from this approval of February 24, 2020. Business must cease and clean up on the property should return to the original state. An extension on the business time may be requested in writing and can only be approved by the Planning Director. 2. The applicant shall maintain a Stormwater Pollution Prevention Plan (SWPPP) and notice of intent (NOI) as approved by the MSD and Salt Lake County per County Standards, to keep dust suppressed during any period of construction, reconstruction or operation.",Commissioners voted unanimous in favor (of commissioners present),Barbushev,Elieson,false
2020-01-15,PlanningCommission,5,To approve application #31089 as presented with staff recommendations.,Commissioners voted unanimous in favor (of commissioners present),Elieson,Vance,false
2020-02-06,MountainousPlanningCommission,1,To approve application #31083 as recommended with conditions one through nine.,Commissioners voted unanimous in favor (of commissioners present),Reid,Palmer,false
2020-02-06,MountainousPlanningCommission,2,To continue to the March 5th meeting to allow the Town of Brighton an opportunity to meet and discuss.,Commissioners voted unanimous in favor (of commissioners present),Palmer,Young,false
2020-02-06,MountainousPlanningCommission,3,"To approve minutes from the November 7, 2019 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Palmer,Derr,false
2020-02-06,MountainousPlanningCommission,4,"To approve minutes from the December 5, 2019 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Palmer,Derr,false
2020-02-06,MountainousPlanningCommission,5,"To approve minutes from the January 2, 2020 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Palmer,Derr,false
2020-03-05,MountainousPlanningCommission,1,To approve application #31114 with staff recommendations as presented.,Commissioners voted unanimous in favor (of commissioners present),Despain,Hutchings,false
2020-03-05,MountainousPlanningCommission,2,To approve application #31124 with staff recommendations as presented.,Commissioners voted unanimous in favor (of commissioners present),Reid,Hutchings,false
2020-03-05,MountainousPlanningCommission,3,To recommend approval of the Wasatch Canyons General Plan to the County Council for approval as written with the redline changes contained and oral changes.,Commissioners voted unanimous in favor (of commissioners present),Young,Palmer,false
2020-03-11,PlanningCommission,1,Election tabled to the April 15th meeting.,Commissioners voted unanimous in favor (of commissioners present),Barbushev,O’Meara,false
2020-03-11,PlanningCommission,2,,Commissioners voted unanimous in favor (of commissioners present),,,false
2020-03-11,PlanningCommission,3,"To approve minutes from the November 7, 2019 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Barbushev,Vance,false
2020-03-11,PlanningCommission,4,"To approve minutes from the January 15, 2020 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Barbushev,Vance,false
2020-04-15,PlanningCommission,1,"To nominate Commissioner Collard for Chair, Commissioner Collard accepted.",Commissioners voted unanimous in favor (of commissioners present),Barbushev,Elieson,false
2020-04-15,PlanningCommission,2,"To nominate Commissioner Barbushev for Vice Chair, Commissioner Barbushev accepted.",Commissioners voted unanimous in favor (of commissioners present),Cohen,Collard,false
2020-04-15,PlanningCommission,3,"to approve minutes from the March 11, 2020 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Cohen,Elieson,false
2020-04-15,PlanningCommission,4,To approve application #31148 with staff recommendations and one new condition of keeping,Commissioners voted unanimous in favor (of commissioners present),Barbushev,Elieson,false
2020-04-15,PlanningCommission,5,"To approve application #31149 with staff recommendations, amending condition number 4 to read: The applicant if required by the health department o r building department connects to City Water and Sewer prior to the occupancy of the office on the property.",Commissioners voted unanimous in favor (of commissioners present),Cohen,Elieson,false
2020-05-13,PlanningCommission,1,"To approve minutes from the April 15, 2020 meeting with one amendment.",Commissioners voted unanimous in favor,Cohen,Elieson,false
2020-05-13,PlanningCommission,2,To table application #31092 to May 27th to allow for proper noticing.,Commissioners voted unanimous in favor,Barbushev,Elieson,false
2020-05-27,PlanningCommission,1,"To approve application #31092 with staff recommendations and amend condition two, adding: In accordance with county noise ordinance.",Commissioners voted unanimous in favor (of commissioners present),Cohen,Elieson,false
2020-06-04,MountainousPlanningCommission,1,To table minutes to the July 2nd meeting.,Commissioners voted unanimous in favor (of commissioners present).,Despain,Palmer,false
2020-06-10,PlanningCommission,1,"To approve minutes from the May 13, 2020 meeting as presented.",Commissioners voted unanimous in favor (of Commissioners present),Elieson,Vance,false
2020-06-10,PlanningCommission,2,"To approve minutes from the May 27, 2020 meeting as presented.",Commissioners voted unanimous in favor (of Commissioners present),Elieson,Vance,false
2020-06-10,PlanningCommission,3,To recommend a proposal to amend County Ordinance 19.05.010 to the County Council for,Commissioners voted unanimous in favor (of Commissioners present),Barbushev,Elieson,false
2020-07-15,PlanningCommission,1,"To approve minutes from the June 10, 2020 meeting as presented.",Commissioners voted unanimous in favor (of Commissioners present),Cohen,Elieson,false
2020-08-06,MountainousPlanningCommission,1,"To approve minutes from the March 5, 2020 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present).,Palmer,Cohen,false
2020-08-06,MountainousPlanningCommission,2,To table minutes to the September 3rd meeting.,Commissioners voted unanimous in favor (of commissioners present).,Palmer,Cohen,false
2020-08-12,PlanningCommission,1,To continue to the September 16th meeting.,Commissioners voted unanimous in favor (of commissioners present),Vance,Barbushev,false
2020-08-12,PlanningCommission,2,To approve application #31220 with staff recommendations.,Commissioners voted unanimous in favor (of commissioners present),Barbushev,Elieson,false
2020-10-14,PlanningCommission,1,"To approve minutes from the July 15, 2020 meeting as presented.",Commissioners voted unanimous in favor,Cohen,Vance,false
2020-10-14,PlanningCommission,2,"To continue minutes from the August 12, 2020 to the November 18th Planning Commission Meeting.",Commissioners voted unanimous in favor,Cohen,Vance,false
2020-10-14,PlanningCommission,3,To continue file #31222 to the November 18 th Planning Commission Meeting to allow further research by staff.,Commissioners voted unanimous in favor (of commissioners present),Cohen,Barbushev,false
2020-11-05,MountainousPlanningCommission,1,"To approve application #31236 with staff recommendations and additional nine conditions read by Mr. Shaw, to be outlined in the permit letter.",Commissioners voted unanimous in favor (of commissioners present),Palmer,Despain,false
2020-11-05,MountainousPlanningCommission,2,"To continue application #31186 to the December 3rd meeting, to allow time for the Town Council to discuss this application.",Commissioners voted unanimous in favor (of commissioners present),Palmer,Cohen,false
2020-11-05,MountainousPlanningCommission,3,To approve application #31266 with staff recommendation and additional standard conditions.,Commissioners voted unanimous in favor (of commissioners present),Cohen,Reid,false
2020-11-05,MountainousPlanningCommission,4,"To approve minutes from the October 1, 2020 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Palmer,Omer,false
2020-11-18,PlanningCommission,1,To approve application #31265 with staff recommendations.,Commissioners voted unanimous in favor (of commissioners present),Cohen,Elieson,false
2020-11-18,PlanningCommission,2,To recommend file #31222 to the County Council for approval with amendment to item 19-15- 120 (J). Setback 10 feet or more from the front façade.,Commissioners voted unanimous in favor (of commissioners present),Vance,Cohen,false
2020-11-18,PlanningCommission,3,"To approve minutes from the August 12, 2020 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Elieson,Vance,false
2020-11-18,PlanningCommission,4,"To approve minutes from the October 14, 2020 meeting as presented.",Commissioners voted unanimous in favor (of commissioners present),Elieson,Vance,false
2020-12-03,MountainousPlanningCommission,1,"To continue approval of the minutes from the November 5, 2020 meeting at the January 7, 2021 meeting.",Commissioners voted unanimous in favor (of commissioners present),,,false
2020-12-03,MountainousPlanningCommission,2,To approve the 2021 Planning Commission Meeting Schedule.,Commissioners voted unanimous in favor (of commissioners present),Despain,Cohen,false
2020-12-03,MountainousPlanningCommission,3,To approve application #31186 from staff report with staff recommendations.,Commissioners voted unanimous in favor (of commissioners present),Reid,Derr,false
2020-12-16,PlanningCommission,1,"To approve Conditional Use application # CUP2020-000028, with staff recommendations met.",Commissioners voted unanimous in favor (of commissioners present),Elieson,Vance,false
2020-12-16,PlanningCommission,2,"To approve minutes from the November 18, 2020 Planning Commission meeting with correction to the word foal, not fowl by Commissioner Cohen.",Commissioners voted unanimous in favor (of commissioners present),Cohen,Elieson,false
2020-12-16,PlanningCommission,3,To approve the 2021 Planning Commission Meeting Schedule as presented.,Commissioners voted unanimous in favor (of commissioners present),Elieson,Vance,false
2021-01-07,MountainousPlanningCommission,1,To approve application #31231 with staff recommendations as presented.,Commissioners voted unanimous in favor (of commissioners present),Despain,Reid,false
2021-01-07,MountainousPlanningCommission,2,To continue application # 31241 to the February 4th Planning Commission meeting.,Commissioners voted unanimous in favor (of commissioners present),Palmer,Reid,false
2021-01-07,MountainousPlanningCommission,3,"To continue to the March Planning Commission meeting, as Silver fork Lodge application was continued and there are several expired commissioner terms.",Commissioners voted unanimous in favor (of commissioners present),Despain,Omer,false
