date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,text_path,status,pmn_event_date,orig_fname,chars,note
2022-06-21,2022,"June 21, 2022 City Council Meeting Minutes (PMN copy of a repo OCR date — checked for text layer; also image-only, NOT an upgrade)",city-council-meeting,Council,raw/council_2022-06-21_872275.pdf,pmn,https://www.utah.gov/pmn/files/872275.pdf,https://www.utah.gov/pmn/sitemap/notice/763437.html,735,872275,2026-07-13,scanned,none,minutes/2022-06-21_city-council-meeting.md,upgrade-candidate-rejected,2022-06-21,2022.06.21 City Council Meeting Minutes (Approved 7.19.2022).pdf,0,The audited meeting_minutes/ copy of this date is an OCR of an image-only scan; this PMN copy was fetched as a possible born-digital upgrade but is ALSO an image-only scan (no text layer) — NOT an upgrade; the repo's existing OCR remains the best available text. Retained for the record.
2023-02-07,2023,"February 7, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-02-07_947091.pdf,pmn,https://www.utah.gov/pmn/files/947091.pdf,https://www.utah.gov/pmn/sitemap/notice/810631.html,735,947091,2026-07-13,text,pdftotext-layout,minutes/2023-02-07_city-council-meeting.md,recovered,2023-02-07,2023.02.07 City Council Meeting Minutes (approved 2.21.2023).pdf,12724,
2023-02-21,2023,"February 21, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-02-21_952437.pdf,pmn,https://www.utah.gov/pmn/files/952437.pdf,https://www.utah.gov/pmn/sitemap/notice/814061.html,735,952437,2026-07-13,text,pdftotext-layout,minutes/2023-02-21_city-council-meeting.md,recovered,2023-02-21,2023.02.21 City Council Minutes (approved 3.7.2023).pdf,12890,
2023-03-07,2023,"March 7, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-03-07_958219.pdf,pmn,https://www.utah.gov/pmn/files/958219.pdf,https://www.utah.gov/pmn/sitemap/notice/816875.html,735,958219,2026-07-13,text,pdftotext-layout,minutes/2023-03-07_city-council-meeting.md,recovered,2023-03-07,2023.03.07 Murray City Municipal Council Meeting Minutes (Approved 3.21.23).pdf,59571,
2023-03-21,2023,"March 21, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-03-21_968073.pdf,pmn,https://www.utah.gov/pmn/files/968073.pdf,https://www.utah.gov/pmn/sitemap/notice/820149.html,735,968073,2026-07-13,text,pdftotext-layout,minutes/2023-03-21_city-council-meeting.md,recovered,2023-03-21,2023.03.21 City Council Minutes (approved 4.18.2023) updated.pdf,15168,
2023-04-04,2023,"April 4, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-04-04_973397.pdf,pmn,https://www.utah.gov/pmn/files/973397.pdf,https://www.utah.gov/pmn/sitemap/notice/822587.html,735,973397,2026-07-13,text,pdftotext-layout,minutes/2023-04-04_city-council-meeting.md,recovered,2023-04-04,2023.04.04 City Council Meeting Minutes (Approved 5.2.2023).pdf,20655,
2023-04-18,2023,"April 18, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-04-18_979487.pdf,pmn,https://www.utah.gov/pmn/files/979487.pdf,https://www.utah.gov/pmn/sitemap/notice/825646.html,735,979487,2026-07-13,text,pdftotext-layout,minutes/2023-04-18_city-council-meeting.md,recovered,2023-04-18,2023.04.18 Approved (5.16.2023)City Council Meeting Minutes.pdf,20733,
2023-05-02,2023,"May 2, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-05-02_979493.pdf,pmn,https://www.utah.gov/pmn/files/979493.pdf,https://www.utah.gov/pmn/sitemap/notice/829027.html,735,979493,2026-07-13,text,pdftotext-layout,minutes/2023-05-02_city-council-meeting.md,recovered,2023-05-02,"May 2, 2023 Council Meeting - APPROVED (5.16.2023) Meeting Minutes.pdf",4548,
2023-05-16,2023,"May 16, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-05-16_986761.pdf,pmn,https://www.utah.gov/pmn/files/986761.pdf,https://www.utah.gov/pmn/sitemap/notice/832809.html,735,986761,2026-07-13,text,pdftotext-layout,minutes/2023-05-16_city-council-meeting.md,recovered,2023-05-16,"May 16, 2023 (Approved 6.6.2023) City Council Meeting Minutes.pdf",39247,
2023-06-06,2023,"June 6, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-06-06_995103.pdf,pmn,https://www.utah.gov/pmn/files/995103.pdf,https://www.utah.gov/pmn/sitemap/notice/836817.html,735,995103,2026-07-13,text,pdftotext-layout,minutes/2023-06-06_city-council-meeting.md,recovered,2023-06-06,"June 6, 2023 Council Meeting Minutes (Approved June 27, 2023).pdf",45796,
2023-06-27,2023,"June 27, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-06-27_1006087.pdf,pmn,https://www.utah.gov/pmn/files/1006087.pdf,https://www.utah.gov/pmn/sitemap/notice/842263.html,735,1006087,2026-07-13,text,pdftotext-layout,minutes/2023-06-27_city-council-meeting.md,recovered,2023-06-27,"June 27, 2023 City Council Meeting Minutes (Approved on 8.1.2023).pdf",36566,
2023-07-11,2023,"July 11, 2023 City Council Meeting CANCELLATION NOTICE — meeting cancelled; no minutes exist",city-council-meeting-cancellation-notice,Council,raw/council_2023-07-11_996949.pdf,pmn,https://www.utah.gov/pmn/files/996949.pdf,https://www.utah.gov/pmn/sitemap/notice/844267.html,735,996949,2026-07-13,text,pdftotext-layout,minutes/2023-07-11_city-council-meeting-cancellation-notice.md,cancellation-notice,2023-07-11,"July 11, 2023 CM Cancellation Notice.pdf",1057,"This is the official CANCELLATION notice for the July 11, 2023 council meeting — the meeting was cancelled and no minutes exist. Resolves the corresponding meeting_minutes/minutes_unrecovered.csv row as a non-meeting."
2023-07-18,2023,"July 18, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-07-18_1015397.pdf,pmn,https://www.utah.gov/pmn/files/1015397.pdf,https://www.utah.gov/pmn/sitemap/notice/845954.html,735,1015397,2026-07-13,text,pdftotext-layout,minutes/2023-07-18_city-council-meeting.md,recovered,2023-06-18,2023.07.18 (APPROVED 8.22.2023) City Council Meeting Minutes.pdf,30257,"PMN notice 845954 carries a mis-entered event date (2023-06-18); the attachment is the July 18, 2023 council minutes (verified in text)."
2023-08-01,2023,"August 1, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-08-01_1015393.pdf,pmn,https://www.utah.gov/pmn/files/1015393.pdf,https://www.utah.gov/pmn/sitemap/notice/848565.html,735,1015393,2026-07-13,text,pdftotext-layout,minutes/2023-08-01_city-council-meeting.md,recovered,2023-08-01,"August 1, 2023 (APPROVED 8.23.2023) Meeting Minutes.pdf",9297,
2023-08-21,2023,"August 21, 2023 City Council Special Meeting Minutes (Joint Meeting with Millcreek City)",city-council-special-meeting,Council,raw/council_2023-08-21_1020497.pdf,pmn,https://www.utah.gov/pmn/files/1020497.pdf,https://www.utah.gov/pmn/sitemap/notice/853275.html,735,1020497,2026-07-13,text,pdftotext-layout,minutes/2023-08-21_city-council-special-meeting.md,recovered,2023-08-21,"August 21, 2023 - Special Meeting Millcreek Murray North Station MINUTES .pdf",17152,Special council meeting NOT present in the audited meeting_minutes/ index or minutes_unrecovered.csv — net-new discovery via PMN.
2023-08-22,2023,"August 22, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-08-22_1020567.pdf,pmn,https://www.utah.gov/pmn/files/1020567.pdf,https://www.utah.gov/pmn/sitemap/notice/853307.html,735,1020567,2026-07-13,text,pdftotext-layout,minutes/2023-08-22_city-council-meeting.md,recovered,2023-08-22,"August 22, 2023 (APPROVED 9.12.2023) City Council Meeting Minutes.pdf",19546,
